cb47665dcef5ec996ed453f0825ad151474428e6dec5c6ad8e85b6ecc5ab4832,da84f046a3f509f966ff75bb7451be1586462de1d316337a09665fac86588214,bc1f851caf5367bc10429b4ca0b8331b90e2cd51522f11b75e6b75571967fb04,0a6a01bcc00eefed6d3008cf7c4e4f9ec778f6258569c465c52b9557170d8a75,7a8866b6027fa3683af2796a021c57979cde9d87f5439c6f1fd80dec2902179e,c47eb479381bca04840b6b8e1b2e208bba5e05906dccde07a55ae6f65fc38d7b,b58f7144ebc076cbe0d694cd12251aa5302c2377df35f858c456397df5d5d57a
"20036104","10064","4","0","開会式","0","1006401"
"20036104","10064","3","0","開会式","0","1006402"
"20036104","10064","1","0","徒競走","1006402","1006403"
"20036104","10064","4","0","徒競走","1006402","1006404"
"20036104","10064","2","0","徒競走","1006402","1006405"
"20036104","10064","2","0","騎馬戦","1006405","1006406"
"20036104","10064","4","0","騎馬戦","1006405","1006407"
"20036106","10064","3","0","昼休憩","1006406","1006408"
"20036106","10064","4","0","昼休憩","1006406","1006409"
"20036106","10064","3","0","学術文化出展各種","1006408","1006410"
"20036106","10064","4","0","学術文化出展各種","1006408","1006411"
"20036106","10064","1","0","学術文化出展各種","1006408","1006412"
"20036108","10064","4","0","侍女風給仕喫茶","1006410","1006413"
"20036108","10064","3","0","侍女風給仕喫茶","1006410","1006414"
"20036113","10064","3","0","総合リレー","1006414","1006415"
"20036113","10064","4","0","総合リレー","1006414","1006416"
"0","10064","1","2003601","セレモニーステージ","1006415","1006417"
"0","10064","4","2003601","セレモニーステージ","1006415","1006418"
"0","10064","2","2003601","セレモニーステージ","1006415","1006419"
"0","10064","3","2003601","閉会式","1006419","1006420"
"0","10064","4","2003601","閉会式","1006419","1006421"
"0","10064","4","2003601","コンプリート演出","1006420","1006422"
