3985afeaf89c788982ebe034450f5e5384477dc9b97650f48b268afbae4c2b45,3a1b5c484dde7cf7151ac9a2666d9b12b5583b427181e843da1a67851fddda2b,6d1a9a3bc563e3dacef1aead078644caf9410b6f8686711f103699e426c1f7a0,7610dd6b3bd351013d4fe3a291c1e8122e7cd87ba59f116d7b5722719ca19ff1,0df3aef9786634c0637fb4ffe75cb9eebcab38cfc765bd3c05361812b55af102,f6d538bba62f8de20b2c1719a163e52d0436486fbf46e5610e703a148e9ede99,5ce318569e814a5f267cb15b5f3ea87e0cb09d772520799daa0ff2c78855128e,15c3534b766f9a4777b5cc4f497e2286af2de0fb966f901cc8190975a2940b21,4d9bd31add83fc9de9e772cc2ed6969bb08fb2fb0067036809b8d1738655a5a9,2688a17f7334f8a2bcb99ff57fe75c46fc38012ea03d530cccec8ef99660bc63,5cadad2f201f426292217f82568c568d084ff84e5c02837903c8664b022fc4c4
"111831","nop_idle_joy1","1","1","101","0","1.5","101001","115","-100","-150"
"120731","nop_idle_normal_joy","1","1","101","1","1.5","101002","114","100","-150"
"120831","nop_idle_arm_crossed","1","1","101","0","1.5","101003","111","-215","-127"
"111931","nop_idle_normal","1","1","101","1","1.5","101004","110","215","-127"
"120931","nop_idle_thinking","1","1","101","0","1.5","101005","113","-330","-150"
"112031","nop_idle_normal","1","1","101","1","1.5","101006","112","330","-150"
"108731","nop_idle_joy1","1","1","102","0","1.5","102001","115","-100","-150"
"108831","nop_idle_joy_normal","1","1","102","1","1.5","102002","114","100","-150"
"108931","nop_idle_normal","1","1","102","0","1.5","102003","111","-215","-127"
"102011","nop_idle_joy1","1","1","103","0","1.5","103001","113","-100","-135"
"100411","nop_idle_normal","1","1","103","0","1.5","103002","115","-215","-150"
"103631","nop_idle_wish","1","1","103","1","1.5","103003","114","100","-143"
"101231","nop_idle_normal","1","1","104","0","1.5","104001","115","-100","-150"
"104011","nop_idle_normal","1","1","104","1","1.5","104002","114","100","-150"
"101511","nop_idle_normal","1","1","104","0","1.5","104003","111","-215","-127"
"103111","nop_idle_normal","1","1","105","0","1.5","105001","113","-100","-135"
"102211","nop_idle_sad","1","1","105","1","1.5","105002","111","100","-135"
"100711","nop_05_miyako_idle_normal","1","1","105","0","1.5","105003","115","-215","-150"
"100611","nop_idle_joy1","1","1","105","1","1.5","105004","112","215","-150"
"2051","nop_skull_idle","5","1","105","1","1.5","105005","114","-25","-135"
"104731","nop_idle_arm_crossed","1","1","106","0","1.5","106001","115","-215","-150"
"107131","nop_idle_arm_crossed","1","1","106","1","1.5","106002","114","215","-150"
"103731","nop_idle_normal","1","1","106","0","1.5","106003","111","-100","-135"
"100511","nop_idle_joy1","1","1","106","1","1.5","106004","110","100","-135"
"102831","nop_idle_normal","1","1","107","0","1.5","107001","115","-100","-150"
"102111","nop_idle_normal","1","1","107","1","1.5","107002","114","100","-150"
"102511","nop_idle_normal","1","1","107","0","1.5","107003","111","-215","-127"
"102311","nop_idle_normal","1","1","107","1","1.5","107004","110","215","-127"
"101011","nop_idle_joy_normal","1","1","108","0","1.5","108001","115","-100","-150"
"104331","nop_idle_arm_crossed","1","1","108","1","1.5","108002","114","100","-150"
"101711","nop_idle_joy1","1","1","108","0","1.5","108003","111","-215","-127"
"101431","nop_idle_normal","1","1","108","1","1.5","108004","110","215","-127"
"103311","nop_idle_joy1","1","1","109","0","1.5","109001","115","-100","-150"
"105211","nop_idle_joy_normal","1","1","109","0","1.5","109002","111","-215","-127"
"102611","nop_idle_sad2","1","1","109","1","1.5","109003","114","100","-150"
"103811","nop_idle_normal","1","1","109","1","1.5","109004","110","215","-127"
"103231","nop_idle_joy1","1","1","110","0","1.5","110001","115","-100","-150"
"103411","nop_10_yukari_02","1","1","110","1","1.5","110002","110","215","-127"
"11","nop_10_yukari_02","5","1","110","1","1.5","110003","111","215","-127"
"104811","nop_idle_doya","1","1","110","1","1.5","110004","114","100","-150"
"104611","nop_idle_joy_normal","1","1","110","0","1.5","110005","111","-215","-127"
"100911","nop_11_anna_idle_arm_crossed","1","1","111","0","1.5","111001","115","-100","-150"
"101311","nop_idle_joy_normal","1","1","111","1","1.5","111002","114","100","-150"
"102711","nop_11_eriko_idle_wish","1","1","111","0","1.5","111003","111","-215","-127"
"105111","nop_idle_normal","1","1","111","1","1.5","111004","110","215","-127"
"101831","nop_idle_joy1","1","1","112","1","1.5","112001","115","100","-143"
"101611","nop_idle_joy_normal","1","1","112","0","1.5","112002","110","-100","-135"
"105011","nop_idle_joy_normal","1","1","112","0","1.5","112003","114","-215","-150"
"105331","nop_idle_normal_joy","1","1","113","1","1.5","113001","113","100","-150"
"104511","nop_13_kuka_idle_memory2","1","1","113","0","1.5","113002","114","-100","-150"
"103031","nop_idle_joy1","1","1","113","0","1.5","113003","110","-215","-127"
"100811","nop_idle_thinking","1","1","113","0","1.5","113004","111","-330","-150"
"105511","nop_idle_sad","1","1","113","1","1.5","113005","115","240","-150"
"106831","nop_idle_normal","1","1","114","1","1.5","114001","115","100","-150"
"101131","nop_idle_normal","1","1","114","0","1.5","114002","114","-100","-150"
"104931","nop_idle_normal","1","1","114","0","1.5","114003","110","-215","-127"
"102931","nop_idle_joy1","1","1","115","1","1.5","115001","115","100","-143"
"104211","nop_idle_wish","1","1","115","0","1.5","115002","110","-100","-135"
"105411","nop_idle_normal","1","1","115","0","1.5","115003","114","-215","-150"
"106731","nop_idle_normal","1","1","116","1","1.5","116001","115","100","-150"
"106631","nop_idle_joy1","1","1","116","0","1.5","116002","114","-100","-150"
"106531","nop_16_kaya_idle_normal2","1","1","116","0","1.5","116003","110","-215","-127"
"2","nop_rago_idle","5","1","116","1","1.5","116004","116","180","-150"
"111031","nop_idle_normal","1","1","117","1","1.5","117001","115","100","-150"
