ac2f06d4d4f0b12a2298e64a3a71ada25b2297f1b9f8eb62fa464dcf937c36f0,4eaea96233f1fe04a259e5e3d4889928c73edcc776dfc1198810f1808b09c6c9,aba651109c7b60b971a95123acdf4cb6bea27eb75480e2d2ce08f6c925524dcd,b066ff110712ee523c80cb3b127fb414e15f13a0688869ebcd5566039702afdd,32118b1ff1587106fbda474a9bce3620e89452856fc3f7c785575a71e870d222,2f00e52a275a96791bf98e8f25633a185d38449e290c708840ba5a611a822d25,b6d360998cba88e45c7a6cd0155dcaee2478d76b118debd0e810833b72ed5c96,29de6091e2bf24ff7f37dc7b069f3c5178743de61c02eb31cefe1725a6bb2e53
"1","182","1","71","1","-401","170","-90"
"2","182","1","81","2","-401","170","-90"
"3","182","1","121","3","-255","255","90"
"4","182","1","131","4","-255","255","90"
"5","182","1","141","5","-255","255","90"
"6","176","1","191","6","-107","229","-80"
"7","176","1","201","7","-107","229","-80"
"8","151","1","271","8","136","218","-85"
"9","151","1","281","9","136","218","-85"
"10","151","1","291","10","136","218","-85"
"11","219","1","331","11","280","156","80"
"12","219","1","341","12","280","156","80"
"13","219","1","351","13","280","156","80"
"14","183","1","401","14","417","213","-97"
"15","183","1","411","15","417","213","-97"
"1","229","2","451","2","-259","242","-73"
"2","179","2","481","4","-222","226","124"
"3","192","2","501","6","-101","219","-67"
"4","190","2","521","8","-26","168","-27"
"5","260","2","551","11","117","192","-50"
"6","138","2","601","14","241","159","120"
"7","138","2","611","14","241","159","120"
"8","229","2","621","14","243","224","-71"
"1","43","3","781","1","-353","71","32"
"2","268","3","801","2","-228","235","-30"
"3","45","3","831","3","-243","80","144"
"4","225","3","851","4","20","221","-76"
"5","222","3","861","5","230","211","-74"
"6","136","3","891","6","-100","115","44"
"7","136","3","901","7","-100","115","44"
"8","250","3","991","8","116","306","76"
"9","250","3","1001","9","116","306","76"
"10","250","3","1011","10","116","306","76"
"11","188","3","1041","11","322","96","40"
"12","188","3","1051","12","322","96","40"
"1","272","4","1091","1","-211","294","-6"
"2","115","4","1101","2","-288","92","129"
"3","115","4","1111","3","-288","92","129"
"4","174","4","1121","4","-58","135","128"
"5","184","4","1151","5","143","222","133"
"6","98","4","1161","6","-277","134","-129"
"7","98","4","1171","7","-277","134","-129"
"8","70","4","1211","8","-60","67","-12"
"9","70","4","1221","9","-60","67","-12"
"10","185","4","1231","10","116","132","-55"
"11","89","4","1261","11","-17","93","-103"
"12","89","4","1271","12","-17","93","-103"
"13","239","4","1311","13","232","150","23"
"1","72","5","1391","1","-289","114","-161"
"2","72","5","1401","2","-289","114","-161"
"3","248","5","1411","3","-261","228","80"
"4","211","5","1431","4","-103","223","-91"
"5","181","5","1471","5","-87","186","95"
"6","176","5","1551","6","69","132","-122"
"7","176","5","1561","7","69","132","-122"
"8","184","5","1611","8","54","143","91"
"9","247","5","1641","9","204","211","45"
"10","167","5","1651","10","308","137","141"
"11","174","5","1661","11","282","175","-46"
"1","240","6","1741","1","-252","222","-11"
"2","245","6","1761","2","-19","311","-96"
"3","221","6","1771","3","-46","261","95"
"4","237","6","1781","4","152","166","83"
"5","229","6","1782","5","227","183","-100"
"1","183","7","1811","1","-249","223","-46"
"2","247","7","1881","2","-159","337","54"
"3","191","7","1921","3","30","202","-70"
"4","215","7","1941","4","173","176","0"
"5","236","7","1981","5","292","204","77"
"1","254","8","2001","1","-472","209","89"
"2","282","8","2031","2","-375","250","-77"
"3","223","8","2051","3","-280","241","110"
"4","270","8","2101","4","-148","243","-85"
"5","264","8","2131","5","3","274","74"
"6","302","8","2171","6","155","321","-36"
"7","277","8","2201","7","283","199","82"
"8","344","8","2271","8","374","349","0"
"1","301","9","2321","1","-275","240","-30"
"2","108","9","2361","2","-132","106","-115"
"3","108","9","2371","3","-132","106","-115"
"4","246","9","2381","4","-73","202","32"
"5","84","9","2411","5","-43","114","-140"
"6","84","9","2421","6","-43","114","-140"
"7","84","9","2461","8","50","86","65"
"8","84","9","2471","9","50","86","65"
"9","137","9","2481","10","80","185","-110"
"10","137","9","2491","11","80","185","-110"
"11","377","9","2521","7","131","301","24"
"12","305","9","2531","12","280","190","-50"
"1","145","10","2601","3","-527","123","-137"
"2","145","10","2611","4","-527","123","-137"
"3","295","10","2621","1","-379","408","35"
"4","192","10","2622","2","-299","171","103"
"5","244","10","2623","6","-138","342","-64"
"6","254","10","2701","5","-47","224","9"
"7","204","10","2781","8","131","253","-88"
"8","139","10","2791","9","89","110","23"
"9","139","10","2801","10","89","110","23"
"10","249","10","2811","7","275","292","42"
"11","151","10","2821","11","274","126","-120"
"12","151","10","2831","12","274","126","-120"
"13","316","10","2841","13","448","276","-17"
"1","203","11","2901","1","-292","158","-87"
"2","187","11","3011","2","-224","256","123"
"3","225","11","3031","3","-65","144","-80"
"4","214","11","3111","4","80","149","-84"
"5","194","11","3131","5","227","201","112"
"6","111","11","3141","6","159","161","-111"
"7","111","11","3151","7","159","161","-111"
"8","209","11","3171","8","307","166","-80"
"1","206","12","3211","3","-185","364","-106"
"2","277","12","3221","1","-304","160","34"
"3","275","12","3231","2","-107","249","45"
"4","233","12","3321","5","31","167","-46"
"5","130","12","3381","7","135","174","-122"
"6","130","12","3391","8","135","174","-122"
"7","223","12","3431","4","127","244","101"
"8","246","12","3441","6","254","235","-24"
"9","156","12","3461","9","303","167","-114"
"10","156","12","3471","10","303","167","-114"
"11","94","12","3491","11","338","108","152"
"12","94","12","3501","12","338","108","152"
"1","270","13","3531","3","-286","210","-48"
"2","103","13","3541","2","-310","92","144"
"3","219","13","3551","3","-152","228","-90"
"4","103","13","3561","4","-148","94","99"
"5","71","13","3571","5","-12","110","-157"
"6","274","13","3581","1","-5","209","-2"
"7","292","13","3691","6","141","219","-72"
"8","104","13","3701","7","146","88","143"
"9","135","13","3741","8","299","160","131"
"10","135","13","3751","9","299","160","131"
"11","268","13","3791","10","301","179","-82"
"1","286","14","3801","2","-470","197","6"
"2","89","14","3811","3","-520","134","-123"
"3","236","14","3821","1","-369","204","103"
"4","241","14","3861","5","-283","176","-74"
"5","236","14","3891","6","-151","156","-83"
"6","226","14","3911","4","-174","219","108"
"7","96","14","3921","10","-51","107","-130"
"8","251","14","3931","9","-5","179","50"
"9","102","14","3941","11","100","113","-106"
"10","317","14","3951","12","268","242","-41"
"11","240","14","3961","7","138","209","79"
"12","240","14","3971","8","138","209","79"
"13","93","14","4021","14","441","125","-125"
"14","279","14","4031","13","485","219","22"
