0f14d8d45267295bfec6146b7fd08467b1c7095b92718f8910a0e3531116c322,af5220ed985ffb7468f8570ec0f81e205818e67011e016d343596f73521ac5aa,9a84057254cd7e9125cd6dd110ae497225df66aaff791dbaa9afa4ac648caf00,c700acb8f2de4cb72a4be3b3b6b8baac84cba56cf0cd94efe5e09161e39bf66f,7f33f940de920471b27fdd2725820d731a486e349e15bec2740f689dfd336f3e,dda397cd22e646eeea919f64c2a3c4b8062ee4ed82e6ef14a6c897c1a7f591e8,fa61913c234527eeb761ab37dee0c6518883d40d95d592eb0ba80b072b22fa2a,7a962f0e56f4145cc30d3318917a474e77042cc0a99bbfcf60f0497bda1d1a89,e19fdeea521f0cc2e8e99e8cfa5123457a37d676a46114029ddc4dca93e3ddf4,5ccaebe5009fb19306f6d852e1374975206cae0ede97eacba78013ab62d78844,06abe773a93a93472450b8e51e6b2561276d2b97e7f62bfa9f4004f0a79aa7ce
"8","8","2","25015","25021","285001001","10","31","1","91002","2"
"8","8","2","25015","25021","285001002","10","31","2","91002","2"
"8","8","2","25015","25021","285001003","10","32","3","91002","2"
"8","8","2","25015","25021","285001004","10","32","4","91002","2"
"8","8","2","25015","25021","285001005","10","33","5","91002","2"
"9","8","2","25015","25021","285001006","10","33","6","91002","2"
"9","8","2","25015","25021","285001007","10","34","7","91002","2"
"9","8","2","25015","25021","285001008","10","35","8","91002","2"
"9","8","2","25015","25021","285001009","10","35","9","91002","2"
"10","8","2","25015","25021","285001010","30","37","10","91002","2"
"10","8","2","25015","25021","285001011","10","41","11","91002","2"
"11","8","2","25015","25021","285001012","10","43","12","91002","2"
"11","8","2","25015","25021","285001013","10","46","13","91002","2"
"12","8","2","25015","25021","285001014","10","48","14","91002","2"
"12","8","2","25015","25021","285001015","10","50","15","91002","2"
"13","8","2","25015","25021","285001016","10","53","16","91002","2"
"14","8","2","25015","25021","285001017","10","55","17","91002","2"
"14","8","2","25015","25021","285001018","10","58","18","91002","2"
"15","8","2","25015","25021","285001019","10","60","19","91002","2"
"15","8","2","25015","25021","285001020","30","62","20","91002","2"
"16","8","2","25015","25021","285001021","10","68","21","91002","2"
"16","8","2","25015","25021","285001022","10","70","22","91002","2"
"16","8","2","25015","25021","285001023","10","72","23","91002","2"
"17","8","2","25015","25021","285001024","10","75","24","91002","2"
"18","8","2","25015","25021","285001025","10","77","25","91002","2"
"18","8","2","25015","25021","285001026","10","79","26","91002","2"
"19","8","2","25015","25021","285001027","10","82","27","91002","2"
"19","8","2","25015","25021","285001028","10","84","28","91002","2"
"19","8","2","25015","25021","285001029","10","86","29","91002","2"
"20","8","2","25015","25021","285001030","30","89","30","91002","2"
"20","8","2","25015","25021","285001031","10","94","31","91002","2"
"21","8","2","25015","25021","285001032","10","96","32","91002","2"
"21","8","2","25015","25021","285001033","10","99","33","91002","2"
"22","8","2","25015","25021","285001034","10","101","34","91002","2"
"22","8","2","25015","25021","285001035","10","103","35","91002","2"
"23","8","2","25015","25021","285001036","10","106","36","91002","2"
"23","8","2","25015","25021","285001037","10","108","37","91002","2"
"24","8","2","25015","25021","285001038","10","111","38","91002","2"
"25","8","2","25015","25021","285001039","10","113","39","91002","2"
"25","8","2","25015","25021","285001040","30","115","40","91002","2"
"26","8","2","25015","25021","285001041","10","121","41","91002","2"
"27","8","2","25015","25021","285001042","10","123","42","91002","2"
"28","8","2","25015","25021","285001043","10","125","43","91002","2"
"28","8","2","25015","25021","285001044","10","128","44","91002","2"
"29","8","2","25015","25021","285001045","10","130","45","91002","2"
"30","8","2","25015","25021","285001046","10","132","46","91002","2"
"30","8","2","25015","25021","285001047","10","135","47","91002","2"
"31","8","2","25015","25021","285001048","10","137","48","91002","2"
"31","8","2","25015","25021","285001049","10","139","49","91002","2"
"31","8","2","25015","25021","285001050","30","142","50","91002","2"
"32","8","2","25015","25021","285001051","10","144","51","91002","2"
"32","8","2","25015","25021","285001052","10","146","52","91002","2"
"32","8","2","25015","25021","285001053","10","149","53","91002","2"
"33","8","2","25015","25021","285001054","10","152","54","91002","2"
"33","8","2","25015","25021","285001055","10","155","55","91002","2"
"33","8","2","25015","25021","285001056","10","157","56","91002","2"
"34","8","2","25015","25021","285001057","10","160","57","91002","2"
"34","8","2","25015","25021","285001058","10","163","58","91002","2"
"34","8","2","25015","25021","285001059","10","166","59","91002","2"
"35","8","2","25015","25021","285001060","30","169","60","91002","2"
"35","8","2","25015","25021","285001061","10","171","61","91002","2"
"35","8","2","25015","25021","285001062","10","174","62","91002","2"
"36","8","2","25015","25021","285001063","10","177","63","91002","2"
"36","8","2","25015","25021","285001064","10","180","64","91002","2"
"36","8","2","25015","25021","285001065","10","182","65","91002","2"
"37","8","2","25015","25021","285001066","10","185","66","91002","2"
"37","8","2","25015","25021","285001067","10","187","67","91002","2"
"37","8","2","25015","25021","285001068","10","190","68","91002","2"
"38","8","2","25015","25021","285001069","10","193","69","91002","2"
"38","8","2","25015","25021","285001070","30","196","70","91002","2"
