5431f19ac80551676468666fcfbffe7de31b45f8d20936d19b2fd673a36f19d8,3bc612a958562edf95fb1cfdd81763844c6c6e98a0435103a5d11e47a5697ee6,02edfd93bce6dcb23b8d441b0812914d4aafb38e891adf09faa3afda66883a00,fa0f7849910fe57763b982543439c20aceddfa40b0494262d473ba9545b5976e,26b02c2f8fc958097a054eb3cfb7631cc1141b956dafeaba5c18996d0b9a6f54,2e5162e99b5d623f68bb2b0ab11dfeeeb16925429d35e771b675d592d2696ae1,4309a3b62aa9863173f46edc8fa2eed113f43f85f7519f0321ca470748f192cc,29fb432f4b0c86b79ed3fbb4d21af7628694800b534cb908f93f40c0b82f193c,0a7ee22f4733b5b3a18ba253ffab36221ec1fac659ae740035c4f9e3173710b4,ea404bac81cae22d2233a57cf0603cce0d79762a82ce9b96773558e18f3ede0a,0068d51f192754f6113aeee47f61543c06c7899e3dbed99ed96cc42f3341fa7d,619d49912c1c2c4e4965fc822c65455f875db9ef988ba2856529444bd5d52cea
"610201102","5201322","70","1","0","5","10201201","5201321","5.5","0","0","1"
"610201103","5201323","0","3","3","5","10201201","0","1.5","600","15","2"
"610201104","0","0","1","0","5","10201201","0","1.5","0","0","3"
"610201105","0","70","1","0","5","10201501","0","5.5","0","0","1"
"610201106","0","0","3","3","5","10201501","0","1.5","600","15","2"
"610201107","0","0","1","0","5","10201501","0","1.5","0","0","3"
"610201152","5201332","0","2","3","5","10201251","5201331","5.5","600","0","1"
"610201153","5201333","65","1","0","5","10201251","0","1.5","0","0","2"
"610201154","0","0","1","0","5","10201251","0","1.5","0","0","3"
"610201155","0","0","2","3","5","10201551","0","5.5","600","0","1"
"610201156","0","65","1","0","5","10201551","0","1.5","0","0","2"
"610201157","0","0","1","0","5","10201551","0","1.5","0","0","3"
"610202102","5202322","0","2","3","5","10202201","5202321","5.5","600","0","1"
"610202103","5202323","70","1","0","5","10202201","0","1.5","0","0","2"
"610202104","0","0","1","0","5","10202201","0","1.5","0","0","3"
"610202105","0","0","2","3","5","10202501","0","5.5","600","0","1"
"610202106","0","70","1","0","5","10202501","0","1.5","0","0","2"
"610202107","0","0","1","0","5","10202501","0","1.5","0","0","3"
"610203102","5203322","0","2","3","5","10203201","5203321","5.5","600","0","1"
"610203103","5203323","66","1","0","5","10203201","0","1.5","0","0","2"
"610203104","0","0","1","0","5","10203201","0","1.5","0","0","3"
"610203105","0","0","2","3","5","10203501","0","5.5","600","0","1"
"610203106","0","66","1","0","5","10203501","0","1.5","0","0","2"
"610203107","0","0","1","0","5","10203501","0","1.5","0","0","3"
"610204102","5204322","0","2","3","5","10204201","5204321","5.5","600","0","1"
"610204103","5204323","60","1","0","5","10204201","0","1.5","0","0","2"
"610204104","0","0","1","0","5","10204201","0","1.5","0","0","3"
"610204105","0","0","2","3","5","10204501","0","5.5","600","0","1"
"610204106","0","80","1","0","5","10204501","0","1.5","0","0","2"
"610204107","0","0","1","0","5","10204501","0","1.5","0","0","3"
"610205102","5205322","0","2","3","5","10205201","5205321","5.5","600","0","1"
"610205103","5205323","65","1","0","5","10205201","0","1.5","0","0","2"
"610205104","0","0","1","0","5","10205201","0","1.5","0","0","3"
"610205105","0","0","2","3","5","10205501","0","5.5","600","0","1"
