0ff940d871a1368e0b0c75a1e1e9622aa4a4c9a6d0814a336264e37e683ee31a,689ec86f2ee2d3eb12c4e696ed0dfb3ec3b0832016d1f43038e616459e6e3f93,31de78b1f319e2a6a1ba8d1c48f242332d471176be8f8655b35f8b8c03f31818,7be76ed031b21bd622c87fb2b7ea600ab104beb95134adb08f87273764f6fdb9,1852961ce0ba1c18a2b8ff41bce0e43c24407e4e4ef50919c4f40030b8f0b56e,26abf870a67b4217262cefd39f4da751f4927bc51ab82bb93ab9f02b8d2886e7,82ac34ce943a6a076b491f9a7fc1b9789f6c0537237ca1002011b503cb45b591,9bd545709790bc166dbcf598f29c96d1f77245ce9f0276778871636c87e796d0,e595eb4f08ca6f51fc3bec419246197535a9844f3fce189757643bf60b6cd957,6c59f2cef82c5d689db30706cdfb0d605ed876c574be02800ca7b61a594591e1,d90cdb5abba29913d9ef1db648166aad3cf33a25eef26f6c8d0132cde67aade4
"119931","1","1","0","-200","100","-220","1.7","psy_miyako_idle","1","1001"
"1","1","1","1","1000","100","-220","1.7","psy_idle_normal","5","1002"
"2","1","1","0","-50","105","-220","1.7","psy_fairy_idle","5","1003"
"11","1","1","","0","0","1","1","","31","1004"
"psy_item00_run","1","1","","","1","","0.2","","3","1005"
"285","1","1","","2.5","-220","0","","","2","1006"
"","1","2.5","","","","","","","93","1007"
"psy_item00_idle","1","1","","","1","","0.2","","3","1008"
"","1","0.5","","","","","","","93","1009"
"psy_miyako_talk1","1","119931","","","1","","0.2","","3","1010"
"vo_minigame_1008_drama_0101","1","vo_minigame_1008","","0","0","","","","21","1011"
"おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","1","119931","0","1","6","0","0","0.5","11","1012"
"1","1","6","","","","","","","93","1013"
"psy_miyako_doya_in","1","119931","0.2","psy_miyako_doya_loop","0","1","0.2","","3","1014"
"","1","1012","","","","","","","91","1015"
"0","1","0","","","","","","","22","1016"
"psy_fairy_talk","1","2","","","1","","0.2","","3","1017"
"vo_minigame_1008_drama_9901","1","vo_minigame_1008","","0","0","","","","21","1018"
"キュイキュイ！","1","2","0","1","6","0","0","0.5","11","1019"
"","1","0","","","","","","","91","1020"
"psy_fairy_idle","1","2","","","1","","0.2","","3","1021"
"psy_miyako_talk2","1","119931","","","1","","0.2","","3","1022"
"vo_minigame_1008_drama_0102","1","vo_minigame_1008","","0","0","","","","21","1023"
"オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","1","119931","0","1","5","0","0","0.5","11","1024"
"1","1","2","","","","","","","93","1025"
"psy_miyako_talk_joy2","1","119931","","","1","","0.2","","3","1026"
"","1","1024","","","","","","","91","1027"
"0","1","0","","","","","","","22","1028"
"psy_miyako_idle","1","119931","","","1","","0.2","","3","1029"
"1","1","2","","","","","","","4","1030"
"psy_fairy_run_in","1","2","0","psy_fairy_run","0","1","0.2","","3","1031"
"","1","1.3","","","","","","","93","1032"
"1000","1","2","","1","-220","0","","","2","1033"
"","1","2","","","","","","","93","1034"
"psy_miyako_doya_in","1","119931","0.2","psy_miyako_doya_loop","0","1","0.2","","3","1035"
