b951b0f2343a4ee96224bf1d06453ca3034d609907321b39410312904ff42533,b1288b0aee6c2c6de057b30ffdbfe7ef123521c28d2a44f9f3a6ec61ed3d018b,df8e9afffe3924b229c8562511ee088bddd04220af3e6bed355319b96e5b82cb,24b5a24df2a2458609f8d88d9aea3ae14a4bbc76a41e930a5512a03a8e518487,5309e63437516c2f5632b4c5ce377cc99917c3244b960bdd841cb2c27d190e7c,a2826a24e41a99df2f38e14a549b59e23a49914ae73e995cd14d2147c2f53d26,10ed4e40e9be0c8d941777c607684ba87a702a3095b67a952e0774d96fe539b9,e570d0bfded69f72d42e6f7fef972b77b5540b6bc2128a73ef85262352b07b3b
"30050237","10050640","0","30050236","3000","10050650","0","0"
"30050414","10050659","0","30050413","3000","10050670","0","0"
"30050422","10050723","0","30050421","3000","10050735","0","30050423"
"30050425","10050818","0","30050424","3000","10050360","0","30050426"
"30060188","10060402","30060190","30060187","3000","10060413","0","30060189"
"30060192","10060480","0","30060191","3000","10060492","0","30060193"
"30060195","10060542","30060197","30060194","3000","10060545","0","30060196"
"30060209","10060591","30060211","30060208","3000","10060606","30060212","30060210"
"30070187","10070608","30070189","30070186","3000","10070626","0","30070188"
"30070199","10070914","30070201","30070198","3000","10070926","30070202","30070200"
"30070207","10071038","30070209","30070206","3000","10071052","30070210","30070208"
"30070194","10071117","30070196","30070193","3000","10071131","0","30070195"
"30080237","10080640","0","30080236","3000","10080650","0","0"
"30080414","10080659","0","30080413","3000","10080670","0","0"
"30080422","10080723","0","30080421","3000","10080735","0","30080423"
"30080425","10080818","0","30080424","3000","10080360","0","30080426"
