4eba76dccfc06c55ba7a945d594b7be193624755d81b3e8d157168c5412fb47c,dd9b988b9679d0621c44712ef7f78f389bf414ceb3c42e2a153db23b1da7aabd,82a02a7360d326c4d03b08b8a98709b9ed69f79f5695be8a877a61aaf85543d7,06321d850d79cefae8337940e18e616692ac510f78abef534b01e07ed258011e,7c7c30b6187c30bf8cea29e98622baafb57214847669c204d2465ec008396f51,93e666ca40ac02a6cd2a7353c58cb119daaf0fc9b8d4b5b86ad7a66c95f68812,95fb0cd3cc3d5466ca1d18fe0c1d664bcbe3c24a8bbc241d51be1a12a03b025e,876d864d9380f3f5c1c3f6b86ef77a7a81ae9f41790090819f0abbdb0654a80f,4aa902e9b37b205861bfe6a2abb721caddf683778e91c1418d5284e5063268e6
"1","","1","1","2","21600","2","23001",""
"1","","2","1","3","19800","2","23001",""
"1","","3","1","3","18000","2","23001",""
"1","","4","1","3","16200","2","23001",""
"1","","5","1","4","14400","2","23001",""
"1","","6","1","4","12960","2","23001",""
"1","","7","1","5","11520","2","23001",""
"1","","8","1","6","10080","2","23001",""
"1","","9","1","7","8640","2","23001",""
"1","","10","1","8","7200","2","23001",""
"1","","11","1","10","5760","2","23001",""
"1","","12","1","12","5040","2","23001",""
"1","","13","1","14","4320","2","23001",""
"1","","14","2","16","7200","2","23001",""
"1","","15","2","18","5400","2","23001",""
"1","","16","2","18","5040","2","23001",""
"1","","17","2","18","4800","2","23001",""
"1","","18","2","20","4500","2","23001",""
"1","","19","2","20","4320","2","23001",""
"1","","20","3","24","6000","2","23001",""
"1","","21","3","48","5700","2","23001",""
"1","","22","3","48","5400","2","23001",""
"1","","23","3","51","5220","2","23001",""
"1","","24","3","54","4980","2","23001",""
"1","","25","3","54","4800","2","23001",""
"1","","26","3","60","4500","2","23001",""
"1","","27","3","60","4320","2","23001",""
"1","","28","3","63","4200","2","23001",""
"1","","29","4","64","5400","2","23001",""
"1","","30","4","68","5220","2","23001",""
"1","","31","4","72","5040","2","23001",""
"1","","32","4","72","4920","2","23001",""
"1","","33","4","72","4800","2","23001",""
"1","","34","4","76","4680","2","23001",""
"1","","35","4","80","4500","2","23001",""
"2","","1","20","80","21600","6","93001",""
"2","","2","24","96","21600","6","93001",""
"2","","3","28","112","21600","6","93001",""
"2","","4","30","120","21600","6","93001",""
"2","","5","32","128","21600","6","93001",""
"2","","6","34","136","21600","6","93001",""
"2","","7","36","144","21600","6","93001",""
"2","","8","38","152","21600","6","93001",""
"2","","9","40","160","21600","6","93001",""
"2","","10","42","168","21600","6","93001",""
"2","","11","44","176","21600","6","93001",""
"2","","12","46","184","21600","6","93001",""
"2","","13","48","192","21600","6","93001",""
"2","","14","50","200","21600","6","93001",""
"2","","15","52","208","21600","6","93001",""
"2","","16","54","216","21600","6","93001",""
"2","","17","56","224","21600","6","93001",""
"2","","18","58","232","21600","6","93001",""
"2","","19","60","240","21600","6","93001",""
"2","","20","62","248","21600","6","93001",""
"2","","21","64","256","21600","6","93001",""
"2","","22","66","264","21600","6","93001",""
"2","","23","68","272","21600","6","93001",""
"2","","24","70","280","21600","6","93001",""
"2","","25","72","288","21600","6","93001",""
"2","","26","74","296","21600","6","93001",""
"2","","27","76","304","21600","6","93001",""
"2","","28","78","312","21600","6","93001",""
"2","","29","80","320","21600","6","93001",""
"2","","30","82","328","21600","6","93001",""
"2","","31","84","336","21600","6","93001",""
"2","","32","85","340","21600","6","93001",""
"2","","33","86","344","21600","6","93001",""
"2","","34","87","348","21600","6","93001",""
"2","","35","88","352","21600","6","93001",""
"3","","1","1","3","14400","2","20001",""
"3","","2","1","5","9600","2","20001",""
"3","","3","1","7","7200","2","20001",""
"3","","4","1","10","5400","2","20001",""
"3","","5","1","15","3600","2","20001",""
"3","","6","1","6","9600","2","20002",""
"3","","7","1","8","7200","2","20002",""
"3","","8","1","12","4800","2","20002",""
"3","","9","1","16","3600","2","20002",""
"3","","10","1","20","2700","2","20002",""
"3","","11","1","6","10800","2","20003",""
"3","","12","1","8","9000","2","20003",""
"3","","13","1","12","7200","2","20003",""
"3","","14","1","16","5400","2","20003",""
"3","","15","1","20","3600","2","20003",""
"3","","16","1","30","2880","2","20003",""
"3","","17","1","7","12600","2","20004",""
"3","","18","1","8","11400","2","20004",""
"3","","19","1","9","10200","2","20004",""
"3","","20","1","10","9300","2","20004",""
"3","","21","1","10","8700","2","20004",""
"3","","22","1","13","6600","2","20004",""
"3","","23","1","14","6300","2","20004",""
"3","","24","1","15","6000","2","20004",""
"3","","25","1","15","5700","2","20004",""
"3","","26","1","16","5400","2","20004",""
"3","","27","1","17","5100","2","20004",""
"3","","28","1","18","4860","2","20004",""
"3","","29","1","19","4620","2","20004",""
"3","","30","1","20","4440","2","20004",""
"3","","31","1","21","4260","2","20004",""
"3","","32","1","22","4080","2","20004",""
"3","","33","1","22","3960","2","20004",""
"3","","34","1","23","3840","2","20004",""
"3","","35","1","24","3720","2","20004",""
"4","","1","3000","12000","21600","12","94002",""
"4","","2","4500","18000","21600","12","94002",""
"4","","3","6000","24000","21600","12","94002",""
"4","","4","7500","30000","21600","12","94002",""
"4","","5","10500","42000","21600","12","94002",""
"4","","6","13500","54000","21600","12","94002",""
"4","","7","16500","66000","21600","12","94002",""
"4","","8","21000","84000","21600","12","94002",""
"4","","9","25500","102000","21600","12","94002",""
"4","","10","30000","120000","21600","12","94002",""
"4","","11","36000","144000","21600","12","94002",""
"4","","12","42000","168000","21600","12","94002",""
"4","","13","48000","192000","21600","12","94002",""
"4","","14","55500","222000","21600","12","94002",""
