d82fe5d3ef859c8da4e2fde99a7968135a39dd8b4bc8715161b3d1a8eb5a072a,ddb02499e181fe32d9c1e970a04c852c874fe32ec269c4c920753ac515eb9bcf,881c83fc6302f2f870c5ed49ff9ae6cf587a77c17f4a614cabaf1a9876b8ef06,dff9ca4f0f592ab47edd03be8c76246c8f73525c56b63eee854cc5e7a33b0f22,132a71521bc8e369213fe86ac2801404c020341476563c6054956c2ce3332218
"1","0","81000104","bgm_M125","70"
"2","0","81000104","bgm_M125","110"
"3","0","81000104","bgm_M125","130"
"4","0","81000104","bgm_M125","150"
"5","0","81000104","bgm_M125","170"
"6","0","81000104","bgm_M125","190"
"7","0","81000104","bgm_M125","210"
"8","0","81000104","bgm_M125","230"
"9","0","81000104","bgm_M125","250"
"10","0","81000104","bgm_M125","270"
"11","0","81000104","bgm_M125","290"
"12","0","81000104","bgm_M125","310"
"13","0","81000104","bgm_M125","330"
"14","73140350","81000104","bgm_M125","350"
"15","73150360","81000104","bgm_M125","360"
"16","73160370","81000104","bgm_M125","370"
"17","73170380","81000104","bgm_M125","380"
"18","73180390","81000104","bgm_M125","390"
"19","73190400","81000104","bgm_M125","400"
"20","73200410","81000104","bgm_M125","410"
"21","73210420","81000104","bgm_M125","420"
"22","73220430","81000104","bgm_M125","430"
"23","73230440","81000104","bgm_M125","440"
"24","73240450","81000104","bgm_M125","450"
"25","73250460","81000104","bgm_M125","460"
"26","73260470","81000104","bgm_M125","470"
"27","73270480","81000104","bgm_M125","480"
"28","73280490","81000104","bgm_M125","490"
"29","73290500","81000104","bgm_M125","500"
"30","73300510","81000104","bgm_M125","510"
"31","73310520","81000104","bgm_M125","520"
"32","73320530","81000104","bgm_M125","530"
"33","73330540","81000104","bgm_M125","540"
"34","73340550","81000104","bgm_M125","550"
"35","73350560","81000104","bgm_M125","560"
"36","73360570","81000104","bgm_M125","570"
"37","73370580","81000104","bgm_M125","580"
"38","73380590","81000104","bgm_M125","590"
"39","73390600","81000104","bgm_M125","600"
"40","73400610","81000104","bgm_M125","610"
"41","73410620","81000104","bgm_M125","620"
"42","73420630","81000104","bgm_M125","630"
"43","73430640","81000104","bgm_M125","640"
"44","73440650","81000104","bgm_M125","650"
"45","73450660","81000104","bgm_M125","660"
"46","73460670","81000104","bgm_M125","670"
"47","73470680","81000104","bgm_M125","680"
"48","73480690","81000104","bgm_M125","690"
"49","73490700","81000104","bgm_M125","700"
"50","73500710","81000104","bgm_M125","710"
"51","73510720","81000104","bgm_M125","720"
"52","73520730","81000104","bgm_M125","730"
"53","73530740","81000104","bgm_M125","740"
"54","73540750","81000104","bgm_M125","750"
"55","73550760","81000104","bgm_M125","760"
"56","73560770","81000104","bgm_M125","770"
