f8127a0cf43ecb8faf6c8e9492a7d0849d9461a23a2a8c7de90258db0216a0ea,325b278065a70593493fd6f8a32c6b859277ee4792708d3a0a49241058c80dbe,38d25ee6cec1b52fc03aed1ea47dccaa12230aa714f5a97cabdd702cc77c04d6,55102fedff63a942d962b2077fd2407da3797185b84535676b2afef8c1863111,154222944a5344b58c1e6c473e99362fdc429229d018b264c5f6b30f3f4cf845,69ab6b0157ec73225bffea721edddb2432df5af21d155e2f7c54aea49eca4bfc
"2114001","212","802100290","211","1","1005"
"2114002","212","802100290","211","1","1006"
"2114003","212","802100290","211","1","1007"
"2114004","212","802100290","211","1","1008"
"2113061","100","802100266","104","0","100501"
"2113062","100","802100266","104","0","100502"
"2113063","102","802100266","105","0","100503"
"2113064","103","802100266","106","0","100504"
"2113065","100","802100266","104","0","100505"
"2113066","100","802100266","104","0","100506"
"2113067","102","802100266","105","0","100507"
"2113068","103","802100266","106","0","100508"
"2113069","100","802100266","104","0","100509"
"2113070","100","802100266","104","0","100510"
"2113071","100","802100267","104","0","100511"
"2113072","100","802100267","104","0","100512"
"2113073","102","802100267","105","0","100513"
"2113074","103","802100267","106","0","100514"
"2113075","100","802100267","104","0","100515"
"2113076","100","802100267","104","0","100516"
"2113077","102","802100267","105","0","100517"
"2113078","103","802100267","106","0","100518"
"2113079","100","802100267","104","0","100519"
"2113080","100","802100267","104","0","100520"
"2113081","100","802100268","104","0","100521"
"2113082","100","802100268","104","0","100522"
"2113083","102","802100268","105","0","100523"
"2113084","103","802100268","106","0","100524"
"2113085","100","802100268","104","0","100525"
"2113086","112","802100268","208","1","100526"
"2113087","110","802100268","201","1","100527"
"2113088","100","802100268","104","0","100528"
"2113089","102","802100268","105","0","100529"
"2113090","103","802100268","106","0","100530"
"2113031","114","802100263","203","1","100601"
"2113032","113","802100263","202","1","100602"
"2113033","102","802100263","105","0","100603"
"2113034","103","802100263","106","0","100604"
"2113035","114","802100263","203","1","100605"
"2113036","113","802100263","202","1","100606"
"2113037","111","802100263","204","1","100607"
"2113038","113","802100263","202","1","100608"
"2113039","113","802100263","202","1","100609"
"2113040","103","802100263","106","0","100610"
"2113041","114","802100264","203","1","100611"
"2113042","113","802100264","202","1","100612"
"2113043","102","802100264","105","0","100613"
"2113044","103","802100264","106","0","100614"
"2113045","114","802100264","203","1","100615"
"2113046","113","802100264","202","1","100616"
"2113047","111","802100264","204","1","100617"
"2113048","113","802100264","202","1","100618"
"2113049","113","802100264","202","1","100619"
"2113050","103","802100264","106","0","100620"
"2113051","102","802100265","105","0","100621"
"2113052","114","802100265","203","1","100622"
"2113053","113","802100265","202","1","100623"
"2113054","111","802100265","204","1","100624"
"2113055","103","802100265","106","0","100625"
"2113056","112","802100265","208","1","100626"
"2113057","110","802100265","201","1","100627"
"2113058","114","802100265","203","1","100628"
"2113059","113","802100265","202","1","100629"
"2113060","103","802100265","106","0","100630"
"2113091","112","802100269","205","1","100701"
"2113092","112","802100269","206","1","100702"
"2113093","117","802100269","102","0","100703"
"2113094","102","802100269","105","0","100704"
"2113095","102","802100269","105","0","100705"
"2113096","113","802100269","202","1","100706"
"2113097","114","802100269","203","1","100707"
"2113098","117","802100269","102","0","100708"
"2113099","102","802100269","105","0","100709"
"2113100","113","802100269","202","1","100710"
"2115001","112","802100270","205","1","100711"
"2115002","117","802100270","102","0","100712"
"2115003","102","802100270","105","0","100713"
"2115004","103","802100270","106","0","100714"
"2115005","114","802100270","203","1","100715"
"2115006","113","802100270","202","1","100716"
"2115007","112","802100270","207","1","100717"
"2115008","102","802100270","105","0","100718"
"2115009","103","802100270","106","0","100719"
"2115010","113","802100270","202","1","100720"
"2115011","112","802100271","205","1","100721"
"2115012","112","802100271","208","1","100722"
"2115013","117","802100271","102","0","100723"
"2115014","102","802100271","105","0","100724"
"2115015","103","802100271","106","0","100725"
"2115016","112","802100271","208","1","100726"
"2115017","110","802100271","201","1","100727"
"2115018","117","802100271","102","0","100728"
"2115019","102","802100271","105","0","100729"
"2115020","103","802100271","106","0","100730"
"2113001","104","802100260","103","0","100801"
"2113002","100","802100260","104","0","100802"
"2113003","100","802100260","104","0","100803"
"2113004","102","802100260","105","0","100804"
"2113005","102","802100260","105","0","100805"
"2113006","100","802100260","104","0","100806"
"2113007","100","802100260","104","0","100807"
"2113008","102","802100260","105","0","100808"
"2113009","102","802100260","105","0","100809"
"2113010","101","802100260","107","0","100810"
"2113011","104","802100261","103","0","100811"
"2113012","100","802100261","104","0","100812"
"2113013","100","802100261","104","0","100813"
"2113014","102","802100261","105","0","100814"
"2113015","103","802100261","106","0","100815"
"2113016","100","802100261","104","0","100816"
"2113017","100","802100261","104","0","100817"
"2113018","102","802100261","105","0","100818"
"2113019","103","802100261","106","0","100819"
"2113020","100","802100261","104","0","100820"
"2113021","104","802100262","103","0","100821"
"2113022","100","802100262","104","0","100822"
"2113023","100","802100262","104","0","100823"
"2113024","102","802100262","105","0","100824"
"2113025","102","802100262","105","0","100825"
"2113026","112","802100262","208","1","100826"
"2113027","110","802100262","201","1","100827"
"2113028","102","802100262","105","0","100828"
"2113029","103","802100262","106","0","100829"
"2113030","104","802100262","103","0","100830"
