7b63ce187a364451d5e64f4c5bd73a9e0780dc7f7808cae9dfb3aee22fe19020,cd807bb1588c8bac60ed7b9f1bb8a3d83c7cf5f8bf6e17f5b964c56b1320f73e,8c39e9a67820a76cbe26d37e596d011f6367ca10b6a9b2136f6b248c4f0a93fe,42677a1438aa2f2c0e79d9af30d955cf20acb2a26b768c16e04bfee6d110f34c,1dda75c1238daab2e39f31703803b455f0f17e485769d5bea98f8acd90c337f9,fb02034c56d8c25c53fdb95794525bb683c6b0dce28ab6397ca7ba3cef9160ae,4bdaa8177e972ba2ebaa023b5638809b16ca93bf7b85c04c0d247ac2f6825c8a
"1101","2","0","11011","2","11012","ギルド管理協会です！どんなお仲間をお探しですか？"
"1102","2","0","11021","2","11022","ギルド管理協会です！どんなお仲間をお探しですか？"
"1103","2","0","11031","2","11032","ギルド管理協会です！どんなお仲間をお探しですか？"
"1104","2","0","11041","2","11042","ギルド管理協会です！どんなお仲間をお探しですか？"
"1105","4","0","11051","4","11052","魔物たちが集まる闘技場を見つけた！"
"1107","7","11071","11073","7","11072","不思議な石板を発見！どうする？"
"1108","8","0","11082","8","11081","ダンジョンで迷った！どっちに進む？"
"1109","4","0","11091","4","11092","魔物たちが集まる闘技場を見つけた！"
"1110","3","11103","11101","3","11102","じゃんけん……ぽん！"
"1111","10","0","11111","10","11112","箱の中から声が聞こえる……"
"1112","11","0","11121","11","11122","イベント会場に魔物が現れた！"
"1113","4","0","11131","4","11132","魔物たちが集まる闘技場を見つけた！"
"1117","4","0","11171","4","11172","魔物たちが集まる闘技場を見つけた！"
"1118","4","0","11181","4","11182","魔物たちが集まる闘技場を見つけた！"
"1119","4","0","11191","4","11192","魔物たちが集まる闘技場を見つけた！"
"1120","4","0","11201","4","11202","魔物たちが集まる闘技場を見つけた！"
"1121","4","0","11211","4","11212","魔物たちが集まる闘技場を見つけた！"
"1122","4","0","11221","4","11222","魔物たちが集まる闘技場を見つけた！"
"1123","4","0","11231","4","11232","魔物たちが集まる闘技場を見つけた！"
"1124","4","0","11241","4","11242","魔物たちが集まる闘技場を見つけた！"
"1125","4","0","11251","4","11252","魔物たちが集まる闘技場を見つけた！"
"1126","4","0","11261","4","11262","魔物たちが集まる闘技場を見つけた！"
"1127","4","0","11271","4","11272","魔物たちが集まる闘技場を見つけた！"
"1128","4","0","11281","4","11282","魔物たちが集まる闘技場を見つけた！"
"1129","4","0","11291","4","11292","魔物たちが集まる闘技場を見つけた！"
"1130","4","0","11301","4","11302","魔物たちが集まる闘技場を見つけた！"
"1131","4","0","11311","4","11312","魔物たちが集まる闘技場を見つけた！"
"1132","4","0","11321","4","11322","魔物たちが集まる闘技場を見つけた！"
"1133","4","0","11331","4","11332","魔物たちが集まる闘技場を見つけた！"
"1134","4","0","11341","4","11342","魔物たちが集まる闘技場を見つけた！"
"1135","4","0","11351","4","11352","魔物たちが集まる闘技場を見つけた！"
"1136","4","0","11361","4","11362","魔物たちが集まる闘技場を見つけた！"
"1137","4","0","11371","4","11372","魔物たちが集まる闘技場を見つけた！"
"1314","5","0","13141","5","0","釣りスポットを発見！"
"1315","9","0","13151","9","0","絶好のピクニック日和だ！"
"1316","6","0","13161","6","0","スロットマシンだ！挑戦する？"
"2314","5","0","23141","5","0","ラッキー！もう一回釣れるぞ！"
"2315","9","0","23152","9","23151","料理ができた！でも、まだ材料はあるぞ！"
"2316","6","0","23162","6","23161","もう一勝負だ！"
"3314","5","0","33141","5","0","ラストもう一回！"
"3315","9","0","33152","9","33151","完璧！でも、まだまだ材料はあるぞ！"
"3316","6","0","33162","6","33161","ラスト一発！"
