c89fe0b91a1beac35d642354b9bade38cba823a8fb8b1e9e7d863d048c26cdf1,3a54440619ca7de4c5e38d21752a0c3d66b7068e0e9a0dbc576e198f92e31268,3c6e0ae20b3fe21685e71cbd8aad736579d8b071b8fd236f2bd224f02fd7de75,629b44c8da6e6fda8d0e357582a669ee5dc26bc8e81b699957506141f025901b
"1","10000","1","ＨＰ"
"1","10000","2","物理攻撃力"
"1","10000","3","物理防御力"
"1","10000","4","魔法攻撃力"
"1","10000","5","魔法防御力"
"1","10000","6","物理クリティカル"
"1","10000","7","魔法クリティカル"
"0","1","8","回避"
"0","1","9","ＨＰ吸収"
"0","1","10","ＨＰ自動回復"
"0","1","11","ＴＰ自動回復"
"0","1","12","物理貫通ダメージ"
"0","1","13","魔法貫通ダメージ"
"0","1","14","ＴＰ上昇"
"0","1","15","回復量上昇"
"0","1","16","ＴＰ消費軽減"
"0","1","17","命中"
"1","100","100","物理クリティカルダメージ"
"1","100","101","魔法クリティカルダメージ"
"1","100","102","物理与ダメージ"
"1","100","103","魔法与ダメージ"
"1","10000","104","属性ボーナス"
