8cb77a2bb06414804a7dea21d1948cdf6486214b4cd9c1bc82cbcc7afd10a522,67ecd11d730c1c980a94444f759754b75fce7b02d211a9f4e557400b8d762044,9e9846c4aae21748d0fc9e9d6337f79c46dad68d9a16b9aae3af03deb2b9a5da,bd94182fba018bc493e574d8594a86ee458d51c584341b96d69be735bf7bc77c,46b5dbd638faed00a1d762a1a4eeefe0171133181329cf93168e81825daee272,ee905bb12731e6708dc5739279d6a1fb4f2c0a9a84998599779f6b43b9dd0b2c,404b5d7245e524d3bbf6623dc7441fce67878036bf2f0ff5c47565271f0681a8,f3e3fa65040aa2e57e427304b69f7be69338c4840424bd0f193bedf7aaa052cb,6a0cae2b94470ab295d8cd196cfd861dac64bb284f3e54ea446998ff7c5ba6c8,2e4a37b1b79951f41b3c375b7256f9d51bb881bdc46e08a9746306ddb01aec32,1d5e489ac95fbd71c0be57abb47dda34c2dd59fee7ff40970e59ceaabc56e241
"イ","","","","","","","","","1082",""
"オ","","","","","","","","","1107",""
"","","","","","","ツ","","","1176",""
"ー","","","","","ル","","","ホ","1189",""
"ゥー","","","","","","","","","1192",""
"イ","","","","","","","","","1245",""
"","","","ゃさ","","ちそ","","","","1250",""
"ト","トメア","ナイト","ア","イトメ","メ","ナ","ナイア","イ","2013","ナメア"
"ラ","ンドル","ランド","ル","ラドソ","","ン","ランル","ソ","2014","ドソル"
"と","るのと","そるの","う","そのと","","る","そるう","","2015","そのう"
"と","のとう","るなう","の","なのと","う","る","るなと","な","2016","るのう"
"う","くうて","ひくう","","ひうて","い","く","ひくて","","2017","ひてい"
"ゃ","","ふゃ","ん","しん","し","ふ","ふゃ","","2019","ふん"
"し","ぎしゅ","むしわ","ぎ","むぎし","む","ゅ","ぎゅわ","わ","2020","むゅわ"
"","S","","","","","","E","","2031",""
"","","AE","","","","","","","2032",""
"","","","","","","","A","","2033","R"
"","","","","","","","E","","2034","I"
"","","","","","","","UA","","2036","R"
"","","Y","","E","","","E","","2037","L"
"","","I","","V","","","E","","2038","L"
"","","","","","","","L","","2040","I"
"","","","","","","","","","2041","A"
"","Y","","","","","","","","2042",""
"","K","","","","","","","","2043","A"
"","","","","","","","","","2045","A"
"","Q","","","","","","","","2046","R"
"","","","","","","","A","","2047","R"
"","KQ","","","","","","","","2048","A"
"","","","","","","","B","","2049",""
"","","T","","","","","U","","2050","A"
"","","P","","","","","EI","","2052","C"
"","","T","","","","","I","","2053","A"
"","","S","","","","","","","2054",""
"","","","","","","","","","2055","R"
"","","","","","","","V","","2056",""
"","","","","","","","","","2058","WU"
"","R","","","","","","","","2059",""
"","R","","","","","","","","2060",""
"","","","","","","","","","2062","S"
"","","S","","S","","","A","","2063","E"
"","","A","","","","","","","2064","A"
"","","S","","","","","A","","2065",""
"","C","","","","","","","","2066",""
"","","","","","","","B","","2067",""
"","L","","","","","","I","","2068",""
"","C","","","","","","","","2069","E"
"","","","","D","","","E","","2070",""
"","","I","","N","","","A","","2071",""
"","","A","","","","","","","2074","C"
"","","A","","","","","","","2077","A"
"","","","し","","","ち","","","2092",""
"","フ","ト","","ム","","","ン","","2130","ァ"
"聴言","","","聞聴","","わ","か","","視","2200",""
"","","","ビブ","","","ー","","","2201",""
"","","","ル","","","","","","2202",""
"飯","","","","","鯉","","","麦","2216",""
"ゅ","","","","","う","","","し","2261",""
"","","","","","","ぅ","","","2264",""
"ー","","","","","","","","","2266",""
"ふ","","","き","","く","ん","","ひ","2295",""
"","","","だ","","","","","","2313",""
"","ル","","","","","","","","3020","ナ"
"ェ","","","","","","","","フ","3066",""
"","","","","","","","","く","3068",""
"","","","","","が","","","","3073",""
"","","","生","","","","","","3084",""
"","","","ア","","","","","","3158",""
"","","","","","ひ","","","","3165",""
"","","","か","","","","","","3187",""
"","","","シス","","デ","オ","","","3191",""
"","","","さ","","","ま","","","3193",""
"","ブ","","","","","","","","3195",""
"","","","","","ス","","","","3222",""
"","","","ず","","","","","","3238",""
"","","","帰","","","","","","3271",""
"ク","","","","","","","","","3277",""
"","","","","","ア","","","","3318",""
"","","","し","","","ち","","","4029",""
"","","","","","","X","","","4049",""
"","","","た","","","","","","4052",""
"","","","さ","","","","","","4077",""
"","","","","","","帯","","","4154",""
"","","","","","","","そ","","4157",""
"","","","","","","","い","","4167",""
"","二","","","","","","","","4171",""
"","","倍","","","","","","","4194","小"
"","","約","","","","","","","4195","大"
"","","","","","底","","","高","4196",""
"","半","","","","","","","","4197",""
"","","","く","","","","","","4203",""
"","","","","","ウ","","","","4220",""
"ィ","","","","","","","","","4222",""
"","","","","","","","","セ","4247",""
"","","","","","ー","","","","5010",""
"","","","","","ワ","","","","5011",""
"","","ラモ","","テカ","","","","","5030",""
"","","オモ","","レカ","","","","","5031",""
"","","","","","ー","","","","5051",""
"お","","","ら","","か","","","","5066",""
"","","","","","ぶ","","","","5100",""
"","み","じ","","つ","","","","","5109","つ"
"","カ","タ","","ー","","","ン","","5140","ウ"
"","","","","","","ロ","","","5147",""
"","","","","","と","","","","5160",""
"牛","卯辰戌","戌酉子","","卯戌子","虎","","戌卯辰","","5193","戌酉卯"
"","","","","","","ト","","","6060",""
"","","","","","ほ","","","","6065",""
"","","","ィ","","","","","","6157",""
"","","","","ト","","","","","6188",""
"ン","","","","","ド","","","イ","6203",""
"","","","ジ","","ク","ラ","","","6216",""
"","チ","","","","","","ウ","","6227","ョ"
