4fec589cd2ee6794819d7116123aa17dd56aed58f1329446cf63b52ba8f3306c,ad9fdd1e9927a42fa1a03d2a3841ef431f96349cf583f86f20d7787661e45a76,e5b9c1bc258dda08a5deb0b42e9f91f64a2ac240de7921bb6f46af1ae5d6e651,521096c64dd1c47f136b6c46d0efcb9955f730903294bee962b0d129149116cc,f28e02e5888864c409fa90490a5afbd087b8c21ceebe79ebd827f194b4613008,035153f19f57cd149efc531628ca6b9c45182cd6834dedc2c16748fdf37bb865,ab52d86f251d856330fd3efec42733e78e196c41e7a8974e92a1dc8f8a7f2f08
"306700","1","1001101","1","0","81001105","0"
"306700","1","1001102","1","0","81001106","0"
"306800","1","1001201","1","0","81001205","0"
"306800","1","1001202","1","0","81001206","0"
"307000","1","1001301","1","0","81001305","0"
"307000","1","1001302","1","0","81001306","0"
"307500","1","1001401","1","0","81001405","0"
"307500","1","1001402","1","0","81001406","0"
"307300","1","1001501","1","0","81001505","0"
"307300","1","1001502","1","0","81001506","0"
"307700","1","1001601","1","0","81001605","0"
"307700","1","1001602","1","0","81001606","0"
"307400","1","1001701","1","0","81001705","0"
"307400","1","1001702","1","0","81001706","0"
"307900","1","1001801","1","0","81001805","0"
"307900","1","1001802","1","0","81001806","0"
"307800","1","1001901","1","0","81001905","0"
"307800","1","1001902","1","0","81001906","0"
"308100","1","1002001","1","0","81002005","0"
"308100","1","1002002","1","0","81002006","0"
"308000","1","1002101","1","0","81002101","0"
"308000","1","1002102","1","0","81002102","0"
"308300","1","1002201","1","0","81002205","0"
"308300","1","1002202","1","0","81002206","0"
"308200","1","1002301","1","0","81002301","0"
"308200","1","1002302","1","0","81002302","0"
"304705","1","1002401","1","0","81002405","0"
"304705","1","1002402","1","0","81002406","0"
"308400","1","1002501","1","0","81002501","0"
"308400","1","1002502","1","0","81002502","0"
"305004","1","1002601","1","0","81002605","0"
"305004","1","1002602","1","0","81002606","0"
"308600","1","1002701","1","0","81002701","0"
"308600","1","1002702","1","0","81002702","0"
"305205","1","1002801","1","0","81002805","0"
"305205","1","1002802","1","0","81002806","0"
"309300","1","1002901","1","0","81002901","0"
"309300","1","1002902","1","0","81002902","0"
"305500","1","1003001","1","0","81003005","0"
"305500","1","1003002","1","0","81003006","0"
"310000","1","1003101","1","0","81003101","0"
"310000","1","1003102","1","0","81003102","0"
