b0e40013dee5b7bd6879a0cb87e44083d8d079ea658dbc020dea3362f3f32114,61c5a5254b8e9fb572c563a1c22b2560febf7e44223f9355de3aaaba857a831e,ddaec32e4958e2a5d56c68f61f520c628f8af5d430711f225505baede9ce6536,7a70b0c7023a0f8c9546e6e406348f886a4a63676468d914ad2c458c15e5b383,de5ef3435b371e947454b616d71f585261f8608c505b43af9939bfc8c0148eff,f69b6d38984fefd710c546bc6f6a30078a40e49840ee934c93e4a026e10840de,e68905a78715d0bab29914eef2fe000cd3e5a1e22e1d591c3720dcf97a0d1af5,b4ba9de0e70c4ac09767feb9a9f3a53e026d0f6d305902861374ca588357742a,9f8cacfff3a8833306ffc4801b1beda6584a30da92fe1aa14b33c726c140a8ce
"1","90043","12000","1","10","0","10000","90001","30000"
"2","90047","24000","2","20","0","10000","90002","30000"
"3","90047","24000","3","20","0","10000","90002","30000"
"4","90047","24000","4","20","0","10000","90002","30000"
"5","90047","24000","5","20","0","10000","90002","30000"
"6","90047","24000","6","20","0","10000","90002","30000"
"7","90047","24000","7","20","0","10000","90002","30000"
"8","90047","24000","8","20","0","10000","90002","30000"
"9","90047","24000","9","20","0","10000","90002","30000"
"10","90047","24000","10","20","0","10000","90002","30000"
"11","90051","48000","11","40","90011","10000","90003","30000"
"12","90051","48000","12","40","90011","10000","90003","30000"
"13","90051","48000","13","40","90011","10000","90003","30000"
"14","90051","48000","14","40","90011","10000","90003","30000"
"15","90051","48000","15","40","90011","10000","90003","30000"
"16","90051","48000","16","40","90011","10000","90003","30000"
"17","90051","48000","17","40","90011","10000","90003","30000"
"18","90051","48000","18","40","90011","10000","90003","30000"
"19","90051","48000","19","40","90011","10000","90003","30000"
"20","90051","48000","20","40","90011","10000","90003","30000"
"21","90055","72000","21","60","90015","10000","90004","30000"
"22","90055","72000","22","60","90015","10000","90004","30000"
"23","90055","72000","23","60","90015","10000","90004","30000"
"24","90055","72000","24","60","90015","10000","90004","30000"
"25","90055","72000","25","60","90015","10000","90004","30000"
"26","90055","72000","26","60","90015","10000","90004","30000"
"27","90055","72000","27","60","90015","10000","90004","30000"
"28","90055","72000","28","60","90015","10000","90004","30000"
"29","90055","72000","29","60","90015","10000","90004","30000"
"30","90055","72000","30","60","90015","10000","90004","30000"
"31","90059","96000","31","80","90015","10000","90005","30000"
"32","90059","96000","32","80","90015","10000","90005","30000"
"33","90059","96000","33","80","90015","10000","90005","30000"
"34","90059","96000","34","80","90015","10000","90005","30000"
"35","90059","96000","35","80","90015","10000","90005","30000"
"36","90059","96000","36","80","90015","10000","90005","30000"
"37","90059","96000","37","80","90015","10000","90005","30000"
"38","90059","96000","38","80","90015","10000","90005","30000"
"39","90059","96000","39","80","90015","10000","90005","30000"
"40","90059","96000","40","80","90015","10000","90005","30000"
"41","90063","144000","41","120","90017","10000","90005","30000"
"42","90063","144000","42","120","90017","10000","90005","30000"
"43","90063","144000","43","120","90017","10000","90005","30000"
"44","90063","144000","44","120","90017","10000","90005","30000"
"45","90063","144000","45","120","90017","10000","90005","30000"
"46","90063","144000","46","120","90017","10000","90005","30000"
"47","90063","144000","47","120","90017","10000","90005","30000"
"48","90063","144000","48","120","90017","10000","90005","30000"
"49","90063","144000","49","120","90017","10000","90005","30000"
"50","90063","144000","50","120","90017","10000","90005","30000"
"51","90067","180000","51","150","90019","10000","90006","30000"
"52","90067","180000","52","150","90019","10000","90006","30000"
"53","90067","180000","53","150","90019","10000","90006","30000"
"54","90067","180000","54","150","90019","10000","90006","30000"
"55","90067","180000","55","150","90019","10000","90006","30000"
"56","90067","180000","56","150","90019","10000","90006","30000"
"57","90067","180000","57","150","90019","10000","90006","30000"
"58","90067","180000","58","150","90019","10000","90006","30000"
"59","90067","180000","59","150","90019","10000","90006","30000"
"60","90067","180000","60","150","90019","10000","90006","30000"
"61","90071","216000","61","180","90021","10000","90007","30000"
"62","90071","216000","62","180","90021","10000","90007","30000"
"63","90071","216000","63","180","90021","10000","90007","30000"
"64","90071","216000","64","180","90021","10000","90007","30000"
"65","90071","216000","65","180","90021","10000","90007","30000"
"66","90071","216000","66","180","90021","10000","90007","30000"
"67","90071","216000","67","180","90021","10000","90007","30000"
"68","90071","216000","68","180","90021","10000","90007","30000"
"69","90071","216000","69","180","90021","10000","90007","30000"
"70","90071","216000","70","180","90021","10000","90007","30000"
