2e491c8d4e182793221811847c99014457e1bfc19c261f807f485061c42cb31a,d54fb8275b6219e3470b4ab35a5a0e96644db3558bdf6ea7f5a47e3ddce83524,f810d85139a941fb16975a3accc8a070b2e0e5453041302046b50cc2f2097e7d,95512864221ab4b1e33267d9daf3a5038f1a141450d3859e10b0f660a77168fd,d53dc6b6c1cca7a7c48fb6cc847e2b8e3e636ebbeff13accf4c3bf3039704fac,d79cd43540e78879cc7322b3e8b426b5f25a3dd390c2dd0346185c2dbc474423,9a5acf53eb25949009449d9e51e49b50102e92275851ccc78325a9d884746890
"94002","5126700","50000","2500","12","1","累計スコアを2500pt 獲得しよう"
"94002","0","50000","5000","12","1","累計スコアを5000pt 獲得しよう"
"94002","0","50000","7500","12","1","累計スコアを7500pt 獲得しよう"
"2839","5126701","1","10000","7","1","累計スコアを10000pt 獲得しよう"
"94002","0","80000","12500","12","1","累計スコアを12500pt 獲得しよう"
"94002","0","80000","15000","12","1","累計スコアを15000pt 獲得しよう"
"94002","0","80000","17500","12","1","累計スコアを17500pt 獲得しよう"
"91002","5126702","25","20000","8","1","累計スコアを20000pt 獲得しよう"
"94002","0","100000","22500","12","1","累計スコアを22500pt 獲得しよう"
"94002","0","100000","25000","12","1","累計スコアを25000pt 獲得しよう"
"91002","0","100","27500","8","1","累計スコアを27500pt 獲得しよう"
"11001262","5126703","1","30000","15","1","累計スコアを30000pt 獲得しよう"
"94002","5126710","50000","2500","12","2","累計スコアを2500pt 獲得しよう"
"94002","0","50000","5000","12","2","累計スコアを5000pt 獲得しよう"
"94002","0","50000","7500","12","2","累計スコアを7500pt 獲得しよう"
"2840","5126711","1","10000","7","2","累計スコアを10000pt 獲得しよう"
"94002","0","80000","12500","12","2","累計スコアを12500pt 獲得しよう"
"94002","0","80000","15000","12","2","累計スコアを15000pt 獲得しよう"
"94002","0","80000","17500","12","2","累計スコアを17500pt 獲得しよう"
"91002","5126712","25","20000","8","2","累計スコアを20000pt 獲得しよう"
"94002","0","100000","22500","12","2","累計スコアを22500pt 獲得しよう"
"94002","0","100000","25000","12","2","累計スコアを25000pt 獲得しよう"
"91002","0","100","27500","8","2","累計スコアを27500pt 獲得しよう"
"11001263","5126713","1","30000","15","2","累計スコアを30000pt 獲得しよう"
