ea6b8139cef23396442e37253a7c6716564a040cfd937ae4a1ee55c2c8a3e0c8,d0f3cde7ba226f59cb543ab238f5fcd13160d5003d61da516fa7ec6d7f44cc06,143faaff22086af43413fd33592ec32633f17cc20ae43e69eb77b58a7166e189,a1977ce6097297ad95b1d7a65259464a5919d494b04ed5d2f0a60c3c250a4161,b9fccb3f2f5237917fa7ab0811c07d851eaddef844f63b8faf7178c4bf741ccc
"1","4101101","11001001","18","750000"
"2","4101201","11001001","18","120000"
"3","4101202","11001001","18","120000"
"4","4101203","11001001","18","120000"
"5","4101251","11001001","18","120000"
"6","4101301","11001001","18","66374"
"7","4101302","11001001","18","66374"
"8","4101303","11001001","18","66374"
"9","4101351","11001001","18","66374"
"10","4101401","11001001","18","4500"
"11","4104101","11001001","18","750000"
"12","4104201","11001001","18","120000"
"13","4104202","11001001","18","120000"
"14","4104203","11001001","18","120000"
"15","4104251","11001001","18","120000"
"16","4104301","11001001","18","66374"
"17","4104302","11001001","18","66374"
"18","4104303","11001001","18","66374"
"19","4104351","11001001","18","66374"
"20","4104401","11001001","18","4500"
"21","4201101","11001001","18","333334"
"22","4201201","11001001","18","80000"
"23","4201202","11001001","18","80000"
"24","4201203","11001001","18","80000"
"25","4201301","11001001","18","44250"
"26","4201302","11001001","18","44250"
"27","4201303","11001001","18","44250"
"28","4201401","11001001","18","2000"
"29","4202101","11001001","18","333334"
"30","4202201","11001001","18","80000"
"31","4202202","11001001","18","80000"
"32","4202203","11001001","18","80000"
"33","4202301","11001001","18","44250"
"34","4202302","11001001","18","44250"
"35","4202303","11001001","18","44250"
"36","4202401","11001001","18","2000"
"37","4301101","11001001","18","333332"
"38","4301201","11001001","18","80000"
"39","4301202","11001001","18","80000"
"40","4301301","11001001","18","44250"
"41","4301302","11001001","18","44250"
"42","4301401","11001001","18","2000"
"43","99006","11001001","2","0"
"44","94002","11001001","12","0"
"45","90008","11001001","2","0"
"46","26201","11001001","2","0"
"47","23002","11001001","2","0"
"48","4106101","11001002","18","750000"
"49","4106201","11001002","18","120000"
"50","4106202","11001002","18","120000"
"51","4106203","11001002","18","120000"
"52","4106251","11001002","18","120000"
"53","4106301","11001002","18","66374"
"54","4106302","11001002","18","66374"
"55","4106303","11001002","18","66374"
"56","4106351","11001002","18","66374"
"57","4106401","11001002","18","4500"
"58","4110101","11001002","18","750000"
"59","4110201","11001002","18","120000"
"60","4110202","11001002","18","120000"
"61","4110203","11001002","18","120000"
"62","4110251","11001002","18","120000"
"63","4110301","11001002","18","66374"
"64","4110302","11001002","18","66374"
"65","4110303","11001002","18","66374"
"66","4110351","11001002","18","66374"
"67","4110401","11001002","18","4500"
"68","4203101","11001002","18","333334"
"69","4203201","11001002","18","80000"
"70","4203202","11001002","18","80000"
"71","4203203","11001002","18","80000"
"72","4203301","11001002","18","44250"
"73","4203302","11001002","18","44250"
"74","4203303","11001002","18","44250"
"75","4203401","11001002","18","2000"
"76","4204101","11001002","18","333334"
"77","4204201","11001002","18","80000"
"78","4204202","11001002","18","80000"
"79","4204203","11001002","18","80000"
"80","4204301","11001002","18","44250"
"81","4204302","11001002","18","44250"
"82","4204303","11001002","18","44250"
"83","4204401","11001002","18","2000"
"84","4305101","11001002","18","333332"
"85","4305201","11001002","18","80000"
"86","4305202","11001002","18","80000"
"87","4305301","11001002","18","44250"
"88","4305302","11001002","18","44250"
"89","4305401","11001002","18","2000"
"90","99006","11001002","2","0"
"91","94002","11001002","12","0"
"92","90008","11001002","2","0"
"93","26201","11001002","2","0"
"94","23002","11001002","2","0"
"95","4102101","11001003","18","750000"
"96","4102201","11001003","18","120000"
"97","4102202","11001003","18","120000"
"98","4102203","11001003","18","120000"
"99","4102251","11001003","18","120000"
"100","4102301","11001003","18","66374"
"101","4102302","11001003","18","66374"
"102","4102303","11001003","18","66374"
"103","4102351","11001003","18","66374"
"104","4102401","11001003","18","4500"
"105","4105101","11001003","18","750000"
"106","4105201","11001003","18","120000"
"107","4105202","11001003","18","120000"
"108","4105203","11001003","18","120000"
"109","4105251","11001003","18","120000"
"110","4105301","11001003","18","66374"
"111","4105302","11001003","18","66374"
"112","4105303","11001003","18","66374"
"113","4105351","11001003","18","66374"
"114","4105401","11001003","18","4500"
"115","4201101","11001003","18","333334"
"116","4201201","11001003","18","80000"
"117","4201202","11001003","18","80000"
"118","4201203","11001003","18","80000"
"119","4201301","11001003","18","44250"
"120","4201302","11001003","18","44250"
"121","4201303","11001003","18","44250"
"122","4201401","11001003","18","2000"
"123","4202101","11001003","18","333334"
"124","4202201","11001003","18","80000"
"125","4202202","11001003","18","80000"
"126","4202203","11001003","18","80000"
"127","4202301","11001003","18","44250"
"128","4202302","11001003","18","44250"
"129","4202303","11001003","18","44250"
"130","4202401","11001003","18","2000"
"131","4302101","11001003","18","333332"
"132","4302201","11001003","18","80000"
"133","4302202","11001003","18","80000"
"134","4302301","11001003","18","44250"
"135","4302302","11001003","18","44250"
"136","4302401","11001003","18","2000"
"137","99006","11001003","2","0"
"138","94002","11001003","12","0"
"139","90008","11001003","2","0"
"140","26201","11001003","2","0"
"141","23002","11001003","2","0"
"142","4108101","11001004","18","750000"
"143","4108201","11001004","18","120000"
"144","4108202","11001004","18","120000"
"145","4108203","11001004","18","120000"
"146","4108251","11001004","18","120000"
"147","4108301","11001004","18","66374"
"148","4108302","11001004","18","66374"
"149","4108303","11001004","18","66374"
"150","4108351","11001004","18","66374"
"151","4108401","11001004","18","4500"
"152","4109101","11001004","18","750000"
"153","4109201","11001004","18","120000"
"154","4109202","11001004","18","120000"
"155","4109203","11001004","18","120000"
"156","4109251","11001004","18","120000"
"157","4109301","11001004","18","66374"
"158","4109302","11001004","18","66374"
"159","4109303","11001004","18","66374"
"160","4109351","11001004","18","66374"
"161","4109401","11001004","18","4500"
"162","4203101","11001004","18","333334"
"163","4203201","11001004","18","80000"
"164","4203202","11001004","18","80000"
"165","4203203","11001004","18","80000"
"166","4203301","11001004","18","44250"
"167","4203302","11001004","18","44250"
"168","4203303","11001004","18","44250"
"169","4203401","11001004","18","2000"
"170","4204101","11001004","18","333334"
"171","4204201","11001004","18","80000"
"172","4204202","11001004","18","80000"
"173","4204203","11001004","18","80000"
"174","4204301","11001004","18","44250"
"175","4204302","11001004","18","44250"
"176","4204303","11001004","18","44250"
"177","4204401","11001004","18","2000"
"178","4304101","11001004","18","333332"
"179","4304201","11001004","18","80000"
"180","4304202","11001004","18","80000"
"181","4304301","11001004","18","44250"
"182","4304302","11001004","18","44250"
"183","4304401","11001004","18","2000"
"184","99006","11001004","2","0"
"185","94002","11001004","12","0"
"186","90008","11001004","2","0"
"187","26201","11001004","2","0"
"188","23002","11001004","2","0"
"189","4103101","11001005","18","750000"
"190","4103201","11001005","18","120000"
"191","4103202","11001005","18","120000"
"192","4103203","11001005","18","120000"
"193","4103251","11001005","18","120000"
"194","4103301","11001005","18","66374"
"195","4103302","11001005","18","66374"
"196","4103303","11001005","18","66374"
"197","4103351","11001005","18","66374"
"198","4103401","11001005","18","4500"
"199","4107101","11001005","18","750000"
"200","4107201","11001005","18","120000"
"201","4107202","11001005","18","120000"
"202","4107203","11001005","18","120000"
"203","4107251","11001005","18","120000"
"204","4107301","11001005","18","66374"
"205","4107302","11001005","18","66374"
"206","4107303","11001005","18","66374"
"207","4107351","11001005","18","66374"
"208","4107401","11001005","18","4500"
"209","4201101","11001005","18","333334"
"210","4201201","11001005","18","80000"
"211","4201202","11001005","18","80000"
"212","4201203","11001005","18","80000"
"213","4201301","11001005","18","44250"
"214","4201302","11001005","18","44250"
"215","4201303","11001005","18","44250"
"216","4201401","11001005","18","2000"
"217","4202101","11001005","18","333334"
"218","4202201","11001005","18","80000"
"219","4202202","11001005","18","80000"
"220","4202203","11001005","18","80000"
"221","4202301","11001005","18","44250"
"222","4202302","11001005","18","44250"
"223","4202303","11001005","18","44250"
"224","4202401","11001005","18","2000"
"225","4303101","11001005","18","333332"
"226","4303201","11001005","18","80000"
"227","4303202","11001005","18","80000"
"228","4303301","11001005","18","44250"
"229","4303302","11001005","18","44250"
"230","4303401","11001005","18","2000"
"231","99006","11001005","2","0"
"232","94002","11001005","12","0"
"233","90008","11001005","2","0"
"234","26201","11001005","2","0"
