7dd2865f76e0f0f666f44d2a6e2b32229ed6afed9dd11a44e20136ef7bfcfafc,5410912cff742191069f0637b715f51f07fa34638674af83b3a1f4921c773ae2,62b9ba86919dd0ab126f54358f4f21c18030bf55405d58fbc21f44ef6afe9710,e18e3f155e660eb4c9a779e6e84dc76f78cf6dfbfe7564c75848840230e9b4ab,f1971617d6f2ec6df23a832a33ddde1ab68d3b6dc323e58f0f838accdac19042,6b3ba86853519aa739cb9aed2fc556a99adb636d6bab5ee500737b73d68cb120,493995a697128677ae46a8ef8ce4248e87246859f688c2f409e48bdcd5d9b3f2,5cf1e649e092133e9fc69ff6a20e3d7e80eaa263eeadfe4f44e43e81e79a3a51,cf62422e7ef60151b718086a62f9fd87660341908580f9eabe7451f69b592fe0,5797af20d450f802a87f4fcb7bd42a3414aa71cfcdd7483a2f46f4d0864691d5,f3a8b784971652a6b3159f6dd51a19ca8946d7d540f43a77fd4bd94618b4cb77
"","","se_10053800","","","101","","23","","se_fpc_water_random","11010001"
"-850","0","1","-180","1.75","101","cmn_swm_tread","1","23","<unit_id>","11010002"
"-850","0","1","-180","1.75","101","cmn_swm_tread_pink","5","22","1","11010003"
"-180","","3","1","1","101","","31","-850","3","11010004"
"","","0","","","101","","91","","0","11010005"
"10","","<unit_id>","","","101","","2","-180","850","11010006"
"10","","1","","","101","","2","-180","850","11010007"
"10","","3","","","101","","33","-180","850","11010008"
"","","se_10053800","","","102","","23","","se_fpc_water_random","11020001"
"-850","0","1","-180","1.75","102","cmn_swm_tread","1","23","<unit_id>","11020002"
"-850","0","1","-180","1.75","102","cmn_swm_tread_blue","5","22","1","11020003"
"-180","","3","1","1","102","","31","-850","3","11020004"
"","","0","","","102","","91","","0","11020005"
"10","","<unit_id>","","","102","","2","-180","850","11020006"
"10","","1","","","102","","2","-180","850","11020007"
"10","","3","","","102","","33","-180","850","11020008"
"","","se_10053800","","","103","","23","","se_fpc_water_random","11030001"
"-850","0","1","-180","1.75","103","cmn_swm_tread","1","23","<unit_id>","11030002"
"-850","0","1","-180","1.75","103","cmn_swm_tread","5","22","1","11030003"
"-180","","3","1","1","103","","31","-850","3","11030004"
"","","0","","","103","","91","","0","11030005"
"10","","<unit_id>","","","103","","2","-180","850","11030006"
"10","","1","","","103","","2","-180","850","11030007"
"10","","3","","","103","","33","-180","850","11030008"
"","","se_10053800","","","151","","23","","se_fpc_water_random","11510001"
"-850","0","1","-180","1.75","151","cmn_swm_flutterKick","1","22","<unit_id>","11510002"
"-180","","1","1","1","151","","31","-850","1","11510003"
"","","0","","","151","","91","","0","11510004"
"10","","<unit_id>","","","151","","2","-180","1050","11510005"
"10","","1","","","151","","33","-180","1050","11510006"
"","","se_10053800","","","201","","23","","se_fpc_water_random","12010001"
"-850","0","1","-180","1.75","201","cmn_swm_breastStroke","1","22","<unit_id>","12010002"
"-180","","2","1","1","201","","31","-850","2","12010003"
"","","0","","","201","","91","","0","12010004"
"10","","<unit_id>","","","201","","2","-180","850","12010005"
"10","","2","","","201","","33","-180","850","12010006"
"","","se_10053800","","","251","","23","","se_fpc_water_random","12510001"
"-850","0","1","-180","1.75","251","cmn_swm_diving","1","22","<unit_id>","12510002"
"-180","","9","1","1","251","","31","-850","9","12510003"
"","","0","","","251","","91","","0","12510004"
"10","","<unit_id>","","","251","","2","-180","850","12510005"
"10","","9","","","251","","33","-180","850","12510006"
