04b721d866d31aea9d9b515d49d1568e79a09bf225297add2f7421c8b0b5495a,5646d8bc0c057f067544145edc94ad78aa39babcee3f4e13a06e655ae822b807,52d5851799e79b5a7a6a80767fed7342619f3d3a9c7b30bf02bbcfdfbd15c6a5,66fcce227d267f545241a9f970bcf7f6864fb2037ed823a43b5d4e9ef977f658
"20","2","20","1"
"30","3","30","1"
"80","3","50","2"
"160","3","80","3"
"60","4","60","1"
"160","4","100","2"
"340","4","180","3"
"700","4","360","4"
"1200","4","500","5"
"100","5","100","1"
"260","5","160","2"
"540","5","280","3"
"1020","5","480","4"
"1800","5","780","5"
"100","6","100","1"
"260","6","160","2"
"540","6","280","3"
"1020","6","480","4"
"1800","6","780","5"
"100","7","100","1"
"260","7","160","2"
"540","7","280","3"
"1020","7","480","4"
"1800","7","780","5"
"100","8","100","1"
"260","8","160","2"
"540","8","280","3"
"1020","8","480","4"
"1800","8","780","5"
"100","9","100","1"
"260","9","160","2"
"540","9","280","3"
"1020","9","480","4"
"1800","9","780","5"
"100","10","100","1"
"260","10","160","2"
"540","10","280","3"
"1020","10","480","4"
"1800","10","780","5"
"100","11","100","1"
"260","11","160","2"
"540","11","280","3"
"1020","11","480","4"
"1800","11","780","5"
