af85b8494aab01442968826744ed6053adbf435dec725f0cc831fd4f3a362df0,0ba1cffcd018002ad5268d2702e2269feff9b09d4325df346f6886ae4006490a,9032740e04b9dc6099db0b475b75b3b9d1dded51662b9da342383fe0e0d06823,36d9ca65144305b342989816715f9b558657eabe30719bad2aeeabe785e3bd5b,53acd162a66cc0b272a39ca194c4d5e36a5037c70bd50a475b4f6e96e3b0c471,232eadaa0635f3c4ce4f7b9f99b24cd007b1976706270f3d5339653d3df4dada,46a85fbb53884ea9aca34ed48c86e4a7c2b8002df88962a47c0f3034c45ff39c,701e4bb2ab06e15750d52e73595519d183200f5a26226f64caacc2a625202f87,6c0e466b3058030bb4900894e755f91ef3f217f9535173cbac5d9883eae03bf5,462d22ee4c9218095dd9fd3cbe113f50e1e3d360081fee54c13f49dc0d4ad9f6
"1001","0","10001","","126501","ライラエル","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1"
"1002","0","10001","","105301","モニカ","","2","最大1000マイルを入手する","2"
"1003","0","1","","126401","クローチェ","","3","料理を{0}つ入手する","1"
"1004","0","1","ダイスの目を{0}回振りなおせる\n（あと{1}回）","100501","マツリ","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3"
"1005","0","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","101301","ナナカ","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","2"
"1006","0","4","出目が{0}のダイスを同時に振って\nどちらか選択できる","104301","マコト","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","2"
"1007","0","3","出目が{0}のダイスを同時に振って\nどちらか選択できる","102701","エリコ","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","3"
"1008","0","7","出目の合計が{0}以上になるまで\nダイスを追加で振れる","100901","アンナ","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1"
"1009","0","10001","","105101","ミツキ","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1"
"1010","0","10001","","101801","イオ","","2","最大1000マイルを入手する","2"
"1011","0","0","ダイスの表と裏\nどちらを適用するか選択できる","129701","ネフィ＝ネラ","","8","ダイスの表と裏\nどちらを適用するか選択できる","2"
"1012","0","1","ダイスの目を{0}回振りなおせる\n（あと{1}回）","101601","スズナ","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3"
"1013","0","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","105601","ルカ","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","2"
"1014","0","3","出目が{0}のダイスを同時に振って\nどちらか選択できる","102001","ミミ","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","3"
"1015","0","7","出目の合計が{0}以上になるまで\nダイスを追加で振れる","129601","アネモネ","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1"
"1016","1","1","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","100401","ミソギ","","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2"
"1017","1","2","出たダイスの目が{0}だった場合、\n+{1}進める","127701","リンド","","13","出たダイスの目が{0}だった場合、\n+{1}進める","3"
"1018","1","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","127801","ヴルム","","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2"
"1019","0","10001","","104801","ミフユ","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1"
"1020","0","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","104701","ジュン","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","2"
"1021","0","7","出目の合計が{0}以上になるまで\nダイスを追加で振れる","105001","ミサキ","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1"
"1022","0","10002","","103201","アキノ","","2","最大2000マイルを入手する","1"
"1023","0","1","","130901","クルル","","12","福引券を{0}枚入手する","1"
"1024","0","1","","102501","スズメ","","3","料理を{0}つ入手する","1"
"1025","0","0","ダイスの表と裏\nどちらを適用するか選択できる","100801","ユキ","","8","ダイスの表と裏\nどちらを適用するか選択できる","2"
"1026","0","4","出目が{0}のダイスを同時に振って\nどちらか選択できる","123301","ネア","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","2"
"1027","0","10001","","104601","タマキ","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1"
"1028","0","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","118101","ランファ","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","2"
"1029","0","7","出目の合計が{0}以上になるまで\nダイスを追加で振れる","103401","ユカリ","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1"
"1030","0","10002","","118001","クレジッタ","","2","最大2000マイルを入手する","1"
"1031","0","1","","102801","サレン","","12","福引券を{0}枚入手する","1"
"1032","0","1","","100201","ユイ","","3","料理を{0}つ入手する","1"
