3c6ec69c9bf651ea2f81b954ecf0fb47e99c3c4b486df88017071b5385401650,d49fef96358d0828b5dec7a3618fe6b991cc659063668c9ee2075aa63acb02c6,87ab7a1322586084fa434ebacaac8936c416367f66ec9d2c6ee359c651773409,c54b9178e4dff0298ac5c2eccc732ac1728907ba64a517cc14acecd6a4664d9a,6c3ac89ea3fe20dcf9e1846e54eb679ecfc80522e05e4cd76465574bf47c946a,f822caa6214761a65d3981f830bc31234ae81ce96a3a03fb9262ea2290ca0079
"1005","212","2114001","211","1","802100290"
"1006","212","2114002","211","1","802100290"
"1007","212","2114003","211","1","802100290"
"1008","212","2114004","211","1","802100290"
"100501","100","2113061","104","0","802100266"
"100502","100","2113062","104","0","802100266"
"100503","102","2113063","105","0","802100266"
"100504","103","2113064","106","0","802100266"
"100505","100","2113065","104","0","802100266"
"100506","100","2113066","104","0","802100266"
"100507","102","2113067","105","0","802100266"
"100508","103","2113068","106","0","802100266"
"100509","100","2113069","104","0","802100266"
"100510","100","2113070","104","0","802100266"
"100511","100","2113071","104","0","802100267"
"100512","100","2113072","104","0","802100267"
"100513","102","2113073","105","0","802100267"
"100514","103","2113074","106","0","802100267"
"100515","100","2113075","104","0","802100267"
"100516","100","2113076","104","0","802100267"
"100517","102","2113077","105","0","802100267"
"100518","103","2113078","106","0","802100267"
"100519","100","2113079","104","0","802100267"
"100520","100","2113080","104","0","802100267"
"100521","100","2113081","104","0","802100268"
"100522","100","2113082","104","0","802100268"
"100523","102","2113083","105","0","802100268"
"100524","103","2113084","106","0","802100268"
"100525","100","2113085","104","0","802100268"
"100526","112","2113086","208","1","802100268"
"100527","110","2113087","201","1","802100268"
"100528","100","2113088","104","0","802100268"
"100529","102","2113089","105","0","802100268"
"100530","103","2113090","106","0","802100268"
"100601","114","2113031","203","1","802100263"
"100602","113","2113032","202","1","802100263"
"100603","102","2113033","105","0","802100263"
"100604","103","2113034","106","0","802100263"
"100605","114","2113035","203","1","802100263"
"100606","113","2113036","202","1","802100263"
"100607","111","2113037","204","1","802100263"
"100608","113","2113038","202","1","802100263"
"100609","113","2113039","202","1","802100263"
"100610","103","2113040","106","0","802100263"
"100611","114","2113041","203","1","802100264"
"100612","113","2113042","202","1","802100264"
"100613","102","2113043","105","0","802100264"
"100614","103","2113044","106","0","802100264"
"100615","114","2113045","203","1","802100264"
"100616","113","2113046","202","1","802100264"
"100617","111","2113047","204","1","802100264"
"100618","113","2113048","202","1","802100264"
"100619","113","2113049","202","1","802100264"
"100620","103","2113050","106","0","802100264"
"100621","102","2113051","105","0","802100265"
"100622","114","2113052","203","1","802100265"
"100623","113","2113053","202","1","802100265"
"100624","111","2113054","204","1","802100265"
"100625","103","2113055","106","0","802100265"
"100626","112","2113056","208","1","802100265"
"100627","110","2113057","201","1","802100265"
"100628","114","2113058","203","1","802100265"
"100629","113","2113059","202","1","802100265"
"100630","103","2113060","106","0","802100265"
"100701","112","2113091","205","1","802100269"
"100702","112","2113092","206","1","802100269"
"100703","117","2113093","102","0","802100269"
"100704","102","2113094","105","0","802100269"
"100705","102","2113095","105","0","802100269"
"100706","113","2113096","202","1","802100269"
"100707","114","2113097","203","1","802100269"
"100708","117","2113098","102","0","802100269"
"100709","102","2113099","105","0","802100269"
"100710","113","2113100","202","1","802100269"
"100711","112","2115001","205","1","802100270"
"100712","117","2115002","102","0","802100270"
"100713","102","2115003","105","0","802100270"
"100714","103","2115004","106","0","802100270"
"100715","114","2115005","203","1","802100270"
"100716","113","2115006","202","1","802100270"
"100717","112","2115007","207","1","802100270"
"100718","102","2115008","105","0","802100270"
"100719","103","2115009","106","0","802100270"
"100720","113","2115010","202","1","802100270"
"100721","112","2115011","205","1","802100271"
"100722","112","2115012","208","1","802100271"
"100723","117","2115013","102","0","802100271"
"100724","102","2115014","105","0","802100271"
"100725","103","2115015","106","0","802100271"
"100726","112","2115016","208","1","802100271"
"100727","110","2115017","201","1","802100271"
"100728","117","2115018","102","0","802100271"
"100729","102","2115019","105","0","802100271"
"100730","103","2115020","106","0","802100271"
"100801","104","2113001","103","0","802100260"
"100802","100","2113002","104","0","802100260"
"100803","100","2113003","104","0","802100260"
"100804","102","2113004","105","0","802100260"
"100805","102","2113005","105","0","802100260"
"100806","100","2113006","104","0","802100260"
"100807","100","2113007","104","0","802100260"
"100808","102","2113008","105","0","802100260"
"100809","102","2113009","105","0","802100260"
"100810","101","2113010","107","0","802100260"
"100811","104","2113011","103","0","802100261"
"100812","100","2113012","104","0","802100261"
"100813","100","2113013","104","0","802100261"
"100814","102","2113014","105","0","802100261"
"100815","103","2113015","106","0","802100261"
"100816","100","2113016","104","0","802100261"
"100817","100","2113017","104","0","802100261"
"100818","102","2113018","105","0","802100261"
"100819","103","2113019","106","0","802100261"
"100820","100","2113020","104","0","802100261"
"100821","104","2113021","103","0","802100262"
"100822","100","2113022","104","0","802100262"
"100823","100","2113023","104","0","802100262"
"100824","102","2113024","105","0","802100262"
"100825","102","2113025","105","0","802100262"
"100826","112","2113026","208","1","802100262"
"100827","110","2113027","201","1","802100262"
"100828","102","2113028","105","0","802100262"
"100829","103","2113029","106","0","802100262"
"100830","104","2113030","103","0","802100262"
