1221641426b6d621ffd69803d261e18caf38ba69dff6c52828b3ebc0d80bbf08,9fef4ce4d6b9045b4ccf12dc6867a5de1bf16cd7e3d6359419c86ba34801ca27,d1e73f440e60a371a9ef400a6850dbee6da438393d37f19cbaaf7c3a5f789703,3a541188240d31259416b21c5a3d4d8c9943a425d0b2625616a92fd286c68ef6,1e218897e4ab312ce5dc956fa0dccf1ec3501d89e562b9936308ec50635c9408,5bbecc66deadf24184592cea27185fc1d5958d280165585c0004f3aaf678f430
"20001","0","2000102","20001115","20001201","2000101"
"20001","2000101","2000103","0","0","2000102"
"20001","2000102","0","0","0","2000103"
"20002","0","2000202","20002115","20002201","2000201"
"20002","2000201","2000203","0","0","2000202"
"20002","2000202","0","0","0","2000203"
"20003","0","2000302","20003115","20003201","2000301"
"20003","2000301","2000303","0","0","2000302"
"20003","2000302","0","0","0","2000303"
"20004","0","2000402","20004115","20004201","2000401"
"20004","2000401","2000403","0","0","2000402"
"20004","2000402","0","0","0","2000403"
"20005","0","2000502","20005115","20005201","2000501"
"20005","2000501","2000503","0","0","2000502"
"20005","2000502","0","0","0","2000503"
"20006","0","2000602","20006115","20006201","2000601"
"20006","2000601","2000603","0","0","2000602"
"20006","2000602","0","0","0","2000603"
"20007","0","2000702","20007115","20007201","2000701"
"20007","2000701","2000703","0","0","2000702"
"20007","2000702","0","0","0","2000703"
"20008","0","2000802","20008115","20008201","2000801"
"20008","2000801","2000803","0","0","2000802"
"20008","2000802","0","0","0","2000803"
"20009","0","2000902","20009115","20009201","2000901"
"20009","2000901","2000903","0","0","2000902"
"20009","2000902","0","0","0","2000903"
"20010","0","2001002","20010115","20010201","2001001"
"20010","2001001","2001003","0","0","2001002"
"20010","2001002","0","0","0","2001003"
"20011","0","2001102","20011115","20011201","2001101"
"20011","2001101","2001103","0","0","2001102"
"20011","2001102","0","0","0","2001103"
"20012","0","2001202","20012115","20012201","2001201"
"20012","2001201","2001203","0","0","2001202"
"20012","2001202","0","0","0","2001203"
"20013","0","2001302","20013115","20013201","2001301"
"20013","2001301","2001303","0","0","2001302"
"20013","2001302","0","0","0","2001303"
"20014","0","2001402","20014115","20014201","2001401"
"20014","2001401","2001403","0","0","2001402"
"20014","2001402","0","0","0","2001403"
"20015","0","2001502","20015115","20015201","2001501"
"20015","2001501","2001503","0","0","2001502"
"20015","2001502","0","0","0","2001503"
"20016","0","2001602","20016115","20016201","2001601"
"20016","2001601","2001603","0","0","2001602"
"20016","2001602","0","0","0","2001603"
"20017","0","2001702","20017115","20017201","2001701"
"20017","2001701","2001703","0","0","2001702"
"20017","2001702","0","0","0","2001703"
"20018","0","2001802","20018115","20018201","2001801"
"20018","2001801","2001803","0","0","2001802"
"20018","2001802","0","0","0","2001803"
"20019","0","2001902","20019115","20019201","2001901"
"20019","2001901","2001903","0","0","2001902"
"20019","2001902","0","0","0","2001903"
"20020","0","2002002","20020115","20020201","2002001"
"20020","2002001","2002003","0","0","2002002"
"20020","2002002","0","0","0","2002003"
"20021","0","2002102","20021115","20021201","2002101"
"20021","2002101","2002103","0","0","2002102"
"20021","2002102","0","0","0","2002103"
"20022","0","2002202","20022115","20022201","2002201"
"20022","2002201","2002203","0","0","2002202"
"20022","2002202","0","0","0","2002203"
"20023","0","2002302","20023115","20023201","2002301"
"20023","2002301","2002303","0","0","2002302"
"20023","2002302","0","0","0","2002303"
"20024","0","2002402","20024115","20024201","2002401"
"20024","2002401","2002403","0","0","2002402"
"20024","2002402","0","0","0","2002403"
"20025","0","2002502","20025115","20025201","2002501"
"20025","2002501","2002503","0","0","2002502"
"20025","2002502","0","0","0","2002503"
"20026","0","2002602","20026115","20026201","2002601"
"20026","2002601","2002603","0","0","2002602"
"20026","2002602","0","0","0","2002603"
"20027","0","2002702","20027115","20027201","2002701"
"20027","2002701","2002703","0","0","2002702"
"20027","2002702","0","0","0","2002703"
"20028","0","2002802","20028115","20028201","2002801"
"20028","2002801","2002803","0","0","2002802"
"20028","2002802","0","0","0","2002803"
"20029","0","2002902","20029115","20029201","2002901"
"20029","2002901","2002903","0","0","2002902"
"20029","2002902","0","0","0","2002903"
"20030","0","2003002","20030115","20030201","2003001"
"20030","2003001","2003003","0","0","2003002"
"20030","2003002","0","0","0","2003003"
"20031","0","2003102","20031115","20031201","2003101"
"20031","2003101","2003103","0","0","2003102"
"20031","2003102","0","0","0","2003103"
"20032","0","2003202","20032115","20032201","2003201"
"20032","2003201","2003203","0","0","2003202"
"20032","2003202","0","0","0","2003203"
"20033","0","2003302","20033115","20033201","2003301"
"20033","2003301","2003303","0","0","2003302"
"20033","2003302","0","0","0","2003303"
"20034","0","2003402","20034115","20034201","2003401"
"20034","2003401","2003403","0","0","2003402"
"20034","2003402","0","0","0","2003403"
"20035","0","2003502","20035115","20035201","2003501"
"20035","2003501","2003503","0","0","2003502"
"20035","2003502","0","0","0","2003503"
"20036","0","2003602","20036115","20036201","2003601"
"20036","2003601","2003603","0","0","2003602"
"20036","2003602","0","0","0","2003603"
"20037","0","2003702","20037115","20037201","2003701"
"20037","2003701","2003703","0","0","2003702"
"20037","2003702","0","0","0","2003703"
"20038","0","2003802","20038115","20038201","2003801"
"20038","2003801","2003803","0","0","2003802"
"20038","2003802","0","0","0","2003803"
"20039","0","2003902","20039115","20039201","2003901"
"20039","2003901","2003903","0","0","2003902"
"20039","2003902","0","0","0","2003903"
"20040","0","2004002","20040115","20040201","2004001"
"20040","2004001","2004003","0","0","2004002"
"20040","2004002","0","0","0","2004003"
"20041","0","2004102","20041115","20041201","2004101"
"20041","2004101","2004103","0","0","2004102"
"20041","2004102","0","0","0","2004103"
"20042","0","2004202","20042115","20042201","2004201"
"20042","2004201","2004203","0","0","2004202"
"20042","2004202","0","0","0","2004203"
"20043","0","2004302","20043115","20043201","2004301"
"20043","2004301","2004303","0","0","2004302"
"20043","2004302","0","0","0","2004303"
"20044","0","2004402","20044115","20044201","2004401"
"20044","2004401","2004403","0","0","2004402"
"20044","2004402","0","0","0","2004403"
"20045","0","2004502","20045115","20045201","2004501"
"20045","2004501","2004503","0","0","2004502"
"20045","2004502","0","0","0","2004503"
"20046","0","2004602","20046115","20046201","2004601"
"20046","2004601","2004603","0","0","2004602"
"20046","2004602","0","0","0","2004603"
"20047","0","2004702","20047115","20047201","2004701"
"20047","2004701","2004703","0","0","2004702"
"20047","2004702","0","0","0","2004703"
"20048","0","2004802","20048115","20048201","2004801"
"20048","2004801","2004803","0","0","2004802"
"20048","2004802","0","0","0","2004803"
"20049","0","2004902","20049115","20049201","2004901"
"20049","2004901","2004903","0","0","2004902"
"20049","2004902","2004904","0","0","2004903"
"20050","0","2005002","20050115","20050201","2005001"
"20050","2005001","2005003","0","0","2005002"
"20050","2005002","0","0","0","2005003"
"20051","0","2005102","20051115","20051201","2005101"
"20051","2005101","2005103","0","0","2005102"
"20051","2005102","0","0","0","2005103"
"20052","0","2005202","20052115","20052201","2005201"
"20052","2005201","2005203","0","0","2005202"
"20052","2005202","0","0","0","2005203"
"20053","0","2005302","20053115","20053201","2005301"
"20053","2005301","2005303","0","0","2005302"
"20053","2005302","0","0","0","2005303"
"20054","0","2005402","20054115","20054201","2005401"
"20054","2005401","2005403","0","0","2005402"
"20054","2005402","0","0","0","2005403"
"20055","0","2005502","20055115","20055201","2005501"
"20055","2005501","2005503","0","0","2005502"
"20055","2005502","0","0","0","2005503"
"20056","0","2005602","20056115","20056201","2005601"
"20056","2005601","2005603","0","0","2005602"
"20056","2005602","0","0","0","2005603"
"20057","0","2005702","20057115","20057201","2005701"
"20057","2005701","2005703","0","0","2005702"
"20057","2005702","0","0","0","2005703"
"20058","0","2005802","20058115","20058201","2005801"
"20058","2005801","2005803","0","0","2005802"
"20058","2005802","0","0","0","2005803"
"20059","0","2005902","20059115","20059201","2005901"
"20059","2005901","2005903","0","0","2005902"
"20059","2005902","0","0","0","2005903"
"20060","0","2006002","20060115","20060201","2006001"
"20060","2006001","2006003","0","0","2006002"
"20060","2006002","0","0","0","2006003"
"20061","0","2006102","20061115","20061201","2006101"
"20061","2006101","2006103","0","0","2006102"
"20061","2006102","0","0","0","2006103"
"20062","0","2006202","20062115","20062201","2006201"
"20062","2006201","2006203","0","0","2006202"
"20062","2006202","0","0","0","2006203"
"20063","0","2006302","20063115","20063201","2006301"
"20063","2006301","2006303","0","0","2006302"
"20063","2006302","0","0","0","2006303"
"20064","0","2006402","20064115","20064201","2006401"
"20064","2006401","2006403","0","0","2006402"
"20064","2006402","0","0","0","2006403"
"20065","0","2006502","20065115","20065201","2006501"
"20065","2006501","2006503","0","0","2006502"
"20065","2006502","0","0","0","2006503"
"20066","0","2006602","20066115","20066201","2006601"
"20066","2006601","2006603","0","0","2006602"
"20066","2006602","0","0","0","2006603"
"20067","0","2006702","20067110","20067201","2006701"
"20067","2006701","2006703","0","0","2006702"
"20067","2006702","0","0","0","2006703"
"20068","0","2006802","20068110","20068201","2006801"
"20068","2006801","2006803","0","0","2006802"
"20068","2006802","0","0","0","2006803"
"20069","0","2006902","20069115","20069201","2006901"
"20069","2006901","2006903","0","0","2006902"
"20069","2006902","0","0","0","2006903"
"20070","0","2007002","20070115","20070201","2007001"
"20070","2007001","2007003","0","0","2007002"
"20070","2007002","0","0","0","2007003"
"20071","0","2007102","20071115","20071201","2007101"
"20071","2007101","2007103","0","0","2007102"
"20071","2007102","0","0","0","2007103"
"20072","0","2007202","20072110","20072201","2007201"
"20072","2007201","2007203","0","0","2007202"
"20072","2007202","0","0","0","2007203"
