e0e6c4948409d6ec63bc0fecb82bcbc1ee452861bbf0f14ae1acbd53c1fe9752,25c5f280ea5f6245d996138b2f246a42a8739a42f20316f027d5e412b2ee2cd9,a6f611c8f778ed54746930fca83313c02e0c41cc6175d90b189d1423f7039be6,751c278a6fea2bae1d706b8c2eb206d3e9af34dc04adb117d06d912e01a091a8
"938","100101","1.6","-354"
"952","100201","1.6","-499"
"1014","100301","1.6","-523"
"894","100401","1.6","-488"
"980","100601","1.6","-628"
"983","100701","1.6","-573"
"1019","100801","1.6","-544"
"985","100901","1.6","-510"
"1115","101001","1.6","-660"
"1128","101101","1.6","-415"
"1042","101201","1.6","-589"
"1050","101601","1.6","-501"
"1038","101701","1.6","-598"
"985","101801","1.6","-356"
"1114","102001","1.6","-494"
"1003","102101","1.6","-392"
"1057","102201","1.6","-407"
"997","102501","1.6","-388"
"1090","102701","1.6","-490"
"987","102801","1.6","-554"
"976","102901","1.6","-526"
"994","103001","1.6","-879"
"1056","103101","1.6","-560"
"1018","103301","1.6","-453"
"1017","103401","1.6","-345"
"961","103801","1.6","-674"
"1095","104001","1.6","-499"
"955","104201","1.6","-521"
"1079","104301","1.6","-581"
"980","104501","1.6","-538"
"954","104601","1.6","-364"
"1107","104801","1.6","-777"
"973","104901","1.6","-795"
"1122","105001","1.6","-492"
"1035","105201","1.6","-607"
"885","105301","1.6","-490"
