505b22bdddff7512edb360bd1e6204eb24827b5467e969b802abd56c876010da,54379fdb35bb78299f43a211eb6cad8569d0de3bf8856e9b4434298cd2927f34,5587eead396c21880ba3e66a72416f5e9e4902bda57b615ba98bdf0efa9e9d1b,96cd1666f6355f1a3416fe2209f85237bd44a8fec87a6cd6f1b778f207e0a4d5
"1","1","52007","11511"
"2","2","52007","11512"
"1","1","52009","100901"
"2","2","52009","100902"
"1","1","52011","11521"
"2","2","52011","11522"
"1","1","52023","11512"
"2","2","52023","11511"
"1","1","52036","11531"
"2","2","52036","11532"
"3","3","52036","11532"
