e48d09870304e51f124a56a810ecba20eec629c2c2ffe33c1ef840d2c186651d,c37e47fbd074e757eb6e5016ccdbdb61ace0f3491afb8ee0b0ddb22196283955,934eca32c96ea8c8f61d64eefea4e8bcea5d58ee07fdb31c2b099ce6e322d24a,4466084618a0483b3188c2c289b8a56908e50b2a507f19abeb750899641bd4ea,9f6ba110a8028951c17b8516758bb8cb28507ee8ec41282d39b14810fe970dfc,25aa9003201bff6168519680abee735e52cffd1df4c3ae9a9eee734ae35b3b6d,d3013d104fbe2af384cc9f5f695ea90eef7439610e524b8c38bf2c7bdb39e359,95ab968fe931cb81c1cdb65a81148fa03cae4b1a4a84e69486d75ddb72ff060e,87d975e3db4c3f0a9e089eecd5526abf3176383704407b96022fa230aad39060,96eea9a17653abdaa5f5e817b71605d3713cf713ede6f73cacead4a25f11b342,46703a011bd0d85f1417973eeacd505653bb58fcdcac47aec0b74014a5de860b
"10001","0","0","0","0","10002","0","0","10003","0","50047"
"10001","0","0","0","0","10002","0","0","10003","0","50051"
"10001","10004","0","0","0","10002","0","0","10003","0","50061"
"10001","10005","0","0","0","10002","0","0","10003","0","50067"
"10001","10005","0","0","10006","10002","0","0","10003","0","50079"
"10001","10005","0","0","10006","10002","0","0","10003","10007","50084"
"10001","10005","10008","0","10006","10002","0","0","10003","10007","50094"
"10001","10005","10008","0","10006","10002","10009","0","10003","10007","50108"
"10001","10005","10008","0","10006","10002","10009","0","10003","10007","50116"
"10001","10005","10008","0","10006","10002","10009","10010","10003","10007","50119"
"10001","10005","10008","0","10006","10002","10009","10010","10003","10007","50129"
"10001","10005","10008","10011","10006","10002","10009","10010","10003","10007","50140"
"10002","10006","10009","10012","10007","10003","10010","10011","10005","10008","50151"
"10009","10012","0","0","10013","10010","0","0","10011","0","50162"
"10010","10013","0","0","10014","10011","0","0","10012","0","50172"
"10011","10014","0","0","10015","10012","0","0","10013","0","50183"
"10013","10007","0","0","10005","10014","0","0","10015","0","50190"
"10012","10015","0","0","10016","10013","0","0","10014","0","50195"
"10014","10003","0","0","10002","10015","0","0","10016","0","50200"
"10013","10016","0","0","10017","10014","0","0","10015","0","50217"
"10015","10010","0","0","10009","10016","0","0","10017","0","50231"
"10014","10017","0","0","10018","10015","0","0","10016","0","50237"
"10019","0","0","0","0","0","0","0","0","0","50248"
"10011","0","0","0","0","0","0","0","0","0","50261"
"10020","0","0","0","0","0","0","0","0","0","50267"
"10021","0","0","0","0","0","0","0","0","0","50278"
"10006","0","0","0","0","0","0","0","0","0","50291"
"10022","0","0","0","0","0","0","0","0","0","50298"
"10023","0","0","0","0","0","0","0","0","0","50309"
"10024","0","0","0","0","0","0","0","0","0","50321"
"10025","0","0","0","0","0","0","0","0","0","50331"
"10026","0","0","0","0","0","0","0","0","0","50341"
"10027","0","0","0","0","0","0","0","0","0","50354"
"10028","0","0","0","0","0","0","0","0","0","50365"
"10029","0","0","0","0","0","0","0","0","0","50375"
"10030","0","0","0","0","0","0","0","0","0","50383"
"10019","0","0","0","0","0","0","0","0","0","50393"
"10031","0","0","0","0","0","0","0","0","0","50405"
"10032","0","0","0","0","0","0","0","0","0","50406"
"10033","0","0","0","0","0","0","0","0","0","50414"
"10034","0","0","0","0","0","0","0","0","0","50424"
"10035","0","0","0","0","0","0","0","0","0","50435"
"10036","0","0","0","0","0","0","0","0","0","50444"
"10037","0","0","0","0","0","0","0","0","0","50455"
