7f223e859bdb1407ba363e07f3f0b2bd685c658f7f2ccb040e8aa1a03f2142df,d867c461ca5288a3edb4884a1ecddb50bb8dbb88dda71b5deccb10c23b1a8948,10ef2a09fbab93a5bd428cf9845916630325791315501162f918ce42a8f79631,10216d95b2c97b7482e388b306c7c98cb54efd116a5c6b3cfd63a911c69b48ec,bff103eb19bb2471ba35c9080bd961fdf09ab3113bc80f2666a739d24ed9dfce,91032c72c36d9dec09077c5a107db1f106fff739082ea7a1b0f295f23db6617d,500f40a9ce778431cd5ae7a85ea78b9ba4128fde53910b2e9ac0f694ec86e0e9,a4542bd1a7ace5025777419d4b23030ae00526c28f15ece7f61f4feaa2ee2b12,4cefa1a4ed6a2b1cc1053ef0e1509c67b6f1e476fcd1f0bd97174d1602fcbab7,5428b9272cb3a65186f0c044f2fd288c79c8f5b5ccbd34917b2bbc52c35ec587,3203aa38061a042b6ef570ad93ef2a5f6b7aabc7998878abff1ef79ae4f01e5d
"-278","61001","-225","idle_normal","105811","1","1","0","1.8","100","5146061"
"-278","61002","-225","idle_normal","1058","6","5","0","1.8","101","5146061"
"-288","61003","-385","kokkoro_idle_normal","105911","1","1","0","1.8","103","5146061"
"-288","61004","-385","kokkoro_idle_normal","1059","3","5","0","1.8","104","5146061"
"-278","61005","290","idle_normal","106011","1","1","1","1.8","106","5146061"
"-278","61006","290","idle_normal","1060","4","5","1","1.8","107","5146061"
"","61007","","","200","105811","13","","","","5146061"
"","61008","","","203","105911","13","","","","5146061"
"","61009","","","206","106011","13","","","","5146061"
"-174","61010","0","idle","7","7","5","0","0.85","15","5146061"
"8","61011","290","empty","201","20","5","0","1","210","5146061"
"-78","61012","0","empty","202","20","5","0","1","211","5146061"
"16","61013","-315","empty","203","20","5","0","1","210","5146061"
"153","61014","0","empty","21","21","5","0","1","60","5146061"
"1","61015","0","","1","1","31","","1","0","5146061"
"1","61016","-57.7","","2","2","31","","0","0","5146061"
"1","61017","0","","10","10","31","","0","0","5146061"
"1","61018","0","","11","11","31","","0","0","5146061"
"","61019","","","0","0","91","","","","5146061"
"","61020","","","0","0","102","","","0","5146061"
"","61021","","","0","1","93","","","","5146061"
"1","61022","doya_talk_shy","","doya_in_shy","106011","3","0","0.2","0","5146061"
"1","61023","doya_talk_shy","","doya_in_shy","1060","3","0","0.2","0","5146061"
"","61024","0","","vo_apg_0101","vo_apg","21","","","0","5146061"
"1","61025","1","0","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","106011","11","0","0","10","5146061"
"","61026","","","","0","91","","","","5146061"
"","61027","","","1","2","32","","","","5146061"
"","61028","","","fade105_in","2","37","","","","5146061"
"","61029","","","0","106011","4","","","","5146061"
"","61030","","","0","1060","4","","","","5146061"
"","61031","","","sad_idle_dere_shy","106011","3","","0.5","1","5146061"
"","61032","","","sad_idle_dere_shy","1060","3","","0.5","1","5146061"
"","61033","0","","vo_apg_0102","vo_apg","21","","","0","5146061"
"","61034","","","0102_in","201","3","","0","0","5146061"
"","61035","","","1","4.6","93","","","","5146061"
"","61036","","","0102_mid","201","3","","0","0","5146061"
"","61037","","","","","92","","","","5146061"
"","61038","","","0102_out","201","3","","0","0","5146061"
"","61039","","","0","0.2","93","","","","5146061"
"1","61040","kyaru_smile_idle","","kyaru_smile_in","106011","3","0","0.2","0","5146061"
"1","61041","kyaru_smile_idle","","kyaru_smile_in","1060","3","0","0.2","0","5146061"
"","61042","0","","vo_apg_0103","vo_apg","21","","","0","5146061"
"","61043","","","0103_in","201","3","","0","0","5146061"
"","61044","","","1","5.4","93","","","","5146061"
"","61045","","","0103_mid","201","3","","0","0","5146061"
"","61046","","","","","92","","","","5146061"
"","61047","","","0103_out","201","3","","0","0","5146061"
"","61048","","","0","0.2","93","","","","5146061"
"","61049","","","fade105_out","2","37","","","","5146061"
"","61050","","","1","105811","4","","","","5146061"
"","61051","","","1","1058","4","","","","5146061"
"","61052","","","surprise_talk","105811","3","","0.2","1","5146061"
"","61053","","","surprise_talk","1058","3","","0.2","1","5146061"
"","61054","0","","vo_apg_0104","vo_apg","21","","","0","5146061"
"1","61055","1","0","……キャルちゃん、\n写真写りたくないんですかね…？","105811","11","0","0","10","5146061"
"","61056","","","","0","91","","","","5146061"
"","61057","","","surprise_idle_talk1R","105811","3","","0.2","1","5146061"
"","61058","","","surprise_idle_talk1R","1058","3","","0.2","1","5146061"
"","61059","","","kokkoro_surprise_talk","105911","3","","0.2","1","5146061"
"","61060","","","kokkoro_surprise_talk","1059","3","","0.2","1","5146061"
"","61061","0","","vo_apg_0105","vo_apg","21","","","0","5146061"
"1","61062","1","0","はい。\nどうやらそのようでございます","105911","11","0","0","10","5146061"
"","61063","","","","0","91","","","","5146061"
"","61064","","","kokkoro_idle_normal","105911","3","","0.2","1","5146061"
"","61065","","","kokkoro_idle_normal","1059","3","","0.2","1","5146061"
"","61066","","","idle_normal_talk1R","105811","3","","0.2","1","5146061"
"","61067","","","idle_normal_talk1R","1058","3","","0.2","1","5146061"
"","61068","","","0","105811","4","","","","5146061"
"","61069","","","0","1058","4","","","","5146061"
"","61070","","","1","106011","4","","","","5146061"
"","61071","","","1","1060","4","","","","5146061"
"1","61072","cool_talk_sing_shy","","cool_in_sing_shy","106011","3","0","0.2","0","5146061"
"1","61073","cool_talk_sing_shy","","cool_in_sing_shy","1060","3","0","0.2","0","5146061"
"","61074","0","","vo_apg_0106","vo_apg","21","","","0","5146061"
"1","61075","1","0","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","106011","11","0","0","10","5146061"
"","61076","","","","0","91","","","","5146061"
"","61077","","","0","0","22","","","","5146061"
"","61078","","","walk_kyapi_shy","106011","3","","0.2","1","5146061"
"","61079","","","walk_kyapi_shy","1060","3","","0.2","1","5146061"
"","61080","","","walk_furimuki","105811","3","","0.2","1","5146061"
"","61081","","","walk_furimuki","1058","3","","0.2","1","5146061"
"","61082","","","kokkoro_walk_surprise","105911","3","","0.2","1","5146061"
"","61083","","","kokkoro_walk_surprise","1059","3","","0.2","1","5146061"
"0","61084","2","","149","106011","2","","","-278","5146061"
"0","61085","2","","149","1060","2","","","-278","5146061"
"0","61086","2","","-54","105811","2","","","-278","5146061"
"0","61087","2","","-54","1058","2","","","-278","5146061"
"0","61088","2","","-214","105911","2","","","-288","5146061"
"0","61089","2","","-214","1059","2","","","-288","5146061"
"","61090","","","0","1","93","","","","5146061"
"","61091","","","iris_in","2","37","","","","5146061"
"","61092","","","0","2","93","","","","5146061"
"","61093","","","se_10055900_coaster_02","se_10055900","23","","","1","5146061"
"","61094","","","1","10","32","","","","5146061"
"","61095","","","30","30","122","","","0.5","5146061"
"","61096","0","","vo_apg_0107","vo_apg","21","","","0","5146061"
"","61097","","","0107_in","202","3","","0","0","5146061"
"","61098","","","1","0.7","93","","","","5146061"
"","61099","","","0107_mid","202","3","","0","0","5146061"
"","61100","","","","","92","","","","5146061"
"","61101","","","0107_out","202","3","","0","0","5146061"
"","61102","","","0","0.2","93","","","","5146061"
"0","61103","0","","0","202","2","","","-211","5146061"
"","61104","","","30","30","122","","","0.5","5146061"
"","61105","0","","vo_apg_0108","vo_apg","21","","","0","5146061"
"","61106","","","0108_in","203","3","","0","0","5146061"
"","61107","","","1","0.8","93","","","","5146061"
"","61108","","","0108_mid","203","3","","0","0","5146061"
"","61109","","","","","92","","","","5146061"
