72eff3a09cb0e8f89140fca46a5e5568dbe7b6d5f2073355dac66cca1f801179,23c8a206fd6d6a4ff7aed2b20549dee9b23a780a3ab41f420cefdef2f0df9195,54e7aa70dcf494cb8e49b2f17b2f0c226b2b12e9b80a5371406ed3899f455164
"101","1","1"
"103","2","1"
"105","3","1"
"101","4","2"
"102","5","2"
"103","6","2"
"105","7","2"
"101","8","3"
"102","9","3"
"103","10","3"
"101","11","4"
"103","12","4"
"104","13","4"
"105","14","4"
"103","15","5"
"104","16","5"
"105","17","5"
"102","18","6"
"104","19","6"
"106","20","6"
"101","21","7"
"102","22","7"
"106","23","7"
"102","24","8"
"103","25","8"
"106","26","8"
"103","27","9"
"104","28","9"
"105","29","9"
"101","30","10"
"103","31","10"
"105","32","10"
"107","33","11"
"108","34","11"
