0319645168428a4b114a12e37dd6e49e12d690bd1e65055e6648f0a51d35c96e,31f1a17a95371e43834ee3289b161191751bbcf7f08a66f0f18bde15cb4d0a97,2976fc60d995196cab5e8f04faa900f9f50e2f8dc55c4c30e715f6708ff66329,1430621d03e8ac2484e690c4d26e11832ba0b70e44ff5a2485f82228052375fa,2f225cf9cdf7114e34013b47a1966daf12ddf85c90dc0e40a6b93987b42e1f55,6bb18719372d60a42c9fc7e03325da81c22e1f67351cbe27e4f510af8f86558b,ae2a3212347280ba2a2cfaed428516dbce8c90d350a5120e62d3fb912e2bfbc7,f3d6420e220d87949313fff6401882070d93b5fba1e58c18ca8f06085308260d,d550322e3f6436a785165e5ee757f7e18e834c0935314352eaf44f811f41531c,d4b871135b873c6b344235636e86e053e08bc9791d243575d2bda3221e73ece3
"1","12000","90001","10","1","30000","10000","0","90043","0"
"2","24000","90002","20","2","30000","10000","0","90047","0"
"3","24000","90002","20","3","30000","10000","0","90047","0"
"4","24000","90002","20","4","30000","10000","0","90047","0"
"5","24000","90002","20","5","30000","10000","0","90047","0"
"6","24000","90002","20","6","30000","10000","0","90047","0"
"7","24000","90002","20","7","30000","10000","0","90047","0"
"8","24000","90002","20","8","30000","10000","0","90047","0"
"9","24000","90002","20","9","30000","10000","0","90047","0"
"10","24000","90002","20","10","30000","10000","0","90047","1"
"11","48000","90003","40","11","30000","10000","90011","90051","2"
"12","48000","90003","40","12","30000","10000","90011","90051","3"
"13","48000","90003","40","13","30000","10000","90011","90051","4"
"14","48000","90003","40","14","30000","10000","90011","90051","5"
"15","48000","90003","40","15","30000","10000","90011","90051","6"
"16","48000","90003","40","16","30000","10000","90011","90051","7"
"17","48000","90003","40","17","30000","10000","90011","90051","8"
"18","48000","90003","40","18","30000","10000","90011","90051","9"
"19","48000","90003","40","19","30000","10000","90011","90051","10"
"20","48000","90003","40","20","30000","10000","90011","90051","11"
"21","72000","90004","60","21","30000","10000","90015","90055","12"
"22","72000","90004","60","22","30000","10000","90015","90055","13"
"23","72000","90004","60","23","30000","10000","90015","90055","14"
"24","72000","90004","60","24","30000","10000","90015","90055","15"
"25","72000","90004","60","25","30000","10000","90015","90055","16"
"26","72000","90004","60","26","30000","10000","90015","90055","17"
"27","72000","90004","60","27","30000","10000","90015","90055","18"
"28","72000","90004","60","28","30000","10000","90015","90055","19"
"29","72000","90004","60","29","30000","10000","90015","90055","20"
"30","72000","90004","60","30","30000","10000","90015","90055","21"
"31","96000","90005","80","31","30000","10000","90015","90059","22"
"32","96000","90005","80","32","30000","10000","90015","90059","23"
"33","96000","90005","80","33","30000","10000","90015","90059","24"
"34","96000","90005","80","34","30000","10000","90015","90059","25"
"35","96000","90005","80","35","30000","10000","90015","90059","26"
"36","96000","90005","80","36","30000","10000","90015","90059","27"
"37","96000","90005","80","37","30000","10000","90015","90059","28"
"38","96000","90005","80","38","30000","10000","90015","90059","29"
"39","96000","90005","80","39","30000","10000","90015","90059","30"
"40","96000","90005","80","40","30000","10000","90015","90059","31"
"41","144000","90005","120","41","30000","10000","90017","90063","33"
"42","144000","90005","120","42","30000","10000","90017","90063","35"
"43","144000","90005","120","43","30000","10000","90017","90063","37"
"44","144000","90005","120","44","30000","10000","90017","90063","39"
"45","144000","90005","120","45","30000","10000","90017","90063","41"
"46","144000","90005","120","46","30000","10000","90017","90063","43"
"47","144000","90005","120","47","30000","10000","90017","90063","45"
"48","144000","90005","120","48","30000","10000","90017","90063","47"
"49","144000","90005","120","49","30000","10000","90017","90063","49"
"50","144000","90005","120","50","30000","10000","90017","90063","51"
"51","180000","90006","150","51","30000","10000","90019","90067","53"
"52","180000","90006","150","52","30000","10000","90019","90067","55"
"53","180000","90006","150","53","30000","10000","90019","90067","57"
"54","180000","90006","150","54","30000","10000","90019","90067","59"
"55","180000","90006","150","55","30000","10000","90019","90067","61"
"56","180000","90006","150","56","30000","10000","90019","90067","63"
"57","180000","90006","150","57","30000","10000","90019","90067","65"
"58","180000","90006","150","58","30000","10000","90019","90067","67"
"59","180000","90006","150","59","30000","10000","90019","90067","69"
"60","180000","90006","150","60","30000","10000","90019","90067","71"
"61","216000","90007","180","61","30000","10000","90021","90071","74"
"62","216000","90007","180","62","30000","10000","90021","90071","77"
"63","216000","90007","180","63","30000","10000","90021","90071","80"
"64","216000","90007","180","64","30000","10000","90021","90071","83"
"65","216000","90007","180","65","30000","10000","90021","90071","86"
"66","216000","90007","180","66","30000","10000","90021","90071","89"
"67","216000","90007","180","67","30000","10000","90021","90071","92"
"68","216000","90007","180","68","30000","10000","90021","90071","95"
"69","216000","90007","180","69","30000","10000","90021","90071","98"
"70","216000","90007","180","70","30000","10000","90021","90071","101"
