14f0ec83a0c6e227fea22c8c8e2309cd54e8ed35479b6e42ea8fca067b633072,fc3d7327d91039c0f2457ce8dd785a3f4ec6b0689f4e7066c6cf0397598ff820,b4fb2b1e38478cf9e01205e91295b8bdec3171a82b6d7a9424cf7a1b180c3ca8,3c31550b54e10e5cf0619f2a3a1c5edc29b96e66d2a4d4c310d4fe06b49b1d77,e5b085c9b750b357c4f8a1a95f3fb19d4d84dd6e88019b359f7d4926398d46d4,5f62370c7e1913b164712fb61234b5cf796184154e6d1b901e711ed3cf51b47f,71eae5106f038ea79b97fb5b48e4c86239be03a25744c9c55bf0b23eca334e4a,e248c2972f34a811abccefb929aa3ecd723d4d7d087ae7b5cbe3819776a51771,14dd3a45021134e374e993eb2cc8e9a27dd04aa747820dff162c4e9b07270466,d12019fe5cbb638c06343472067b23c8651b1accd4f355baf453e612f73de63e,f640f6a699305b855721867d01f2db1f5d9a987accda22c1f74f061ce871b616,395b4131cbfa746b84db0b5ec3c488660ae27e65606ea0e0c9b2b6edabc32fba,b111a2ed13889d394c6b7b10f712e8e33c7ed6d05ea0887da116249f98c3ce35,c58a21a66dabb3c73503a3b91b8a5f6752f0e8fb6937b3ce9f61fb6a98e618bd,b218ddebf18e562c354de3e15290781d4e3ee9623e545d5149e986d9425d2122
"601","8006","0","9001","アクダイカンを1体倒そう（NORMAL限定）","20014","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1004110","99001001","660014101","99001001"
"601","8007","0","9001","アクダイカンを1体倒そう（HARD限定）","20014","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1004111","99001002","660014201","99001002"
"601","8010","0","9001","アクダイカンを1体倒そう（VERY HARD限定）","20014","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1004112","99001003","660014301","99001003"
"601","6011","0","9001","アクダイカンを1体倒そう（SPECIAL限定）","10041","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1004113","99001004","610041401","99001004"
"601","6006","0","9001","ペテルギウスを1体倒そう（NORMAL限定）","10153","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1005310","99001005","610153101","99001005"
"601","6007","0","9001","ペテルギウスを1体倒そう（HARD限定）","10153","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1005311","99001006","610153201","99001006"
"601","6010","0","9001","ペテルギウスを1体倒そう（VERY HARD限定）","10153","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1005312","99001007","610153301","99001007"
"601","6011","0","9001","ペテルギウスを1体倒そう（SPECIAL限定）","10153","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1005313","99001008","610153401","99001008"
"601","8006","0","9001","雨神様を1体倒そう（NORMAL限定）","20015","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1004310","99001009","660015101","99001009"
"601","8007","0","9001","雨神様を1体倒そう（HARD限定）","20015","1","2030/04/01 14:59:59","0","2015/04/01 15:00:00","1","1004311","99001010","660015201","99001010"
