b3cbbaaab32f0a3401eaa31dc58e03c871b12b1096006ca7b6909c6fe521889e,64061c6bf798bb58649428f2970295fae26f4538d9997f1f259a103a0dd8b3e1,92257961b38cf2fec51c8a6ae3dea32505a22be83cbf06e77dcde144bc03246a,40a1e79ead6c0fdfbb1185d5a6ace4afa55685a17a0cde7454999b957d824110,16b3493ee1e83446bc1d5e2b7949543a5e06ccb419ee0740f9c138235f63f768,1adb16234648767ddec2b0a425c65a397634e282110fe404ab66d8a7c3c8c96d,fe92741ef716fcf216d18f96308a6f02141ceec319a4068b2d9f780530003917,20996fb405080bc0b92b92db6e04b14ae16ed75809e3eeb3ca82e14a8059b558,8ef7c7d35b295692daccd949a8041fdf20eebe56156324cd900d6fa852a0e7e8
"1","1","2","1","1","唯一無二の","0","3","1"
"1","1","2","1","1","完全無欠の","0","3","2"
"1","1","2","1","1","ランドソル最速の","1","3","3"
"1","1","2","1","1","明鏡止水の","0","3","4"
"1","1","2","1","1","史上最速の","0","3","5"
"1","1","2","1","1","最強最速の","0","3","6"
"1","1","2","1","1","アルティメット","2","3","7"
"1","1","2","1","1","百点満点","0","3","8"
"1","1","2","1","1","最優秀","0","3","9"
"1","1","2","1","1","一騎当千の","0","3","10"
"1","1","2","1","1","唯一無二の","0","3","11"
"1","1","2","1","1","天下無双の","0","3","12"
"1","0","2","1","1","泰然自若の","0","3","13"
"1","0","2","1","1","ハイパー","0","3","14"
"1","0","2","1","1","光速の","0","3","15"
"1","0","2","1","1","稀代の","0","3","16"
"1","0","2","1","1","極限の","0","3","17"
"1","0","2","1","1","至高の","0","3","18"
"1","0","2","1","1","煌めく","0","3","19"
"1","0","2","1","1","百戦錬磨の","0","3","20"
"1","0","2","1","1","疾風迅雷の","0","3","21"
"1","0","2","1","1","電光石火の","0","3","22"
"1","1","2","1","0","変幻自在の","0","3","23"
"1","1","2","1","0","空前絶後の","0","3","24"
"1","1","2","1","0","レペゼン","0","3","25"
"1","1","2","1","0","音速の","0","3","26"
"1","1","2","1","0","常識外れの","0","3","27"
"1","1","2","1","0","獅子奮迅の","0","3","28"
"1","1","2","1","0","勇猛果敢なる","2","3","29"
"1","1","2","1","0","威風堂々たる","2","3","30"
"1","1","2","1","0","急がば回れ","0","3","31"
"1","1","2","1","0","心頭滅却","0","3","32"
"1","0","2","1","0","夢見る","0","3","33"
"1","0","2","1","0","ナイス","0","3","34"
"1","0","2","1","0","そこそこの","0","3","35"
"1","0","2","1","0","若葉マークの","2","3","36"
"1","0","2","1","0","未来ある","0","3","37"
"1","0","2","1","0","新米","0","3","38"
"1","0","2","1","0","駆け出しの","0","3","39"
"1","0","2","1","0","ぼちぼちの","0","3","40"
"1","0","2","1","0","新進気鋭の","0","3","41"
"1","0","2","1","0","不撓不屈の","0","3","42"
"1","0","2","1","0","七転八起の","0","3","43"
"1","0","2","1","0","がんばれ","0","3","44"
"1","1","2","2","1","選ばれし","0","3","45"
"1","1","2","2","1","アルティメット","2","3","46"
"1","1","2","2","1","オーシャンブルー","1","3","47"
"1","1","2","2","1","海に愛された","2","3","48"
"1","1","2","2","1","大海を統べる","2","3","49"
"1","1","2","2","1","伝説の","0","3","50"
"1","1","2","2","1","世界を揺るがす","2","3","51"
"1","1","2","2","1","スーパーワイルド","1","3","52"
"1","1","2","2","1","神がかった","0","3","53"
"1","1","2","2","1","ぶっちぎりの","2","3","54"
"1","0","2","2","1","誰にも止められない","1","3","55"
"1","0","2","2","1","血湧き肉躍る","2","3","56"
"1","0","2","2","1","メガ","0","3","57"
"1","0","2","2","1","ナチュラルボーン","1","3","58"
"1","0","2","2","1","大海原の","0","3","59"
"1","0","2","2","1","アドレナリン全開の","1","3","60"
"1","0","2","2","1","オーマ産の","0","3","61"
"1","0","2","2","1","手練れの","0","3","62"
"1","0","2","2","1","歴戦の","0","3","63"
"1","0","2","2","1","水を得た","0","3","64"
"1","0","2","2","1","ド級の","0","3","65"
"1","1","2","2","0","ただ者ではない","2","3","66"
"1","1","2","2","0","勇猛なる","0","3","67"
"1","1","2","2","0","ひた走る","0","3","68"
"1","1","2","2","0","目にも留まらぬ","2","3","69"
"1","1","2","2","0","荒波の","0","3","70"
"1","1","2","2","0","レイジオブ","0","3","71"
"1","1","2","2","0","負けず嫌いの","2","3","72"
"1","1","2","2","0","伸び盛りの","0","3","73"
"1","1","2","2","0","型破りの","0","3","74"
"1","1","2","2","0","暴れる","0","3","75"
"1","1","2","2","0","荒れくるう","0","3","76"
"1","0","2","2","0","うわさの","0","3","77"
"1","0","2","2","0","ビーチサイドの","2","3","78"
"1","0","2","2","0","元気はつらつ","2","3","79"
