0194714f311aacea96cb56c6201af3b289de0e5f59e4d006bd31dd401d2ee014,45cb226ffbbf12732517c22ef4b7c9fafc8fbcb22094efdeb7c972349bbf5869,2aed041b0c7e0a701324acd7536757efb901818fb0e651b0bdf138e1f745edd4,a7b86292c20f97cc781afb3f763fc110ab292cd1e3dfc74f01301a4f5d1fcf0e,608d605adad2828fc3e856a3db9aa1ac8c12f3fc4faa3037800a86e563b04820
"1","58","1","1","1"
"2","59","1","1","1"
"3","60","1","1","1"
"4","64","1","1","1"
"5","1","2","1","1"
"6","2","2","1","1"
"7","3","2","1","1"
"8","68","3","1","1"
"9","49","3","1","1"
"10","11","3","1","1"
"11","29","4","1","1"
"12","42","4","1","1"
"13","54","4","1","1"
"14","20","5","1","1"
"15","4","5","1","1"
"16","36","5","1","1"
"17","15","6","1","1"
"18","12","6","1","1"
"19","40","6","1","1"
"20","44","7","1","1"
"21","31","7","1","1"
"22","7","7","1","1"
"23","22","7","1","1"
"24","6","7","1","1"
"25","47","8","1","1"
"26","71","8","1","1"
"27","37","8","1","1"
"28","5","8","1","1"
"29","28","9","1","1"
"30","25","9","1","1"
"31","21","9","1","1"
"32","23","9","1","1"
"33","10","10","1","1"
"34","43","10","1","1"
"35","17","10","1","1"
"36","14","10","1","1"
"37","33","11","1","1"
"38","26","11","1","1"
"39","52","11","1","1"
"40","38","11","1","1"
"41","32","12","1","1"
"42","48","12","1","1"
"43","34","12","1","1"
"44","46","12","1","1"
"45","56","13","1","1"
"46","51","13","1","1"
"47","27","13","1","1"
"48","13","13","1","1"
"49","9","13","1","1"
"50","18","14","1","1"
"51","16","14","1","1"
"52","50","14","1","1"
"53","53","15","1","1"
"54","30","15","1","1"
"55","8","15","1","1"
"56","45","15","1","1"
"57","55","15","1","1"
"58","110","16","1","1"
"59","108","16","1","1"
"60","109","16","1","1"
"61","67","17","1","1"
"62","65","17","1","1"
"63","66","17","1","1"
"64","181","18","1","1"
"65","182","18","1","1"
"66","233","18","1","1"
"67","180","19","1","1"
"68","258","20","1","1"
"69","260","20","1","1"
"70","261","20","1","1"
"71","265","21","1","1"
"72","264","21","1","1"
"73","277","21","1","1"
"74","278","21","1","1"
"75","309","21","1","1"
"76","297","22","1","1"
"77","296","22","1","1"
"78","347","22","1","1"
"79","349","22","1","1"
"80","362","22","1","1"
"81","360","22","1","1"
"82","331","23","1","1"
"83","330","23","1","1"
"84","359","23","1","1"
"85","358","23","1","1"
"86","369","23","1","1"
"87","300","24","1","1"
"88","301","24","1","1"
"89","302","24","1","1"
"90","323","25","1","1"
"91","325","25","1","1"
"92","324","25","1","1"
"93","230","26","1","1"
"94","186","26","1","1"
"95","61","26","1","1"
"96","70","26","1","1"
"97","69","26","1","1"
"98","185","26","1","1"
"99","290","26","1","1"
"100","355","26","1","1"
"101","356","26","1","1"
"102","57","26","1","1"
"103","256","26","1","1"
"104","92","26","1","1"
"105","94","26","1","1"
"106","93","26","1","1"
"107","63","26","1","1"
"108","114","26","1","1"
"109","223","26","1","1"
"110","336","26","1","1"
