b8e9815d5686b5b44ded741c5c5965aa72f120f771dbe9dcf84b45f03f58ca46,98da5b840041b4919b4abcd8bb88af0fff69952d38ab30bb42b7f6b00cd88654,44d6ef9e4d607ef7090d3df015057e90817f1e1ef667bf5344cbad415f85f640,aa1c7a43abd653026882652167a36165eccba82b6a7351840fb80743b16b0e0f,207b4b2e18f6ad4a0fe8d7e45aa3e866515c74da0990454fbf87ef44427c67fc,57c4d56b4bb86f444e5ab6bef8f8068ebf7ed5a954fef01187c8a0daba4ea673,984afafc988fb9fcb86b31df731431763fa46b7addd1c688f8a34c6fa2174a9c,8402293ef73fa0f461a363fedd890d2dfa179d9f9780577e49b496b6e520584e,18dba9366d2b5bf6de8fcd0a79747a0ffb993cd1619e2e7ef6be5f8d166eecc2,3fa3158b589155fb08c52642d88cf3b2edcec74a60b8c4168dacaf9310a8abdf,b777e04f7385d4e330feb662b9d63129b4f1bb9bfbcf359d5f37ab04b5f8d3a4,d20c5809719cff4311bb073ce0bc51c336d2837c665fda8fe2ebb6533dc850ab
"100700101","0","1007001","0","4","0","1","0","0","0.8","0","1"
"100700102","0","1007001","vo_svd_0101","2","vo_svd","2","0","0","0","0","0"
"100700103","0","1007001","0","1","0","3","300","1.684","0","1","0"
"100700104","0","1007001","0","4","0","4","0","0","1.949","0","1"
"100700105","15","1007001","0","1","0","5","327","1.363","0","2","0"
"100700106","0","1007001","0","4","0","6","0","0","3.027","0","1"
"100700107","0","1007001","vo_svd_0102","2","vo_svd","7","0","0","0","0","0"
"100700108","0","1007001","0","1","0","8","441","1.69","0","3","0"
"100700109","0","1007001","0","4","0","9","0","0","1.7","0","1"
"100700110","0","1007001","0","1","0","10","221","1.446","0","4","0"
"100700111","0","1007001","0","4","0","11","0","0","1.722","0","1"
"100700112","221","1007001","0","1","0","12","478","1.245","0","4","0"
"100700113","0","1007001","0","4","0","13","0","0","0.417","0","1"
"100700114","0","1007001","0","1","0","14","208","0.864","0","5","0"
"100700115","0","1007001","0","4","0","15","0","0","2.482","0","1"
"100700116","0","1007001","vo_svd_0103","2","vo_svd","16","0","0","0","0","0"
"100700117","0","1007001","0","1","0","17","420","2.352","0","6","0"
"100700118","0","1007001","0","4","0","18","0","0","1.694","0","1"
"100700119","0","1007001","0","1","0","19","268","0.953","0","7","0"
"100700120","0","1007001","0","4","0","20","0","0","2.5","0","1"
"100700201","0","1007002","0","4","0","1","0","0","0.8","0","1"
"100700202","0","1007002","vo_svd_0201","2","vo_svd","2","0","0","0","0","0"
"100700203","0","1007002","0","1","0","3","152","0.865","0","1","0"
"100700204","0","1007002","0","4","0","4","0","0","1.516","0","1"
"100700205","152","1007002","0","1","0","5","314","1.013","0","1","0"
"100700206","0","1007002","0","4","0","6","0","0","0.973","0","1"
"100700207","0","1007002","0","1","0","7","158","0.755","0","2","0"
"100700208","0","1007002","0","4","0","8","0","0","2.018","0","1"
"100700209","0","1007002","vo_svd_0202","2","vo_svd","9","0","0","0","0","0"
"100700210","0","1007002","0","1","0","10","132","0.541","0","3","0"
"100700211","0","1007002","0","4","0","11","0","0","0.517","0","1"
"100700212","132","1007002","0","1","0","12","299","0.992","0","3","0"
"100700213","0","1007002","0","4","0","13","0","0","0.792","0","1"
"100700214","0","1007002","0","1","0","14","132","0.751","0","4","0"
"100700215","0","1007002","0","4","0","15","0","0","1.887","0","1"
"100700216","0","1007002","vo_svd_0203","2","vo_svd","16","0","0","0","0","0"
"100700217","132","1007002","0","1","0","17","441","1.482","0","4","0"
"100700218","0","1007002","0","4","0","18","0","0","0.858","0","1"
"100700219","0","1007002","0","1","0","19","255","1.255","0","5","0"
"100700220","0","1007002","0","4","0","20","0","0","2.752","0","1"
"100700221","0","1007002","vo_svd_0204","2","vo_svd","21","0","0","0","0","0"
"100700222","0","1007002","0","1","0","22","336","1.827","0","6","0"
