35dbc766121dd30a8b279f3ad3d4c82e379cb5502cbb3a842dfb60c0dad18fde,53b92b67c8376bf1d76eb35500fddb7ef18b905f0453ad18deef0bb571614c75,82ead5e90e89b3436189eb04ba50d35aad1028583470fc8dd88740f879c498f2,f2a0cd5f9a75cb62a5a0284bf51c7128c6ed9770e2c121dc3bb0b8397d340bff,6becc627c5d29c6eadbddcc26bf5403fa99fb0a535a754ea29284b950869b1fd
"1000","25011","2","32000101","320001011"
"1000","25012","2","32000101","320001012"
"1000","25013","2","32000102","320001021"
"1000","25014","2","32000102","320001022"
"1000","91002","8","32000103","320001031"
"3000000","94002","12","32000103","320001032"
"1000","25015","2","32000103","320001033"
"1000","25021","2","32000103","320001034"
"1000","25013","2","32000104","320001041"
"1000","25014","2","32000104","320001042"
"1000","25012","2","32000105","320001051"
"1000","25015","2","32000105","320001052"
"1000","91002","8","32000106","320001061"
"3000000","94002","12","32000106","320001062"
"1000","25011","2","32000106","320001063"
"1000","25021","2","32000106","320001064"
"1000","25014","2","32000107","320001071"
"1000","25015","2","32000107","320001072"
"1000","25011","2","32000108","320001081"
"1000","25013","2","32000108","320001082"
"1000","91002","8","32000109","320001091"
"3000000","94002","12","32000109","320001092"
"1000","25012","2","32000109","320001093"
"1000","25021","2","32000109","320001094"
"3000","25011","2","32000110","320001101"
"3000","25012","2","32000110","320001102"
"3000","25013","2","32000110","320001103"
"3000","25014","2","32000110","320001104"
"3000","25015","2","32000110","320001105"
"3000","25011","2","32000111","320001111"
"3000","25012","2","32000111","320001112"
"3000","25013","2","32000111","320001113"
"3000","25014","2","32000111","320001114"
"3000","25015","2","32000111","320001115"
"3000","25011","2","32000112","320001121"
"3000","25012","2","32000112","320001122"
"3000","25013","2","32000112","320001123"
"3000","25014","2","32000112","320001124"
"3000","25015","2","32000112","320001125"
"1","21953","2","32000113","320001131"
"2000","25021","2","32000113","320001132"
