a59d390ef8e49c98d727048aca193576db947ac1eb5be3ab1f719ae00b357a66,445faffb0905ca14c72d1f4925e573d380b7b4ba7cd88ca9912dcdfc661bdcd5,988c70b94a993c763977fd391d8b4c14fafafc95a6b8dc40a37eefd4ef5b93a9,573d2fc404bbdfd8947db08c610bed635d781787ad0af76410df7a789ab648f9,8715672e3511ea1d754a475b0e0ad1c7151ac1cb5fa442868ac6d834fe043ada,6d26c9012bf7d00ecaa12537fcb274167b31eb5c48f0d01f3609d7292ccbf54e,5d2db8f5b527367a66d554beb9f7caa9b26c8397c2a363523a5040423169404c,09b67c9a91c302b157f268123848d0e1507cbf81ef1df7e07c29a341cd5aab69,4b3407c4ed9f8132028baefb202b36066a7b46caadb3d0a5afb2a5edc41d888f,833ed9e45eec3e0ba8193265ceddd20ff0cf2aaf02bc0e1570de457617952e73,7e52f051489c27639e4608efc5b63d6e219f75faf57c9f1ed5a6b74ac035d6dd,969a003201a843326f9cf05af2694b590522aa44188f8b0df647d2728ac5a15a
"515406201","0.8","5154062","0","0","1","4","1","0","0","0","0"
"515406202","0","5154062","0","0","2","2","0","0","vo_abd","vo_abd_0101","0"
"515406203","0","5154062","0","300","3","1","0","2","0","0","1"
"515406204","2.1","5154062","0","0","4","4","1","0","0","0","0"
"515406205","0","5154062","0","0","5","2","0","0","vo_abd","vo_abd_0102","0"
"515406206","0","5154062","0","400","6","1","0","2.05","0","0","2"
"515406207","3.2","5154062","0","0","7","4","1","0","0","0","0"
"515406208","0","5154062","0","0","8","2","0","0","vo_abd","vo_abd_0103","0"
"515406209","0","5154062","0","60","9","1","0","1","0","0","3"
"515406210","1.4","5154062","0","0","10","4","1","0","0","0","0"
"515406211","0","5154062","60","430","11","1","0","2.5","0","0","3"
"515406212","3.3","5154062","0","0","12","4","1","0","0","0","0"
"515406213","0","5154062","0","0","13","2","0","0","vo_abd","vo_abd_0104","0"
"515406214","0","5154062","0","27","14","1","0","0.2","0","0","4"
"515406215","0.5","5154062","0","0","15","4","1","0","0","0","0"
"515406216","0","5154062","27","60","16","1","0","0.2","0","0","4"
"515406217","0.6","5154062","0","0","17","4","1","0","0","0","0"
"515406218","0","5154062","60","145","18","1","0","0.8","0","0","4"
"515406219","1.2","5154062","0","0","19","4","1","0","0","0","0"
"515406220","0","5154062","145","400","20","1","0","1.8","0","0","4"
"515406221","2.2","5154062","0","0","21","4","1","0","0","0","0"
"515406222","0","5154062","0","0","22","2","0","0","vo_abd","vo_abd_0105","0"
"515406223","0","5154062","0","95","23","1","0","0.6","0","0","5"
"515406224","1","5154062","0","0","24","4","1","0","0","0","0"
"515406225","0","5154062","95","195","25","1","0","0.7","0","0","5"
"515406226","1.5","5154062","0","0","26","4","1","0","0","0","0"
"515406227","0","5154062","195","315","27","1","0","0.8","0","0","5"
"515406228","1","5154062","0","0","28","4","1","0","0","0","0"
"515406229","0","5154062","315","415","29","1","0","0.7","0","0","5"
"515406230","2","5154062","0","0","30","4","1","0","0","0","0"
"515406231","0","5154062","0","0","31","2","0","0","vo_abd","vo_abd_0106","0"
"515406232","0","5154062","0","160","32","1","0","1","0","0","6"
"515406233","1.3","5154062","0","0","33","4","1","0","0","0","0"
"515406234","0","5154062","160","415","34","1","0","1","0","0","6"
"515406235","2.3","5154062","0","0","35","4","1","0","0","0","0"
"515406236","0","5154062","0","0","36","2","0","0","vo_abd","vo_abd_0107","0"
"515406237","0","5154062","0","85","37","1","0","0.7","0","0","7"
"515406238","0.8","5154062","0","0","38","4","1","0","0","0","0"
"515406239","0","5154062","85","360","39","1","0","0.8","0","0","7"
"515406240","2","5154062","0","0","40","4","1","0","0","0","0"
"515406241","0","5154062","0","0","41","2","0","0","vo_abd","vo_abd_0108","0"
"515406242","0","5154062","0","415","42","1","0","2.63","0","0","8"
"515406243","2.63","5154062","0","0","43","4","1","0","0","0","0"
"515406244","0","5154062","0","0","44","2","0","0","vo_abd","vo_abd_0109","0"
"515406245","0","5154062","0","200","45","1","0","1","0","0","9"
"515406246","2","5154062","0","0","46","4","1","0","0","0","0"
"515406247","0","5154062","200","245","47","1","0","0.5","0","0","9"
"515406248","1.2","5154062","0","0","48","4","1","0","0","0","0"
"515406249","0","5154062","245","415","49","1","0","1.5","0","0","9"
"515406250","2.5","5154062","0","0","50","4","1","0","0","0","0"
"515406251","0","5154062","0","0","51","2","0","0","vo_abd","vo_abd_0110","0"
"515406252","0","5154062","0","35","52","1","0","0.2","0","0","10"
"515406253","0.6","5154062","0","0","53","4","1","0","0","0","0"
"515406254","0","5154062","35","400","54","1","0","1.3","0","0","10"
"515406255","2.3","5154062","0","0","55","4","1","0","0","0","0"
"515406256","0","5154062","0","0","56","2","0","0","vo_abd","vo_abd_0111","0"
"515406257","0","5154062","0","60","57","1","0","0.3","0","0","11"
"515406258","1.2","5154062","0","0","58","4","1","0","0","0","0"
"515406259","0","5154062","60","315","59","1","0","1","0","0","11"
"515406301","0.8","5154063","0","0","1","4","1","0","0","0","0"
"515406302","0","5154063","0","0","2","2","0","0","vo_abd","vo_abd_0201","0"
"515406303","0","5154063","0","350","3","1","0","1.5","0","0","1"
"515406304","2.25","5154063","0","0","4","4","1","0","0","0","0"
"515406305","0","5154063","0","0","5","2","0","0","vo_abd","vo_abd_0202","0"
"515406306","0","5154063","0","350","6","1","0","1.8","0","0","2"
"515406307","3","5154063","0","0","7","4","1","0","0","0","0"
"515406308","0","5154063","0","0","8","2","0","0","vo_abd","vo_abd_0203","0"
"515406309","0","5154063","0","315","9","1","0","1.5","0","0","3"
"515406310","1.8","5154063","0","0","10","4","1","0","0","0","0"
"515406311","0","5154063","0","0","11","2","0","0","vo_abd","vo_abd_0204","0"
"515406312","0","5154063","0","300","12","1","0","1.3","0","0","4"
"515406313","2.5","5154063","0","0","13","4","1","0","0","0","0"
"515406314","0","5154063","0","0","14","2","0","0","vo_abd","vo_abd_0205","0"
"515406315","0","5154063","0","360","15","1","0","1.5","0","0","5"
"515406316","2","5154063","0","0","16","4","1","0","0","0","0"
"515406317","0","5154063","0","0","17","2","0","0","vo_abd","vo_abd_0206","0"
"515406318","0","5154063","0","310","18","1","0","1.8","0","0","6"
"515406319","3","5154063","0","0","19","4","1","0","0","0","0"
"515406320","0","5154063","0","0","20","2","0","0","vo_abd","vo_abd_0207","0"
"515406321","0","5154063","0","245","21","1","0","1.2","0","0","8"
"515406322","1.6","5154063","0","0","22","4","1","0","0","0","0"
"515406323","0","5154063","245","400","23","1","0","0.45","0","0","8"
"515406324","0.45","5154063","0","0","24","4","1","0","0","0","0"
"515406325","0","5154063","0","0","25","2","0","0","vo_abd","vo_abd_0208","0"
"515406326","0","5154063","0","300","26","1","0","1.1","0","0","9"
"515406327","1.6","5154063","0","0","27","4","1","0","0","0","0"
"515406328","0","5154063","0","0","28","2","0","0","vo_abd","vo_abd_0209","0"
"515406329","0","5154063","0","280","29","1","0","0.5","0","0","10"
"515406330","0.5","5154063","0","0","30","4","1","0","0","0","0"
"515406331","0","5154063","0","0","31","2","0","0","vo_abd","vo_abd_0210","0"
"515406332","0","5154063","0","360","32","1","0","1","0","0","11"
"515406401","0.8","5154064","0","0","1","4","1","0","0","0","0"
"515406402","0","5154064","0","0","2","2","0","0","vo_abd","vo_abd_0301","0"
"515406403","0","5154064","0","330","3","1","0","2","0","0","1"
"515406404","2.8","5154064","0","0","4","4","1","0","0","0","0"
"515406405","0","5154064","0","0","5","2","0","0","vo_abd","vo_abd_0302","0"
"515406406","0","5154064","0","400","6","1","0","2","0","0","2"
"515406407","3.5","5154064","0","0","7","4","1","0","0","0","0"
