b13615b2db5c046bc62b16901704f35812d916d155c9541503ee614aa78c3503,b3c0af8a3beebc2fddeed338d607ca79fdc9fd91c7cb5b80e796fcaf66493136,d4c09c84eac87431f967ccc7249d54518c84f2938eeac9a605f8f8d0e9cab29a,3889780c3d9681cb5846be887262d590448d2272b59d81518710d8b38e2debc4,eda0f737a38937456bc50925d05bc6e4f8e3f04b36eacceb6116cf50767b0216,97319c9fe9a95f1db2c76c8169ee98e6496a019d307912c789a18ed5cdb0870c,0dd4547fff59f016c75549feea422a9b9b614a1bdcf79c1891098899e3b3855f,ecaba31012f0a778cfa20ccf6ac82bf379f978dd8007b041e55b68fce0cb64d3,b53f3d46a4f411fd667f4f229a900fb87ca6e9cf049442639202728b5408df1e,cb5041c475dd7ea0e02ec4460c4286cafb1368170f1464919202785f0afdd480,8f2a682266d1990f51639f1551c2d5807fdc2a775fefe94b82dd8c43f31606e5
"10","2","8","25021","91002","2","25015","285001001","1","8","31"
"10","2","8","25021","91002","2","25015","285001002","2","8","31"
"10","2","8","25021","91002","2","25015","285001003","3","8","32"
"10","2","8","25021","91002","2","25015","285001004","4","8","32"
"10","2","8","25021","91002","2","25015","285001005","5","8","33"
"10","2","8","25021","91002","2","25015","285001006","6","9","33"
"10","2","8","25021","91002","2","25015","285001007","7","9","34"
"10","2","8","25021","91002","2","25015","285001008","8","9","35"
"10","2","8","25021","91002","2","25015","285001009","9","9","35"
"30","2","8","25021","91002","2","25015","285001010","10","10","37"
"10","2","8","25021","91002","2","25015","285001011","11","10","41"
"10","2","8","25021","91002","2","25015","285001012","12","11","43"
"10","2","8","25021","91002","2","25015","285001013","13","11","46"
"10","2","8","25021","91002","2","25015","285001014","14","12","48"
"10","2","8","25021","91002","2","25015","285001015","15","12","50"
"10","2","8","25021","91002","2","25015","285001016","16","13","53"
"10","2","8","25021","91002","2","25015","285001017","17","14","55"
"10","2","8","25021","91002","2","25015","285001018","18","14","58"
"10","2","8","25021","91002","2","25015","285001019","19","15","60"
"30","2","8","25021","91002","2","25015","285001020","20","15","62"
"10","2","8","25021","91002","2","25015","285001021","21","16","68"
"10","2","8","25021","91002","2","25015","285001022","22","16","70"
"10","2","8","25021","91002","2","25015","285001023","23","16","72"
"10","2","8","25021","91002","2","25015","285001024","24","17","75"
"10","2","8","25021","91002","2","25015","285001025","25","18","77"
"10","2","8","25021","91002","2","25015","285001026","26","18","79"
"10","2","8","25021","91002","2","25015","285001027","27","19","82"
"10","2","8","25021","91002","2","25015","285001028","28","19","84"
"10","2","8","25021","91002","2","25015","285001029","29","19","86"
"30","2","8","25021","91002","2","25015","285001030","30","20","89"
"10","2","8","25021","91002","2","25015","285001031","31","20","94"
"10","2","8","25021","91002","2","25015","285001032","32","21","96"
"10","2","8","25021","91002","2","25015","285001033","33","21","99"
"10","2","8","25021","91002","2","25015","285001034","34","22","101"
"10","2","8","25021","91002","2","25015","285001035","35","22","103"
"10","2","8","25021","91002","2","25015","285001036","36","23","106"
"10","2","8","25021","91002","2","25015","285001037","37","23","108"
"10","2","8","25021","91002","2","25015","285001038","38","24","111"
"10","2","8","25021","91002","2","25015","285001039","39","25","113"
"30","2","8","25021","91002","2","25015","285001040","40","25","115"
"10","2","8","25021","91002","2","25015","285001041","41","26","121"
"10","2","8","25021","91002","2","25015","285001042","42","27","123"
"10","2","8","25021","91002","2","25015","285001043","43","28","125"
"10","2","8","25021","91002","2","25015","285001044","44","28","128"
"10","2","8","25021","91002","2","25015","285001045","45","29","130"
"10","2","8","25021","91002","2","25015","285001046","46","30","132"
"10","2","8","25021","91002","2","25015","285001047","47","30","135"
"10","2","8","25021","91002","2","25015","285001048","48","31","137"
"10","2","8","25021","91002","2","25015","285001049","49","31","139"
"30","2","8","25021","91002","2","25015","285001050","50","31","142"
"10","2","8","25021","91002","2","25015","285001051","51","32","144"
"10","2","8","25021","91002","2","25015","285001052","52","32","146"
"10","2","8","25021","91002","2","25015","285001053","53","32","149"
"10","2","8","25021","91002","2","25015","285001054","54","33","152"
"10","2","8","25021","91002","2","25015","285001055","55","33","155"
"10","2","8","25021","91002","2","25015","285001056","56","33","157"
"10","2","8","25021","91002","2","25015","285001057","57","34","160"
"10","2","8","25021","91002","2","25015","285001058","58","34","163"
"10","2","8","25021","91002","2","25015","285001059","59","34","166"
"30","2","8","25021","91002","2","25015","285001060","60","35","169"
"10","2","8","25021","91002","2","25015","285001061","61","35","171"
"10","2","8","25021","91002","2","25015","285001062","62","35","174"
"10","2","8","25021","91002","2","25015","285001063","63","36","177"
"10","2","8","25021","91002","2","25015","285001064","64","36","180"
"10","2","8","25021","91002","2","25015","285001065","65","36","182"
"10","2","8","25021","91002","2","25015","285001066","66","37","185"
"10","2","8","25021","91002","2","25015","285001067","67","37","187"
"10","2","8","25021","91002","2","25015","285001068","68","37","190"
"10","2","8","25021","91002","2","25015","285001069","69","38","193"
"30","2","8","25021","91002","2","25015","285001070","70","38","196"
