9b54d11d20363f38e6dee48924862629cf55d2355cb5bd1adef5c5fb338ed949,7ada813fb97b840df7c9a4aab1087c7ce076aed02372117595a9b858639e4f8b,f3af1ebfeb3eab97ea7935e0b203e0bb656c53df50415b42e0c01b39ba2b07e2,f144026c31716e5f829ae8ddefd9189030ebce74eeda74239075ed841d13acbe,0f6df8d3552ffb1d9cff01b1aabf303963f926fabf782a5d91140c115afacd98,88c90e3b22e90867878baca04a648fba61a9618deeabcccddbcefb98543a086b,6a09bf7e806ecb9f7bf1074482744413933c3a3f24403ddd9330531f447063fb,c1ab982fdde65a0ad89f00bd9e006b9930215b2bd209c499aee923c43de6745b,1d02114b979040de61f449de0806cfeee2f1f8337fefb327540292ed452cad0c,13e91ae354a940d6c522393281404415e2e8dd0ea38be297687d25260ebe8335,cc0ea658211a26414e7bcc6886bd41c7fc1db15518a9e5b3bee617364da55c66
"2","0","10001001","-622","10001","50","0.65","2","0","5","empty"
"1","0","10001002","-622","10001","51","0.65","1","0","5","empty"
"1","0","10001003","0","10001","1","0","2","1","6",""
"1","0","10001004","0","10001","1","0","1","1","6",""
"10001","","10001005","1","10001","0","0","10001","0","31",""
"0","","10001006","","10001","","","0","","91",""
"1","0","10001007","1","10001","1","0.2","2","1","6",""
"1","0","10001008","1","10001","1","0.2","1","1","6",""
"0","0","10001009","14","10001","-472","","2","0.3","2",""
"0","0","10001010","14","10001","-472","","1","0.3","2",""
"limitedMission_congratulations","","10001011","","10001","0","0","2","","3",""
"limitedMission_congratulations","","10001012","","10001","0","0","1","","3",""
"1","","10001013","","10001","","","10001","","32",""
"0","","10001014","","10001","","","3","","93",""
"1","0","10001015","0","10001","1","0.2","2","1","6",""
"1","0","10001016","0","10001","1","0.2","1","1","6",""
"0","","10001017","","10001","","","0.2","","93",""
