37c177611c4894f48e55cdc7f75fd1e657a4c5a2a75d0620e2ae5b622d4a0627,c8dbe3df2d06ec0c3df1358bb5706b9ffdbbeb33a9dc00e4e68758251b2d6ad2,044ef8e051dd717c059a96ab1ce47086762dbfbab5291d1fb17b8f114e463db6,a140ac946762cc6aff64ed86a6d937f3a3aaf493db0fbeb59d6b4420ff1e4819,18543acc54aec472394a648b7f0ad3a6fb8b2ea6221498939d4114bee6d8a9a3,0d90da343c0f8393ede2583c903fef3cd26642a1c94719efb1c8d8f75149d12f,a4eefbfa0e9995086df9e4f72552717aee8e174454aa7a8c1a978d133947803e,541e357801c99d804f04a013ff0eecbdc654f0ef465ead094950d8bddac823cc,22cd895ee96b2145634d8ee5f03f5c5253289312142b5cd9d070a45596915cc8
"1","10701","20","15","7","1","15","53002","22"
"1","10702","22","14","7","2","14","53002","22"
"2","10703","24","13","7","3","13","53002","22"
"2","10704","26","12","7","4","12","53002","22"
"3","10705","28","11","7","5","11","53002","22"
"3","10706","30","10","7","6","10","53002","22"
"4","10707","32","9","7","7","9","53002","22"
"4","10708","34","8","7","8","8","53002","22"
"5","10709","36","0","7","9","7","53002","22"
"1","10801","20","15","8","1","15","53002","22"
"1","10802","22","14","8","2","14","53002","22"
"2","10803","24","13","8","3","13","53002","22"
"2","10804","26","12","8","4","12","53002","22"
"3","10805","28","11","8","5","11","53002","22"
"3","10806","30","10","8","6","10","53002","22"
"4","10807","32","9","8","7","9","53002","22"
"4","10808","34","8","8","8","8","53002","22"
"5","10809","36","0","8","9","7","53002","22"
"1","10901","20","15","9","1","15","53002","22"
"1","10902","22","14","9","2","14","53002","22"
"2","10903","24","13","9","3","13","53002","22"
"2","10904","26","12","9","4","12","53002","22"
"3","10905","28","11","9","5","11","53002","22"
"3","10906","30","10","9","6","10","53002","22"
"4","10907","32","9","9","7","9","53002","22"
"4","10908","34","8","9","8","8","53002","22"
"5","10909","36","0","9","9","7","53002","22"
"1","11001","20","15","10","1","15","53002","22"
"1","11002","22","14","10","2","14","53002","22"
"2","11003","24","13","10","3","13","53002","22"
"2","11004","26","12","10","4","12","53002","22"
"3","11005","28","11","10","5","11","53002","22"
"3","11006","30","10","10","6","10","53002","22"
"4","11007","32","9","10","7","9","53002","22"
"4","11008","34","8","10","8","8","53002","22"
"5","11009","36","0","10","9","7","53002","22"
"1","11101","20","15","11","1","15","53002","22"
"1","11102","22","14","11","2","14","53002","22"
"2","11103","24","13","11","3","13","53002","22"
"2","11104","26","12","11","4","12","53002","22"
"3","11105","28","11","11","5","11","53002","22"
"3","11106","30","10","11","6","10","53002","22"
"4","11107","32","9","11","7","9","53002","22"
"4","11108","34","8","11","8","8","53002","22"
"5","11109","36","0","11","9","7","53002","22"
