c5f0fa5eae8011e6ae5fad99c2d39dd9f44d59843d42914599d4b89f1741a143,edf6f83bcdc1acf3653c08967b600805d74349f8fb5ef8b61dec002b8a8ebb4a,5e13162b18e6836d0e2896f5b5e79ed1ebb275b105c8c9d82873a0812b99204a,b78cb5b0b74252da6f360b239d81c316b61872c9e4c73c11c8e388d2d65192e3,5edd25b8600062837336d3efaa970eed47f14305d6316731756cc9de171abf42,29b04672ca8ff6e5e0f4f5de09e674f1abd005fa29750a0697b95d5acce40401,83bfe5fef0502525a75afcfafc6f61365a17f188b8b43dfe3973bba3d72ab008,6fa3d94533db64397b339385d2d931340d2f790a24f7cb032dc64e106b55e690,31d55c5557921aac92dc26c87a7efcca812593ae3b09586272cdcfc0bc03b223,e067b18a7b212fcc9c023a729a89fba60dd57fd1d8caa41dcfc865c3ab8d9a64,f3e4e516ba94adf863e3240494baa74df70ecebf0c89181d0d3b3369cce8625f
"ttk_idle_def","1","1","1010001","100","-120","1","5","102611","1","850"
"","2","1","1010002","0","1","","31","2","1","0"
"","1","1","1010003","-120","1","","31","1","1","-80"
"","1","","1010004","","","","93","","1",""
"","vo_minigame_1005","","1010005","0","","","21","vo_minigame_1005_top_000","1","0"
"","102611","0.3","1010006","ttk_idle_doya","1","0.3","3","ttk_doya","1","0"
"","102611","0","1010007","","","0","11","任された仕事は\nきちんとやるよ","1","8"
"","0","","1010008","","","","91","","1",""
"ttk_idle_def","1","1","1020001","100","-120","1","5","102611","2","850"
"","2","1","1020002","0","1","","31","2","2","0"
"","1","1","1020003","-120","1","","31","1","2","-80"
"","1","","1020004","","","","93","","2",""
"","vo_minigame_1005","","1020005","0","","","21","vo_minigame_1005_top_001","2","0"
"","102611","0.3","1020006","ttk_idle_def","1","0.3","3","ttk_idle_smile","2","0"
"","102611","0","1020007","","","0","11","あたしの前に\n現れたこと\n後悔させてあげる","2","8"
"","0","","1020008","","","","91","","2",""
"ttk_idle_def","1","1","1030001","100","-120","1","5","102611","3","850"
"","2","1","1030002","0","1","","31","2","3","0"
"","1","1","1030003","-120","1","","31","1","3","-80"
"","1","","1030004","","","","93","","3",""
"","vo_minigame_1005","","1030005","0","","","21","vo_minigame_1005_top_002","3","0"
"","102611","0.1","1030006","ttk_idle_joy","1","0.3","3","ttk_joy","3","0"
"","102611","0","1030007","","","0","11","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","3","8"
"","2.2","","1030008","","","","93","","3",""
"","102611","0.3","1030009","","","0.3","3","ttk_talk_sad","3","1"
"","3","","1030010","","","","93","","3",""
"","102611","0.3","1030011","","","0.3","3","ttk_idle_def","3","1"
"","0","","1030012","","","","91","","3",""
"ttk_idle_def","1","1","1040001","100","-120","1","5","102611","4","850"
"","2","1","1040002","0","1","","31","2","4","0"
"","1","1","1040003","-120","1","","31","1","4","-80"
"","1","","1040004","","","","93","","4",""
"","vo_minigame_1005","","1040005","0","","","21","vo_minigame_1005_top_003","4","0"
"","102611","0.3","1040006","ttk_idle_shock","1","0.3","3","ttk_shock","4","0"
"","102611","0","1040007","","","0","11","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","4","8"
"","5","","1040008","","","","93","","4",""
"","102611","0.3","1040009","","","0.3","3","ttk_idle_def","4","1"
"","0.7","","1040010","","","","93","","4",""
"ttk_idle_def","1","1","1050001","100","-120","1","5","102611","5","850"
"","2","1","1050002","0","1","","31","2","5","0"
"","1","1","1050003","-120","1","","31","1","5","-80"
"","1","","1050004","","","","93","","5",""
"","vo_minigame_1005","","1050005","0","","","21","vo_minigame_1005_top_004","5","0"
"","102611","0.3","1050006","","","0.3","3","ttk_surprise","5","0"
"","102611","0","1050007","","","0","11","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","5","8"
"","0.9","","1050008","","","","93","","5",""
"","102611","0.3","1050009","","","0.3","3","ttk_talk_anger","5","1"
"","0.8","","1050010","","","","93","","5",""
"","102611","0.3","1050011","ttk_talk_sad","1","0.3","3","ttk_sad","5","0"
"","5","","1050012","","","","93","","5",""
"","102611","0.3","1050013","","","0.3","3","ttk_idle_def","5","1"
"","0","","1050014","","","","91","","5",""
"ttk_idle_def","1","1","1060001","100","-120","1","5","102611","6","850"
"","2","1","1060002","0","1","","31","2","6","0"
"","1","1","1060003","-120","1","","31","1","6","-80"
"","1","","1060004","","","","93","","6",""
"","vo_minigame_1005","","1060005","0","","","21","vo_minigame_1005_top_005","6","0"
"","102611","0.3","1060006","","","0.3","3","ttk_idle_worry","6","1"
"","102611","0","1060007","","","0","11","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","6","8"
"","7","","1060008","","","","93","","6",""
"","102611","0.3","1060009","ttk_idle_def","1","0.3","3","ttk_amz","6","0"
"","0","","1060010","","","","91","","6",""
