0fb7dc2475edcf940e65596ef337e040949323b91a46e77332a6d6fd2480114e,390ec7e6c98cfcd96ecc549d5e64704d07c2e81d61c4b67b2fc9cf4d57040097,d504c7f14657d42dbe516a124a605752aae642ca503f16876e7c084eb0fd573a,cf73734547923d900a296333502b874e4e36cc4b15b446784d3fb249fd643178,332855415f364b98cae94f0595de9be482309450c51b6e417613af0b1583615e,16400ca2b723396bf6eac1f8a8403252cd884d82d3aa2ebe498dcedd8ee55f05,9225dc0825f20274c898c33977460a15f6c70aac877245a1872f785bb067aeb8,e04f7bf90609f030fafcdc5848d0c29d20b38aa74cdcac45616a9292528b650b,f11a8d739688dfe51dcb2879a7b86cdf949f9d820f53909f75028177a2cacb6c,98ac2a2e6bbee7e9f64b0bffa0ced806e16e06e6ed3f79bc37bba08a3527fca7
"調子が上がって\nきたなっ","訓練はまだ\nここからですわ","vo_minigame_1013_icon_1_002_001","2","1","vo_minigame_1013_icon_2_002_001","2","2","3000","1000"
"ほらほら、\nまだいけるだろ？","クスクス、悪くない\n流れですわね","vo_minigame_1013_icon_1_003_001","2","2","vo_minigame_1013_icon_2_003_001","2","2","3000","5000"
"へへっ、おまえら\nやるじゃねえか！","すばらしい\n記録ですわ","vo_minigame_1013_icon_1_004_001","3","3","vo_minigame_1013_icon_2_004_001","2","2","3000","10000"
"あたしたちはまだ\n止まらねえぜ！","乗りに乗って\nいますわね","vo_minigame_1013_icon_1_005_001","3","4","vo_minigame_1013_icon_2_005_001","3","2","3000","10000"
"見てろよ！\nマコト班の快進撃だ！","まだまだ行きます\nついてきなさい","vo_minigame_1013_icon_1_005_002","3","5","vo_minigame_1013_icon_2_005_002","3","2","3000","10000"
"うおぉぉっ！\n絶好調だぜ！","エリコ班の\n本領発揮ですわ！","vo_minigame_1013_icon_1_005_003","3","6","vo_minigame_1013_icon_2_005_003","3","2","3000","10000"
"どこまで行けるか\n楽しみだなっ！","ここからは\n前人未到の領域です！","vo_minigame_1013_icon_1_006_001","3","7","vo_minigame_1013_icon_2_006_001","4","2","3000","0"
"まだ諦めんなよっ","厄介でしたわ…","vo_minigame_1013_icon_1_007_001","4","8","vo_minigame_1013_icon_2_007_001","5","3","1000","1"
"冷やっとしたぜ…！","油断大敵です","vo_minigame_1013_icon_1_007_002","4","9","vo_minigame_1013_icon_2_007_002","5","3","1000","1"
"弱音を吐くなっ","忌々しいっ…","vo_minigame_1013_icon_1_007_003","4","10","vo_minigame_1013_icon_2_007_003","5","3","1000","1"
"マコト班集合！","大所帯ですわね","vo_minigame_1013_icon_1_008_001","3","11","vo_minigame_1013_icon_2_008_001","6","4","1500","99"
"連携してくぞ！","エリコ班へようこそ","vo_minigame_1013_icon_1_008_002","3","12","vo_minigame_1013_icon_2_008_002","6","4","1500","99"
"みんなに力を！","ナナカちゃんに\nお任せあれ","vo_minigame_1013_icon_1_020_001","6","13","vo_minigame_1013_icon_2_020_001","8","1","3000","0"
"任せてくれたまえ","はっはっは！\n任せろ！","vo_minigame_1013_icon_1_022_001","7","14","vo_minigame_1013_icon_2_022_001","9","1","3000","0"
"ほな、いきまひょか","どんどんいくわよ","vo_minigame_1013_icon_1_023_001","8","15","vo_minigame_1013_icon_2_023_001","10","1","3000","0"
