ee4e31f8e97fdacae983ded7c63867de5ac74b3dc0c9b5ca2a260c94f81ae95f,226246bfc4e22bca2b46f8c9c0dfb7273fb38bfca1ae40dfa96e62cee0e7432f,02b5d3ed4927025143506a6290b8981619e11835d4a15185c6346875f48cfff6,40084925270b4045355971c7aef5ea23cfc28dc96fe5e02103f2b326cdcb7789,162e18e078ee78eef53d31043d25429d9f9fb26a17af114a717071d4cacfc42f
"1","box_rank_1-3","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"2","eq_rank_3-6","キャラのRANK1～4で必要となる装備アイテム","RANK3～6の装備アイテム","99002"
"3","eq_rank_4-7","キャラのRANK4～7で必要となる装備アイテム","RANK4～7の装備アイテム","99002"
"4","1000120101","","ハツネのメモリーピース","99002"
"5","1000120102","","シオリのメモリーピース","99002"
"6","1000220101","","ミソギのメモリーピース","99002"
"7","1000220102","","ミミのメモリーピース","99002"
"8","1000320101","","マホのメモリーピース","99002"
"9","1000320102","","カオリのメモリーピース","99002"
"10","1000420101","","コッコロ（サマー）のメモリーピース","99002"
"11","1000420102","","サレンのメモリーピース","99002"
"12","eq_rank_5-8","キャラのRANK5～8で必要となる装備アイテム","RANK5～8の装備アイテム","99002"
"13","1000520101","","ミフユ（サマー）のメモリーピース","99002"
"14","1000520102","","アキノのメモリーピース","99002"
"15","1000620101","","ジュンのメモリーピース","99002"
"16","1000620102","","ユカリのメモリーピース","99002"
"17","1000720101","","ミヤコ（ハロウィン）のメモリーピース","99002"
"18","1000720102","","ヨリのメモリーピース","99002"
"19","1000820101","","アンナのメモリーピース","99002"
"20","1000820102","","ミツキのメモリーピース","99002"
"21","1000920101","","クルミ（クリスマス）のメモリーピース","99002"
"22","1000920102","","ノゾミのメモリーピース","99002"
"23","1001020101","","レイ（ニューイヤー）のメモリーピース","99002"
"24","1001020102","","ユイのメモリーピース","99002"
"25","1001120101","","エリコ（バレンタイン）のメモリーピース","99002"
"26","1001120102","","リノのメモリーピース","99002"
"27","1001220101","","マコトのメモリーピース","99002"
"28","1001220102","","ユキのメモリーピース","99002"
"29","1001320101","","ルゥのメモリーピース","99002"
"30","1001320102","","イオのメモリーピース","99002"
"31","1001420101","","ハツネのメモリーピース","99002"
"32","1001420102","","シオリのメモリーピース","99002"
"33","1001520101","","マコトのメモリーピース","99002"
"34","1001520102","","ユキのメモリーピース","99002"
"35","1001620101","","ミソギのメモリーピース","99002"
"36","1001620102","","ミミのメモリーピース","99002"
"37","box_rank_2-4","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"38","box_rank_2-5","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"39","box_rank_3-6","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"40","box_rank_4-5","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"41","box_rank_6-7","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
