8e46b9b594921cf3826217458aa2bd732c375b203282692f54cc581b37b26b3f,37eb75f101f97fdc7ae7d9a2adae263794f26a76f73a56010430553f0e4f4475,4729b85f8827d3de4fe3634f6f733950325a8a6d6c7e97ee222f7b7b29bc776d,30b698b390bc68f2221002aa7148eb2b2a0ee86fa76fa6651d05aae147081475,4c27fb976000271881825550627666801006b4c9cddebd2b9f91b4f895951006,1c3d7d3b68279a79fa003aa38b40d444fa055d2fd86968cfa51c50af1b513a21,28d0f64976eba6c265ef200681a62eb9167dadf27b4f272f8322bdd59aa07286,cb9489357aff69fefb3561ef5d13372d60ad199a5d3831160468a466d93ca6a3,08dedf76ff06e1918b506502b60cde4d5f60060cf973437199eaf24e4e0ccd23,94965db38663beec83b28dca9216cdfd0e0f53bb679545c444665b3856c9f9fb,58773588aa1e0e096cfaf741e25469a8cb87f4655847c50f044f445395d2f8f8
"25021","25012","1","8","10","8","2","91002","282001001","2","31"
"25021","25012","2","8","10","8","2","91002","282001002","2","31"
"25021","25012","3","8","10","8","2","91002","282001003","2","32"
"25021","25012","4","8","10","8","2","91002","282001004","2","32"
"25021","25012","5","8","10","8","2","91002","282001005","2","33"
"25021","25012","6","9","10","8","2","91002","282001006","2","33"
"25021","25012","7","9","10","8","2","91002","282001007","2","34"
"25021","25012","8","9","10","8","2","91002","282001008","2","35"
"25021","25012","9","9","10","8","2","91002","282001009","2","35"
"25021","25012","10","10","30","8","2","91002","282001010","2","37"
"25021","25012","11","10","10","8","2","91002","282001011","2","41"
"25021","25012","12","11","10","8","2","91002","282001012","2","43"
"25021","25012","13","11","10","8","2","91002","282001013","2","46"
"25021","25012","14","12","10","8","2","91002","282001014","2","48"
"25021","25012","15","12","10","8","2","91002","282001015","2","50"
"25021","25012","16","13","10","8","2","91002","282001016","2","53"
"25021","25012","17","14","10","8","2","91002","282001017","2","55"
"25021","25012","18","14","10","8","2","91002","282001018","2","58"
"25021","25012","19","15","10","8","2","91002","282001019","2","60"
"25021","25012","20","15","30","8","2","91002","282001020","2","62"
"25021","25012","21","16","10","8","2","91002","282001021","2","68"
"25021","25012","22","16","10","8","2","91002","282001022","2","70"
"25021","25012","23","16","10","8","2","91002","282001023","2","72"
"25021","25012","24","17","10","8","2","91002","282001024","2","75"
"25021","25012","25","18","10","8","2","91002","282001025","2","77"
"25021","25012","26","18","10","8","2","91002","282001026","2","79"
"25021","25012","27","19","10","8","2","91002","282001027","2","82"
"25021","25012","28","19","10","8","2","91002","282001028","2","84"
