04d768326582f5d1de6b127915aa60276bfd3c60b6fbea99802bc6f511cbfeff,95a4c86264d7b34765e279c8b6090405d0c8307df09d2eea44bdbdef6c2ac994,8aff6f4767922f8b21662dd3a09c5fd20d931e0d5f702626ebd6e01c772a1949,cc4f723d8e48f80771e00c4b49dc1dba3d22491d920f69183b7b253edcc9b47a,4d59d5685e369d2608ea553a8dd54fe04836ee33d94445f698744556807f70d0,df3e2fed4c7b546e59630e9142085034312b0d0a594e127e6c82bfe477de84a9,cac89e3acfdd6d7a2fa090d3022bae58f6149b769cd31c045c70cdcfd8dc9241,bfeb971a968496217efddad0a7327e9b98c487afd40e65713e1ed6d675895c30,0f9813aaa4a71bc2167845ab8474c22921f4e54856d5693281f8dd01e107e5be,5d1780e5569164baaf7c1f48f8a8b6905a8876b90be6978294f1c54e1728a2fd,a9849163411f87d10877e4014e273d1cf638f3e86a5321a9a05305e2b38344b9,d2a9e068b15f5389d722adb8728ad8a093974cb9398c6fcfc76b474973edde73
"0","10116115","4","0","1011611501","0","0.8","0","1","0","1","0"
"vo_won_10116115_01","10116115","2","0","1011611502","0","0","0","0","0","2","vo_won"
"0","10116115","1","2.68","1011611503","0","0","395","0","1","3","0"
"0","10116115","4","0","1011611504","0","3.17","0","1","0","4","0"
"0","10116115","1","3.51","1011611505","0","0","430","0","2","5","0"
"0","10116115","4","0","1011611506","0","4.03","0","1","0","6","0"
"0","10116115","1","1.92","1011611507","0","0","280","0","3","7","0"
"0","10116115","4","0","1011611508","0","2.42","0","1","0","8","0"
"0","10116115","1","1.09","1011611509","280","0","430","0","3","9","0"
"0","10116115","4","0","1011611510","0","1.09","0","1","0","10","0"
"0","10116115","1","1.88","1011611511","0","0","210","0","4","11","0"
"0","10116115","4","0","1011611512","0","2.47","0","1","0","12","0"
"0","10116115","1","1.88","1011611513","210","0","440","0","4","13","0"
"0","10116115","4","0","1011611514","0","1.88","0","1","0","14","0"
"0","10116115","1","0.588999999999999","1011611515","0","0","70","0","5","15","0"
"0","10116115","4","0","1011611516","0","0.965999999999999","0","1","0","16","0"
"0","10116115","1","1.423","1011611517","70","0","270","0","5","17","0"
"0","10116115","4","0","1011611518","0","2.673","0","1","0","18","0"
"vo_won_10116115_02","10116115","2","0","1011611519","0","0","0","0","0","19","vo_won"
"0","10116115","1","1.699","1011611520","0","0","213","0","6","20","0"
"0","10116115","4","0","1011611521","0","2.495","0","1","0","21","0"
"0","10116115","1","1.636","1011611522","213","0","450","0","6","22","0"
"0","10116115","4","0","1011611523","0","2.4","0","1","0","23","0"
"0","10116115","1","2.853","1011611524","0","0","430","0","7","24","0"
"0","10116115","4","0","1011611525","0","4.428","0","1","0","25","0"
"vo_won_10116115_03","10116115","2","0","1011611526","0","0","0","0","0","26","vo_won"
"0","10116115","1","1.261","1011611527","0","0","195","0","8","27","0"
"0","10116115","4","0","1011611528","0","1.715","0","1","0","28","0"
"0","10116115","1","2.245","1011611529","195","0","450","0","8","29","0"
"0","10116115","4","0","1011611530","0","2.759","0","1","0","30","0"
"0","10116115","1","3.212","1011611531","0","0","450","0","9","31","0"
"0","10116115","4","0","1011611532","0","3.212","0","1","0","32","0"
"0","10116115","1","0.499","1011611533","0","0","90","0","10","33","0"
"0","10116115","4","0","1011611534","0","2.042","0","1","0","34","0"
"vo_won_10116115_04","10116115","2","0","1011611535","0","0","0","0","0","35","vo_won"
"0","10116115","1","0.717","1011611536","0","0","75","0","11","36","0"
"0","10116115","4","0","1011611537","0","1.491","0","1","0","37","0"
"0","10116115","1","2.868","1011611538","75","0","450","0","11","38","0"
"0","10116115","4","0","1011611539","0","3.897","0","1","0","39","0"
"vo_won_10116115_05","10116115","2","0","1011611540","0","0","0","0","0","40","vo_won"
"0","10116115","1","1.079","1011611541","0","0","133","0","12","41","0"
"0","10116115","4","0","1011611542","0","1.453","0","1","0","42","0"
"0","10116115","1","2.432","1011611543","133","0","450","0","12","43","0"
"0","10116115","4","0","1011611544","0","2.432","0","1","0","44","0"
"0","10116115","1","1.321","1011611545","0","0","141","0","13","45","0"
"0","10116115","4","0","1011611546","0","2.245","0","1","0","46","0"
"vo_won_10116115_06","10116115","2","0","1011611547","0","0","0","0","0","47","vo_won"
"0","10116115","1","2.161","1011611548","141","0","450","0","13","48","0"
"0","10116115","4","0","1011611549","0","3.392","0","1","0","49","0"
"vo_won_10116115_07","10116115","2","0","1011611550","0","0","0","0","0","50","vo_won"
"0","10116115","1","0.982","1011611551","0","0","142","0","14","51","0"
"0","10116115","4","0","1011611552","0","1.563","0","1","0","52","0"
"0","10116115","1","1.916","1011611553","142","0","450","0","14","53","0"
"0","10116125","4","0","1011612501","0","0.8","0","1","0","1","0"
"vo_won_10116125_01","10116125","2","0","1011612502","0","0","0","0","0","2","vo_won"
"0","10116125","1","2.458","1011612503","0","0","285","0","1","3","0"
"0","10116125","4","0","1011612504","0","3.21","0","1","0","4","0"
"0","10116125","1","1.255","1011612505","285","0","450","0","1","5","0"
"0","10116125","4","0","1011612506","0","1.255","0","1","0","6","0"
"0","10116125","1","1.63","1011612507","0","0","213","0","2","7","0"
"0","10116125","4","0","1011612508","0","2.759","0","1","0","8","0"
"vo_won_10116125_02","10116125","2","0","1011612509","0","0","0","0","0","9","vo_won"
"0","10116125","1","0.753","1011612510","213","0","255","0","2","10","0"
"0","10116125","4","0","1011612511","0","1.229","0","1","0","11","0"
"0","10116125","1","1.255","1011612512","255","0","450","0","2","12","0"
"0","10116125","4","0","1011612513","0","1.255","0","1","0","13","0"
"0","10116125","1","2.138","1011612514","0","0","331","0","3","14","0"
"0","10116125","4","0","1011612515","0","2.985","0","1","0","15","0"
"0","10116125","1","0.501","1011612516","331","0","430","0","3","16","0"
"0","10116125","4","0","1011612517","0","0.501","0","1","0","17","0"
"0","10116125","1","1.807","1011612518","0","0","292","0","4","18","0"
"0","10116125","4","0","1011612519","0","2.584","0","1","0","19","0"
"0","10116125","1","0.703","1011612520","292","0","361","0","4","20","0"
"0","10116125","4","0","1011612521","0","1.405","0","1","0","21","0"
"0","10116125","1","0.553","1011612522","361","0","440","0","4","22","0"
"0","10116125","4","0","1011612523","0","0.553","0","1","0","23","0"
"0","10116125","1","0.878","1011612524","0","0","88","0","5","24","0"
"0","10116125","4","0","1011612525","0","1.279","0","1","0","25","0"
"0","10116125","1","2.233","1011612526","88","0","450","0","5","26","0"
"0","10116125","4","0","1011612527","0","3.38","0","1","0","27","0"
"vo_won_10116125_03","10116125","2","0","1011612528","0","0","0","0","0","28","vo_won"
"0","10116125","1","2.307","1011612529","0","0","280","0","6","29","0"
"0","10116125","4","0","1011612530","0","2.859","0","1","0","30","0"
"0","10116125","1","1.405","1011612531","280","0","450","0","6","31","0"
"0","10116125","4","0","1011612532","0","1.832","0","1","0","32","0"
"0","10116125","1","3.426","1011612533","0","0","400","0","7","33","0"
"0","10116125","4","0","1011612534","0","3.912","0","1","0","34","0"
"vo_won_10116125_04","10116125","2","0","1011612535","0","0","0","0","0","35","vo_won"
"0","10116125","1","2.534","1011612536","0","0","325","0","8","36","0"
"0","10116125","4","0","1011612537","0","3.311","0","1","0","37","0"
"0","10116125","1","0.979","1011612538","325","0","450","0","8","38","0"
"0","10116125","4","0","1011612539","0","1.394","0","1","0","39","0"
"0","10116125","1","3.346","1011612540","0","0","450","0","9","40","0"
"0","10116125","4","0","1011612541","0","3.346","0","1","0","41","0"
"0","10116125","1","0.828","1011612542","0","0","130","0","10","42","0"
"0","10116125","4","0","1011612543","0","2.361","0","1","0","43","0"
"vo_won_10116125_05","10116125","2","0","1011612544","0","0","0","0","0","44","vo_won"
"0","10116125","1","3.221","1011612545","0","0","410","0","11","45","0"
"0","10116125","4","0","1011612546","0","3.999","0","1","0","46","0"
"0","10116125","1","0.727","1011612547","0","0","95","0","12","47","0"
"0","10116125","4","0","1011612548","0","1.405","0","1","0","48","0"
"0","10116125","1","2.085","1011612549","95","0","430","0","12","49","0"
"0","10116125","4","0","1011612550","0","3.523","0","1","0","50","0"
"vo_won_10116125_06","10116125","2","0","1011612551","0","0","0","0","0","51","vo_won"
"0","10116125","1","0.62","1011612552","0","0","67","0","13","52","0"
"0","10116125","4","0","1011612553","0","1.355","0","1","0","53","0"
"0","10116125","1","2.483","1011612554","67","0","440","0","13","54","0"
"0","10116125","4","0","1011612555","0","3.03","0","1","0","55","0"
"0","10116125","1","1.284","1011612556","0","0","220","0","14","56","0"
"0","10116135","4","0","1011613501","0","0.8","0","1","0","1","0"
"vo_won_10116135_01","10116135","2","0","1011613502","0","0","0","0","0","2","vo_won"
"0","10116135","1","2.046","1011613503","0","0","248","0","1","3","0"
"0","10116135","4","0","1011613504","0","2.601","0","1","0","4","0"
"0","10116135","1","1.646","1011613505","248","0","450","0","1","5","0"
"0","10116135","4","0","1011613506","0","2.101","0","1","0","6","0"
"0","10116135","1","2.992","1011613507","0","0","410","0","2","7","0"
"0","10116135","4","0","1011613508","0","4.249","0","1","0","8","0"
"vo_won_10116135_02","10116135","2","0","1011613509","0","0","0","0","0","9","vo_won"
"0","10116135","1","0.865","1011613510","0","0","110","0","3","10","0"
"0","10116135","4","0","1011613511","0","1.349","0","1","0","11","0"
"0","10116135","1","2.925","1011613512","110","0","450","0","3","12","0"
"0","10116135","4","0","1011613513","0","2.925","0","1","0","13","0"
"0","10116135","1","0.64","1011613514","0","0","56","0","4","14","0"
"0","10116135","4","0","1011613515","0","1.089","0","1","0","15","0"
"0","10116135","1","1.967","1011613516","56","0","289","0","4","16","0"
"0","10116135","4","0","1011613517","0","3.198","0","1","0","17","0"
