a312fe0529b493456a0768d9adc5cfe0cc3c311978a9062eeda5c196afe06794,1fba1b4593465005182a1094d0862f515e421126ebf797ba57edbafcb70be86b,af8648ca02aa755c82c4822c5f028f37595247154f439957762e25514eeebe83,57d4e65fe29085e8d06a32abd43a1355b4b158b89d9154a6bafc012c74f5166f,d0e2ef11396dcdfe002cb181a04ae930f997f9505bd684b6613439934387492b,348a6aeb592b1bebfc92d95199d6fbd368045f2e0e63b1d0653dd05e751bfe1c
"0","10036","0","0","5035005","5035004"
"0","10059","0","0","5058005","5058004"
"1006201","10063","10062","10062115","0","0"
"1008401","10085","10084","10084115","0","0"
"1008601","10087","10086","10086115","0","0"
"1011001","10111","10110","10110115","0","0"
"1011201","10113","10112","10112115","0","0"
"1013601","10137","10136","10136110","0","0"
"1013801","10139","10138","10138115","0","0"
"1016401","10165","10164","10164110","0","0"
"1017401","10175","10174","10174107","0","0"
"2003301","20034","20033","20033115","0","0"
"2004601","20047","20046","20046115","0","0"
"2005901","20060","20059","20059115","0","0"
"2006701","20068","20067","20067110","0","0"
