5ef86201f2957376596a182e1630e424f612d53b9ed61c288d5498f6612922ce,2cb865d8ce094d97f700f3e21b99d35948f1ded879e13baf7ad069eaa7c9aeeb,492b77dca35d6bbcae033872413bccf5f36ab5e5b992dfc33510bd4c3a33c094,0044cb13120553f4f954ed1787d20203df90188a380d36447a68d1613ebea96f,e46a49ab2aa2bbaf5519abd8ce3633187352d148021c3c27ed04a8496102fe20,e566bb1aefd6ddfcb24770048d6b5aaaf06029b9b563bcbfc525bcc0a10d231b,616f97cf8e43970373f8b58864755611a004b2e5c347b627149356fd35dd82f5,62edbd66b8b52fdff93dcb59af37022180a13a382f124541fe58519bd73a8421,6fbfba62e4ec1b4eae863e2e623125d2aae9ded1ab54c7f2b2f100321279f3e2,8efef130703da6be091b4a05e3df599ce18df9dc23ed6323d7b1c36f9884b53e,20984aa2b827d70f0bc41bc381b3cc20d65c6ecc417a2c20e728f82809247d04
"10001","10001001","2","empty","50","2","0","0","0.65","5","-622"
"10001","10001002","1","empty","51","1","0","0","0.65","5","-622"
"10001","10001003","1","","1","2","1","0","0","6","0"
"10001","10001004","1","","1","1","1","0","0","6","0"
"10001","10001005","10001","","0","10001","0","","0","31","1"
"10001","10001006","0","","","0","","","","91",""
"10001","10001007","1","","1","2","1","0","0.2","6","1"
"10001","10001008","1","","1","1","1","0","0.2","6","1"
"10001","10001009","0","","-472","2","0.3","0","","2","14"
"10001","10001010","0","","-472","1","0.3","0","","2","14"
"10001","10001011","limitedMission_congratulations","","0","2","","","0","3",""
"10001","10001012","limitedMission_congratulations","","0","1","","","0","3",""
"10001","10001013","1","","","10001","","","","32",""
"10001","10001014","0","","","3","","","","93",""
"10001","10001015","1","","1","2","1","0","0.2","6","0"
"10001","10001016","1","","1","1","1","0","0.2","6","0"
"10001","10001017","0","","","0.2","","","","93",""
