f47cf70e6b3f76fd5395786e247613d64ef5bcd9a43a5e5313ddb091dc352af1,fa5fae3a361bafafa5dd1eb0f809255e7419435b4ee43f65d482c7e71b7fc239,95f2721b990dfef99059c80f0128339b7d1daaf30d29804b04c052ac4fb03194,8d3f94601853119f4c6cecb697aeb328af00af90973eacfbd980c96722f11add,40c2a90b3821033fb1e49f856ac3e05a2ef56243cb182c15731b05626b622c44,02b86cbaac58b5d7afb49c14084c05a4205e844e65a9175e25450c9272acb4de,35431c3d63930581f5dcb51b12ea721f9ff13f2f59e13c528344ec989035ba5d,7069ceaee2bf00344abfa9e0e00963f231b0bb4c310546f3d85f8ae5728c0867,4e132ccd4a8c6c4e5f8299ab834f35ce6d8517531f60d3efcf741e0b4b280c86,ae093d214eb268510b42c601ec519fa5621d3305b5e0b4b7705534564ea1bfb3,a939801e3a77124ac4bc8535af14ab059818e7e1f7eb345da7cbfffabd1219e1,2dff688f5e3d526d405379d3ad355283cf082bc66e60bb0bd5139b78611a9278,29b34b670f7aa09e1f5e89471b25cb5bc589656beff312c5abc4d06e1b5e91b2,1fd50917800cfe3cbb2b202d05478d96023523faaebe385fc281e05f151f0715
"1","-1","0","180","-1","0","-1","1","180","-1","19","-1","1","-1"
"2","-1","0","180","-1","0","-1","1","180","-1","19","-1","1","-1"
"3","-1","0","180","-1","0","-1","1","180","-1","19","-1","1","-1"
"4","-1","0","180","-1","0","-1","0","180","-1","19","-1","1","-1"
"5","-1","0","180","-1","0","-1","1","180","-1","19","-1","1","-1"
"6","-1","0","180","-1","0","-1","1","180","-1","19","-1","1","-1"
"7","-1","0","180","-1","0","-1","1","180","-1","19","-1","1","-1"
"8","-1","0","180","-1","0","-1","1","180","-1","19","-1","1","-1"
"9","-1","0","215","-1","0","-1","1","215","-1","23","-1","1","-1"
"10","-1","0","215","-1","0","-1","1","215","-1","23","-1","1","-1"
"11","-1","0","215","-1","0","-1","0","215","-1","23","-1","1","-1"
"12","-1","0","215","-1","0","-1","1","215","-1","23","-1","1","-1"
"13","-1","0","215","-1","0","-1","1","215","-1","23","-1","1","-1"
"14","-1","0","215","-1","0","-1","1","215","-1","23","-1","1","-1"
"15","-1","0","215","-1","0","-1","1","215","-1","23","-1","1","-1"
"16","-1","0","215","-1","0","-1","1","215","-1","23","-1","1","-1"
"17","-1","0","250","-1","0","-1","1","250","-1","26","-1","1","-1"
"18","-1","0","250","-1","0","-1","0","250","-1","26","-1","1","-1"
"20","-1","0","250","-1","0","-1","1","250","-1","26","-1","1","-1"
"21","-1","0","250","-1","0","-1","1","250","-1","26","-1","1","-1"
"22","-1","0","250","-1","0","-1","1","250","-1","26","-1","1","-1"
"23","-1","0","260","-1","0","-1","0","260","-1","28","-1","1","-1"
"24","-1","0","250","-1","0","-1","1","250","-1","26","-1","1","-1"
"25","-1","0","250","-1","0","-1","1","250","-1","26","-1","1","-1"
"26","-1","0","280","-1","0","-1","0","280","-1","29","-1","1","-1"
"27","-1","0","280","-1","0","-1","1","280","-1","29","-1","1","-1"
"28","-1","0","280","-1","0","-1","1","280","-1","29","-1","1","-1"
"29","-1","0","280","-1","0","-1","1","280","-1","29","-1","1","-1"
"30","-1","0","280","-1","0","-1","1","280","-1","29","-1","1","-1"
"31","-1","0","280","-1","0","-1","1","280","-1","29","-1","1","-1"
"32","-1","0","280","-1","0","-1","1","280","-1","29","-1","1","-1"
