4f430c8bc0b57fea6b131909c50bfe3eb8cec80be9a6c519b135318a99af7cc6,15d52991e1631dcd9125e5f04a3fe9c82424cd326c3eed13bd5007fdb6fa6553,2b2b089833ac61f103ca03677cc183f2a6c2a713cef2d8feaf3ae7590a830371,b47cb53fdaeba404429fdbe56ce7e168e80a760c7d1384b3712d19ddb124087a,0b1363209488cc78b98569ba3521e8eb262e1015fdfc1edea948a818b1e38f2d,6721be61da0432f55d1d8f047d8243db0f46f62090aa6114fa0dcabefe4f6a4e,38e5eeca30e16195f24ef02557dbd2d8f05d22450722435b34ca08593f0ac3b6
"71004025","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","BOSS討伐で解放！\n残り{0}体","107601","1","10004","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]"
"71005025","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","BOSS討伐で解放！\n残り{0}体","108001","2","10005","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]"
"71007031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108201","3","10007","[3C404E]ボスNORMAL討伐で解放！"
"71009031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108501","4","10009","[3C404E]ボスNORMAL討伐で解放！"
"71010031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108901","5","10010","[3C404E]ボスNORMAL討伐で解放！"
"71011031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","109001","6","10011","[3C404E]ボスNORMAL討伐で解放！"
"71013031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","109301","7","10013","[3C404E]ボスNORMAL討伐で解放！"
"71017031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","109801","8","10017","[3C404E]ボスNORMAL討伐で解放！"
"71019031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","110101","9","10019","[3C404E]ボスNORMAL討伐で解放！"
"72004021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","107601","10","20004","[3C404E]ボスNORMAL討伐で解放！"
"71021035","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","110501","11","10021","[3C404E]ボスNORMAL討伐で解放！"
"72005021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108001","12","20005","[3C404E]ボスNORMAL討伐で解放！"
"71025031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","111201","13","10025","[3C404E]ボスNORMAL討伐で解放！"
"71026031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108201","15","10026","[3C404E]ボスNORMAL討伐で解放！"
"71029031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","111601","16","10029","[3C404E]ボスNORMAL討伐で解放！"
"71030031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","108501","17","10030","[3C404E]ボスNORMAL討伐で解放！"
"71031031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","112101","18","10031","[3C404E]ボスNORMAL討伐で解放！"
