c7959de53e8345f239a4910ac81155741972dba9992f6c5eceb74ce83512865f,901ca49cc723ac46e4e255c0685d34a73ae71fe90d4c11687de4c1825c9d9e92,bf5956116eb0ca063abba2680b46cd03e56287027f91a181e0f5ba313595254d,0879b8419fa959790d0a74c28f268a2028f773ae908790c381a265b49a08b077,596030aa460abc26b38729598ebf435aefb0008501dc899e94e211765176088a,07f9bf27f74fec26d28389b1e8cf80d14b2518fec5775643e800ae36514a6851,bcb618cccd42068a6522219214f6da5b8d4cc7c5e3963af13499f746b2cc8a70,804e98d80f07d15b823b29513749f11104962a2213b0ebb59ee9e6aba1f56e18,8932594d9365895349bbb0085fb61d4574c06ebff25fce852d7066e5bfb9ddbd,2567b0bbee13300e1fd705949dbf532e52ef5e17394d5e659832183269562ac8,81402571c24e7b0d91d6371f153a56dc9691078442e4d05d974e7ffe11f3f4b7
"1","1","-496","0","1010001","1.3","1","-157","100","01_uek_cmn_idol_def_N","105831"
"1","1","-355","0","1010002","1.3","1","-178","110","01_uek_cmn_idol_def_N","105931"
"1","1","410","1","1010003","1.3","1","-124","100","01_uek_cmn_idol_def_N","112631"
"1","1","389","1","1010004","1.3","1","-258","110","01_uek_cmn_idol_def_N","112531"
"1","1","-415","0","1010005","1.3","1","-234","120","01_uek_cmn_idol_def_N","106031"
"1","1","262","1","1010006","1.3","1","-235","120","01_uek_cmn_idol_def_N","112431"
"1","105831","01_uek_cmn_pose03","0.2","1010007","0","3","1","0","","01_uek_01_peko"
"1","105931","01_uek_talk_normal","0.2","1010008","0","3","1","0","","01_uek_01_kokkoro"
"1","106031","01_uek_cmn_pose02","0.2","1010009","0","3","1","0","","01_uek_01_kyaru"
"1","112631","01_uek_cmn_pose03","0.2","1010010","0","3","1","0","","01_uek_01_mio"
"1","112531","01_uek_cmn_pose02","0.2","1010011","0","3","1","0","","01_uek_01_rin"
"1","112431","01_uek_cmn_pose01","0.2","1010012","0","3","1","0","","01_uek_01_uduki"
"1","3","","","1010013","","93","","","",""
"1","112631","","","1010014","0.2","3","0","1","","01_uek_cmn_pose03"
"1","112431","","","1010015","0.2","3","0","1","","01_uek_cmn_pose01"
"1","105831","","","1010016","0.2","3","0","1","","01_uek_cmn_pose03"
"1","105931","01_uek_cmn_idol_def_N","0.1","1010017","0.2","3","1","0","","01_uek_talk_normal"
"1","106031","01_uek_cmn_idol_def_N","0.1","1010018","0.2","3","1","0","","01_uek_cmn_pose02"
"1","112531","01_uek_cmn_idol_def_N","0.1","1010019","0.2","3","1","0","","01_uek_cmn_pose02"
"1","105831","","","1010020","","11","","10","","うわぁ～…！\n大きくなりすぎて\nやばいですね☆"
"1","0","","","1010021","","91","","","",""
"1","105931","","","1010022","","11","","10","","うえきちゃんが\nどこまで続くのか\n分からないほどです"
"1","0","","","1010023","","91","","","",""
"1","112631","","","1010024","","11","","10","","こういうのってさ\n上がどうなってるか\n見てみたいよね！"
"1","0","","","1010025","","91","","","",""
"1","112531","","","1010026","","11","","10","","確かにね…それに\nこうなった理由も\n分かるかも"
"1","0","","","1010027","","91","","","",""
"1","106031","","","1010028","","11","","10","","ま、興味はあるし\n付き合ってあげるわ"
"1","0","","","1010029","","91","","","",""
"1","112431","","","1010030","","11","","10","","はい♪みなさんで\n頂上を目指して\n頑張りましょう！"
"1","0","","","1010031","","91","","","",""
"2","1","0","0","1020001","1.3","1","0","100","02_uek_cmn_idol_def_N","104431"
"2","104431","02_uek_02_ilya_loop","","1020002","","3","0","0","","02_uek_02_ilya"
"2","104431","0","","1020003","","11","","10","","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！"
"2","0","","","1020004","","91","0","","",""
"3","1","-140","0","1030001","1.3","1","-10","100","01_uek_cmn_idol_def_N","105831"
"3","1","120","1","1030002","1.3","1","10","100","01_uek_cmn_idol_def_N","105931"
"3","1","0","1","1030003","1.3","1","0","100","01_uek_cmn_idol_def_N","106031"
"3","105831","01_uek_03_peko_loop","","1030004","","3","0","0","","01_uek_03_peko"
"3","106031","01_uek_03_kyaru_loop","","1030005","","3","0","0","","01_uek_03_kyaru"
"3","105831","0","","1030006","","11","","10","","キャルちゃん！\n見てください\nいい景色ですよ☆"
"3","0","","","1030007","","91","","","",""
"3","106031","0","","1030008","","11","","10","","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！"
"3","0","","","1030009","","91","","","",""
