5b29cf839baafb2603a9e93dbc1d6b859fa10dc9258f4afecde442a8d9860ac1,40789d594de32ca72bc860e80b2229c363c8a499e12cd4cc3316216893241b84,5db711b6630594537bf474e047bd903e1ec9af63d2391d8cd1f993027d685a3c,fe74105f26060472b16a59fd58509fd070e1348336e678dc036ce1c93c0991f7,18f1e81bdfe6aa072a765b488330158b449f590191d6ffe6db8d98ad257b84f7,8940d01d8af697001ad9a523cd0821f9c770966cf1d066e47d80774f3f5ef61a
"15","1001","11001001","99001001","1","1"
"8","0","91002","99001001","10","2"
"15","1001","11001002","99001002","1","3"
"8","0","91002","99001002","10","4"
"15","1002","11001003","99001003","1","5"
"8","0","91002","99001003","20","6"
"15","1003","11001004","99001004","1","7"
"8","0","91002","99001004","30","8"
"15","1001","11001005","99001005","1","9"
"8","0","91002","99001005","10","10"
"15","1001","11001006","99001006","1","11"
"8","0","91002","99001006","10","12"
"15","1002","11001007","99001007","1","13"
"8","0","91002","99001007","20","14"
"15","1003","11001008","99001008","1","15"
"8","0","91002","99001008","30","16"
"15","1001","11001009","99001009","1","17"
"8","0","91002","99001009","10","18"
"15","1001","11001010","99001010","1","19"
"8","0","91002","99001010","10","20"
"15","1002","11001011","99001011","1","21"
"8","0","91002","99001011","20","22"
"15","1003","11001012","99001012","1","23"
"8","0","91002","99001012","30","24"
"15","1001","11001017","99001017","1","33"
"8","0","91002","99001017","30","34"
"15","1001","11001018","99001018","1","35"
"8","0","91002","99001018","30","36"
"15","1002","11001019","99001019","1","37"
"8","0","91002","99001019","30","38"
"15","1003","11001020","99001020","1","39"
"8","0","91002","99001020","30","40"
"15","1001","11001021","99001021","0","41"
"15","1002","11001022","99001022","0","42"
"15","1001","11001023","99001023","1","43"
"8","0","91002","99001023","30","44"
"15","1001","11001024","99001024","1","45"
"8","0","91002","99001024","30","46"
"15","1002","11001025","99001025","1","47"
"8","0","91002","99001025","30","48"
"15","1003","11001026","99001026","1","49"
"8","0","91002","99001026","30","50"
"15","1001","11001027","99001027","1","51"
"8","0","91002","99001027","30","52"
"15","1001","11001028","99001028","1","53"
"8","0","91002","99001028","30","54"
"15","1002","11001029","99001029","1","55"
"8","0","91002","99001029","30","56"
"15","1003","11001030","99001030","1","57"
"8","0","91002","99001030","30","58"
"15","1001","11001031","99001031","1","59"
"8","0","91002","99001031","30","60"
"15","1001","11001032","99001032","1","61"
"8","0","91002","99001032","30","62"
"15","1002","11001033","99001033","1","63"
"8","0","91002","99001033","30","64"
"15","1003","11001034","99001034","1","65"
"8","0","91002","99001034","30","66"
"15","1001","11001039","99001039","0","75"
"15","1002","11001040","99001040","0","76"
"15","1003","11001041","99001041","0","77"
"15","1001","11001042","99001042","1","78"
"8","0","91002","99001042","30","79"
"15","1001","11001043","99001043","1","80"
"8","0","91002","99001043","30","81"
"15","1002","11001044","99001044","1","82"
"8","0","91002","99001044","30","83"
"15","1003","11001045","99001045","1","84"
"8","0","91002","99001045","30","85"
"15","1001","11001046","99001046","1","86"
"15","1001","11001050","99001046","1","87"
"8","0","91002","99001046","30","88"
"15","1001","11001047","99001047","1","89"
"8","0","91002","99001047","30","90"
"15","1002","11001048","99001048","1","91"
"8","0","91002","99001048","30","92"
"15","1003","11001049","99001049","1","93"
"8","0","91002","99001049","30","94"
"15","1001","11001051","99001051","1","95"
"8","0","91002","99001051","30","96"
"15","1001","11001052","99001052","1","97"
"8","0","91002","99001052","30","98"
"15","1002","11001053","99001053","1","99"
"8","0","91002","99001053","30","100"
"15","1003","11001054","99001054","1","101"
"8","0","91002","99001054","30","102"
"15","1001","11001055","99001055","1","103"
"8","0","91002","99001055","30","104"
"15","1001","11001056","99001056","1","105"
"8","0","91002","99001056","30","106"
"15","1002","11001057","99001057","1","107"
"8","0","91002","99001057","30","108"
"15","1003","11001058","99001058","1","109"
"8","0","91002","99001058","30","110"
"15","1001","11001059","99001059","1","111"
"8","0","91002","99001059","30","112"
"15","1001","11001060","99001060","1","113"
"8","0","91002","99001060","30","114"
"15","1002","11001061","99001061","1","115"
"8","0","91002","99001061","30","116"
"15","1003","11001062","99001062","1","117"
"8","0","91002","99001062","30","118"
"15","1001","11001063","99001063","1","119"
"8","0","91002","99001063","30","120"
"15","1001","11001064","99001064","1","121"
"8","0","91002","99001064","30","122"
"15","1002","11001065","99001065","1","123"
"8","0","91002","99001065","30","124"
