71a0c15a3ea3c25b6b00ffb016e618a6a544c681210654cd980b671acaeeb305,6b336aca326b5fb36b08441eac4d6e249363fa487c8865375a730fc773e0b65a,3a0d8702b9b2771798463609da130d7027e962f20624f0888b2ee38238b8003b,cf8afcc46f9440cf1828d627d1d04ad9350881ffbdbc8370c6159779ec79c78c,d159e3b66cfda74b8dce2efacd8aed21a1a7d20d3fe7189b87ce7dc7563d976b,6f510a43482f6f8704f757acdc43a757d764250574273664211109069e150d3c
"1","1","500","10","10","2"
"1","1","500","10","20","3"
"1","1","500","10","30","4"
"1","1","500","10","40","5"
"1","1","500","10","50","6"
"1","1","500","10","60","7"
"1","1","500","10","70","8"
"1","1","500","10","80","9"
"1","1","500","10","90","10"
"1","1","500","15","105","11"
"1","1","500","15","120","12"
"1","1","500","15","135","13"
"1","1","500","15","150","14"
"1","1","500","15","165","15"
"1","1","500","15","180","16"
"1","1","500","15","195","17"
"1","1","500","15","210","18"
"1","1","500","15","225","19"
"1","1","500","15","240","20"
"1","1","500","25","265","21"
"1","1","500","25","290","22"
"1","1","500","25","315","23"
"1","1","500","25","340","24"
"1","1","500","25","365","25"
"1","1","500","25","390","26"
"1","1","500","25","415","27"
"1","1","500","25","440","28"
"1","1","500","25","465","29"
"1","1","500","25","490","30"
"2","1","500","40","530","31"
"2","1","500","40","570","32"
"2","1","500","40","610","33"
"2","1","500","40","650","34"
"2","1","500","40","690","35"
"2","1","500","40","730","36"
"2","1","500","40","770","37"
"2","1","500","40","810","38"
"2","1","500","40","850","39"
"2","1","500","40","890","40"
"2","1","500","50","940","41"
"2","1","500","50","990","42"
"2","1","500","50","1040","43"
"2","1","500","50","1090","44"
"2","1","500","50","1140","45"
"2","1","500","50","1190","46"
"2","1","500","50","1240","47"
"2","1","500","50","1290","48"
"2","1","500","50","1340","49"
"2","1","500","50","1390","50"
"3","1","500","60","1450","51"
"3","1","500","60","1510","52"
"3","1","500","60","1570","53"
"3","1","500","60","1630","54"
"3","1","500","60","1690","55"
"3","1","500","60","1750","56"
"3","1","500","60","1810","57"
"3","1","500","60","1870","58"
"3","1","500","60","1930","59"
"3","1","500","60","1990","60"
"3","1","600","75","2065","61"
"3","1","600","75","2140","62"
"3","1","600","75","2215","63"
"3","1","600","75","2290","64"
"3","1","600","75","2365","65"
"3","1","600","75","2440","66"
"3","1","600","75","2515","67"
"3","1","600","75","2590","68"
"3","1","600","75","2665","69"
"3","1","600","75","2740","70"
"4","1","600","100","2840","71"
"4","1","600","100","2940","72"
