e3a31d20e31b17948f47addde8713524af45d0356b098f0d05332f6738cb8904,0d45cdc1070aac699b255ac7d4b71853a89814221a4a7e0a413a9849f5689357,1ac4ad831fe719fc4d0bbecbda4046fdb1541c85c2e1043574f0806be7a8531d,ea528699b075958a850c47ae47a43de17fcb40f9bf5c6cdfa52aaca45fa8274d,ad5731a402bc81cbfbffedd3f85530758afd85c4c0f5bb7454a97074af2cf5b0,f494b50f10491fc4da6c6333cff0458aee65075b62d7463881f90c8e8d4f2800,5c0118f06246f2267174bb69529a016a2794f55612a9ddd41a9c1d04f87b209c,9dc0f4fe2d21518b98ac2600059ee670b5ceee0db69d4b7ed4be5f99229d5e9e,fd17fa7dda436adf1054d32fb740ddf3afb47cfb7d04f2136fb0209faff55b11,7c16f1d0411b88cc7028c77947f398e3ec5dbfeef46d52da563658ec05dd8ec2
"2","vo_minigame_1013_icon_2_002_001","vo_minigame_1013_icon_1_002_001","調子が上がって\nきたなっ","1","2","1000","訓練はまだ\nここからですわ","2","3000"
"2","vo_minigame_1013_icon_2_003_001","vo_minigame_1013_icon_1_003_001","ほらほら、\nまだいけるだろ？","2","2","5000","クスクス、悪くない\n流れですわね","2","3000"
"2","vo_minigame_1013_icon_2_004_001","vo_minigame_1013_icon_1_004_001","へへっ、おまえら\nやるじゃねえか！","3","3","10000","すばらしい\n記録ですわ","2","3000"
"3","vo_minigame_1013_icon_2_005_001","vo_minigame_1013_icon_1_005_001","あたしたちはまだ\n止まらねえぜ！","4","3","10000","乗りに乗って\nいますわね","2","3000"
"3","vo_minigame_1013_icon_2_005_002","vo_minigame_1013_icon_1_005_002","見てろよ！\nマコト班の快進撃だ！","5","3","10000","まだまだ行きます\nついてきなさい","2","3000"
"3","vo_minigame_1013_icon_2_005_003","vo_minigame_1013_icon_1_005_003","うおぉぉっ！\n絶好調だぜ！","6","3","10000","エリコ班の\n本領発揮ですわ！","2","3000"
"4","vo_minigame_1013_icon_2_006_001","vo_minigame_1013_icon_1_006_001","どこまで行けるか\n楽しみだなっ！","7","3","0","ここからは\n前人未到の領域です！","2","3000"
"5","vo_minigame_1013_icon_2_007_001","vo_minigame_1013_icon_1_007_001","まだ諦めんなよっ","8","4","1","厄介でしたわ…","3","1000"
"5","vo_minigame_1013_icon_2_007_002","vo_minigame_1013_icon_1_007_002","冷やっとしたぜ…！","9","4","1","油断大敵です","3","1000"
"5","vo_minigame_1013_icon_2_007_003","vo_minigame_1013_icon_1_007_003","弱音を吐くなっ","10","4","1","忌々しいっ…","3","1000"
"6","vo_minigame_1013_icon_2_008_001","vo_minigame_1013_icon_1_008_001","マコト班集合！","11","3","99","大所帯ですわね","4","1500"
"6","vo_minigame_1013_icon_2_008_002","vo_minigame_1013_icon_1_008_002","連携してくぞ！","12","3","99","エリコ班へようこそ","4","1500"
"8","vo_minigame_1013_icon_2_020_001","vo_minigame_1013_icon_1_020_001","みんなに力を！","13","6","0","ナナカちゃんに\nお任せあれ","1","3000"
"9","vo_minigame_1013_icon_2_022_001","vo_minigame_1013_icon_1_022_001","任せてくれたまえ","14","7","0","はっはっは！\n任せろ！","1","3000"
"10","vo_minigame_1013_icon_2_023_001","vo_minigame_1013_icon_1_023_001","ほな、いきまひょか","15","8","0","どんどんいくわよ","1","3000"
