5031acaad414316ca351d8014364218933b9083c5933b1d71fc741fe5a5960db,15aefc4acb9d47b3b2a649c36b3aefca8bf0dcf49899fd04ebb87bcab73b7fdd,5e58acd4ce6a1ff0fc815972274e7470ee755c8a4f6421976e81d7036ae4b011,c077dc92206eae1f4b6abf237a5d1acbe183387822a62d8d0d85212c0e48acde,d12091af20a1d34007ffc402490de44233a614b1cabde79579220012e006ae72,7a6723edd2135eae2a23174d178db106b4aab62c45253097b04b10e8fedae907,e62a3a093f42e95fc62e57c7de8caad75f5160665e6a27841e253787a0ef1847,c3870fb093c89012589402a88f50e85fcfe912d0cce43b4dcfca986d47ea3bc6,b294ea172b2b92347f610e891169c9f72d9fe12d9ec7bd32fad88bc1d73988d2,2261739e8170add5ca8da267f8b16109f0819b471df1496c2dfba22ea536bec2,dc4c7f647a05abf98f4043d593f9f14bc7a2b702a1c399573bb6f20c20b5b0b5,ca98fabd2d9cfbaae04904836a3c59de23cbd0c7fe0caeff0a37a36943bd9df6,5d7046e7e4f477a57e203da3e86069ae23dbd2dcb3f69ee64939e8f11ef33d4d,e2105e8ed3a8019c6d9fb2f52ee36fb658b6e5481a1b1be39cfae0c6cd94dd6d,da5880fe49bb077bbb74dee4b39bd23d32fb3900f64421207534861bd0fc8a22,9a258c38e3753b36a656ab8d7b3cdb658bc8f23bb0de710d268c4bfae0fb0da5,2bd5f1cca1b5eaca57ecd3e2f0780a6d231a07343d63fec44e1a713386caf88b,f38566e3e78f1b491b1f017d5c07644efc5bd9b17d0ccc0cf1bb6dc187667ce9,e2cdc46b819844e9ca81215c925a19ccb3e1835c6bd9938d5f94188f44aa6a66,64a92632325e8813385043b67c3b980d356a136caf729a4d8a711eca583b229c
"1","0","5","2","90006","1","0","0","0","2","0","20003","3100104","0","0","20","0","1001201","0","1"
"3","0","4","2","90006","2","0","0","0","2","0","20003","3100103","0","0","15","0","1001201","0","2"
"10","0","3","2","90006","4","0","0","0","2","0","20003","3100102","0","0","10","0","1001201","0","3"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","5","0","1001201","0","4"
"1","0","5","2","90006","1","0","0","0","2","0","20003","3100104","0","0","20","0","1001202","0","5"
"3","0","4","2","90006","2","0","0","0","2","0","20003","3100103","0","0","15","0","1001202","0","6"
"10","0","3","2","90006","4","0","0","0","2","0","20003","3100102","0","0","10","0","1001202","0","7"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","5","0","1001202","0","8"
"1","0","5","2","90006","1","0","0","0","2","0","20003","3100104","0","0","20","0","1001203","0","9"
"3","0","4","2","90006","2","0","0","0","2","0","20003","3100103","0","0","15","0","1001203","0","10"
"10","0","3","2","90006","4","0","0","0","2","0","20003","3100102","0","0","10","0","1001203","0","11"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","5","0","1001203","0","12"
"1","0","5","2","90006","1","0","0","0","2","0","20003","3100104","0","0","20","0","1001204","0","13"
"3","0","4","2","90006","2","0","0","0","2","0","20003","3100103","0","0","15","0","1001204","0","14"
"10","0","3","2","90006","4","0","0","0","2","0","20003","3100102","0","0","10","0","1001204","0","15"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","5","0","1001204","0","16"
"1","0","10","2","90006","1","0","0","0","2","0","20003","3100104","0","0","40","0","1001205","0","17"
"3","0","8","2","90006","2","0","0","0","2","0","20003","3100103","0","0","30","0","1001205","0","18"
"10","0","6","2","90006","4","0","0","0","2","0","20003","3100102","0","0","20","0","1001205","0","19"
"30","0","2","2","90006","11","0","0","0","2","0","20003","3100101","0","0","10","0","1001205","0","20"
"1","0","4","2","90006","1","0","0","0","2","0","20003","3100104","0","0","5","0","1001206","0","21"
"3","0","3","2","90006","2","0","0","0","2","0","20003","3100103","0","0","4","0","1001206","0","22"
"10","0","2","2","90006","4","0","0","0","2","0","20003","3100102","0","0","3","0","1001206","0","23"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","2","0","1001206","0","24"
"1","0","4","2","90006","1","0","0","0","2","0","20003","3100104","0","0","5","0","1001207","0","25"
"3","0","3","2","90006","2","0","0","0","2","0","20003","3100103","0","0","4","0","1001207","0","26"
"10","0","2","2","90006","4","0","0","0","2","0","20003","3100102","0","0","3","0","1001207","0","27"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","2","0","1001207","0","28"
"1","0","4","2","90006","1","0","0","0","2","0","20003","3100104","0","0","5","0","1001208","0","29"
"3","0","3","2","90006","2","0","0","0","2","0","20003","3100103","0","0","4","0","1001208","0","30"
"10","0","2","2","90006","4","0","0","0","2","0","20003","3100102","0","0","3","0","1001208","0","31"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","2","0","1001208","0","32"
"1","0","4","2","90006","1","0","0","0","2","0","20003","3100104","0","0","5","0","1001209","0","33"
"3","0","3","2","90006","2","0","0","0","2","0","20003","3100103","0","0","4","0","1001209","0","34"
"10","0","2","2","90006","4","0","0","0","2","0","20003","3100102","0","0","3","0","1001209","0","35"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","2","0","1001209","0","36"
"1","0","4","2","90006","1","0","0","0","2","0","20003","3100104","0","0","5","0","1001210","0","37"
"3","0","3","2","90006","2","0","0","0","2","0","20003","3100103","0","0","4","0","1001210","0","38"
"10","0","2","2","90006","4","0","0","0","2","0","20003","3100102","0","0","3","0","1001210","0","39"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","2","0","1001210","0","40"
"1","0","5","2","90006","1","0","0","0","2","0","20003","3100104","0","0","20","0","1002201","0","41"
"3","0","4","2","90006","2","0","0","0","2","0","20003","3100103","0","0","15","0","1002201","0","42"
"10","0","3","2","90006","4","0","0","0","2","0","20003","3100102","0","0","10","0","1002201","0","43"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","5","0","1002201","0","44"
"1","0","5","2","90006","1","0","0","0","2","0","20003","3100104","0","0","20","0","1002202","0","45"
"3","0","4","2","90006","2","0","0","0","2","0","20003","3100103","0","0","15","0","1002202","0","46"
"10","0","3","2","90006","4","0","0","0","2","0","20003","3100102","0","0","10","0","1002202","0","47"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","5","0","1002202","0","48"
"1","0","5","2","90006","1","0","0","0","2","0","20003","3100104","0","0","20","0","1002203","0","49"
"3","0","4","2","90006","2","0","0","0","2","0","20003","3100103","0","0","15","0","1002203","0","50"
"10","0","3","2","90006","4","0","0","0","2","0","20003","3100102","0","0","10","0","1002203","0","51"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","5","0","1002203","0","52"
"1","0","5","2","90006","1","0","0","0","2","0","20003","3100104","0","0","20","0","1002204","0","53"
"3","0","4","2","90006","2","0","0","0","2","0","20003","3100103","0","0","15","0","1002204","0","54"
"10","0","3","2","90006","4","0","0","0","2","0","20003","3100102","0","0","10","0","1002204","0","55"
"30","0","1","2","90006","11","0","0","0","2","0","20003","3100101","0","0","5","0","1002204","0","56"
"1","0","10","2","90006","1","0","0","0","2","0","20003","3100104","0","0","40","0","1002205","0","57"
"3","0","8","2","90006","2","0","0","0","2","0","20003","3100103","0","0","30","0","1002205","0","58"
"10","0","6","2","90006","4","0","0","0","2","0","20003","3100102","0","0","20","0","1002205","0","59"
"30","0","2","2","90006","11","0","0","0","2","0","20003","3100101","0","0","10","0","1002205","0","60"
"1","0","4","2","90006","1","0","0","0","2","0","20003","3100104","0","0","10","0","1002206","0","61"
"3","0","3","2","90006","2","0","0","0","2","0","20003","3100103","0","0","8","0","1002206","0","62"
