c734a8a6bbdcc67cd09ada3a36b246ed08441bf5070c56b15ed11144bad0de95,407380308a798a9579de019c6f2b21745e0863846bb52461cde6e1df7562b9df,53725820b9f24841efebcd4e87db1cd43cd37bcbdf5d9098987f6b86fc5714fb,33525db1cb12b68c04eefd7bef3ce4e80b0a9b63b2b8104fdd2cd12e31fcfb1f,0702c8c6c635d69961cb3c7af007df131ee728cb5c0056f4a082b26ab1b39c31,7bf2c327f9bf1c8000a505b2145541dfe7b08f1a4055923ad7650aaac2191c2e,faf19c7c431205a3e2f75cfefdd583c66fe30c3ca5df2dca71d83cf864e75de8,481c5ab9195765fa8f028533f1022fd52eebecec91112a187f006860a610f396
"0","111","110001","110001","1","ガーゴイル（EASY）をクリアしよう","70000","90110001"
"0","112","110001","110002","1","ガーゴイル（NORMAL）をクリアしよう","70000","90110002"
"0","113","110001","110003","1","ガーゴイル（HARD）をクリアしよう","70000","90110003"
"0","114","110001","110004","1","ガーゴイル（VERY HARD）をクリアしよう","70000","90110004"
"0","115","110001","110005","1","ガーゴイル（EXTREME）をクリアしよう","70000","90110005"
"0","121","110001","120001","1","マグスガーゴイル（EASY）をクリアしよう","70000","90120001"
"0","122","110001","120002","1","マグスガーゴイル（NORMAL）をクリアしよう","70000","90120002"
"0","123","110001","120003","1","マグスガーゴイル（HARD）をクリアしよう","70000","90120003"
"0","124","110001","120004","1","マグスガーゴイル（VERY HARD）をクリアしよう","70000","90120004"
"0","125","110001","120005","1","マグスガーゴイル（EXTREME）をクリアしよう","70000","90120005"
"0","131","110001","130001","1","ガードガーゴイル（EASY）をクリアしよう","70000","90130001"
"0","132","110001","130002","1","ガードガーゴイル（NORMAL）をクリアしよう","70000","90130002"
"0","133","110001","130003","1","ガードガーゴイル（HARD）をクリアしよう","70000","90130003"
"0","134","110001","130004","1","ガードガーゴイル（VERY HARD）をクリアしよう","70000","90130004"
"0","135","110001","130005","1","ガードガーゴイル（EXTREME）をクリアしよう","70000","90130005"
"0","141","110001","140001","1","ガーゴイル・バースト（EASY）をクリアしよう","70000","90140001"
"0","142","110001","140002","1","ガーゴイル・バースト（NORMAL）をクリアしよう","70000","90140002"
"0","143","110001","140003","1","ガーゴイル・バースト（HARD）をクリアしよう","70000","90140003"
"0","144","110001","140004","1","ガーゴイル・バースト（VERY HARD）をクリアしよう","70000","90140004"
"0","145","110001","140005","1","ガーゴイル・バースト（EXTREME）をクリアしよう","70000","90140005"
"0","151","110001","150001","1","ガーゴイル・マギ（EASY）をクリアしよう","70000","90150001"
"0","152","110001","150002","1","ガーゴイル・マギ（NORMAL）をクリアしよう","70000","90150002"
"0","153","110001","150003","1","ガーゴイル・マギ（HARD）をクリアしよう","70000","90150003"
"0","154","110001","150004","1","ガーゴイル・マギ（VERY HARD）をクリアしよう","70000","90150004"
"0","155","110001","150005","1","ガーゴイル・マギ（EXTREME）をクリアしよう","70000","90150005"
