b78b7cc3fcc202dbbac06511992111e33659e9589fa1b6b2a98fa4a93f36fce8,7e31ff15fd373cf87455c40d33f324512a280c3632f874f7832d8c6bcd90ff9b,76e5b825ebc7833b46d0ab7c2006ae0440b947059cc20494a7fcc518c526e511,1ad7d0e77a0ddf1f1691c74d3491ef70d21b312ac71dbf2929aa8b62cbf56c68,44c3b126260ea6e4ee275d49548c0f8a857e0be5b28f242f03f1ae88ee2e2986,670c3175cbe35708dd07589c82d52b175db00d1579d2eca2053bc139775b0ced,3332295f1b15ebf175cad4477978235a3e6f094707ca706c3f89098f1a9a2357
"0","9999999","50","0","50","1","1"
"0","9999999","80","0","20","2","2"
"0","2000","30","0","70","3","3"
"0","5000","40","30","30","3","4"
"20","10000","40","40","0","3","5"
"30","15000","30","40","0","3","6"
"35","20000","25","40","0","3","7"
"40","25000","20","40","0","3","8"
"45","30000","15","40","0","3","9"
"50","35000","10","40","0","3","10"
"55","40000","10","35","0","3","11"
"60","45000","5","35","0","3","12"
"65","50000","5","30","0","3","13"
"70","55000","0","30","0","3","14"
"75","60000","0","25","0","3","15"
"80","65000","0","20","0","3","16"
"85","70000","0","15","0","3","17"
"90","75000","0","10","0","3","18"
"95","80000","0","5","0","3","19"
"100","9999999","0","0","0","3","20"
