27268dc69c6efb85d6acae3537b971d7200846127bfe1b68da0699ec4cb8f6af,cb153e2d587daf25756910c571519b00e1b2be905b5b6b54078d1c0020086ba7,501e7b4272691b7d6de76634a0ce6c350d71e76fdfc2c01d5be1bd7d2ae34be0,6b06829b5c06ace8e2e49b8a768f7ca60a70cc76c4c45ba3913d68860878601c,bae7a6aee3228b43514218b5330c4f23862329838ab025c703f86d28cb28d9c9
"4101101","11001001","750000","18","1"
"4101201","11001001","120000","18","2"
"4101202","11001001","120000","18","3"
"4101203","11001001","120000","18","4"
"4101251","11001001","120000","18","5"
"4101301","11001001","66374","18","6"
"4101302","11001001","66374","18","7"
"4101303","11001001","66374","18","8"
"4101351","11001001","66374","18","9"
"4101401","11001001","4500","18","10"
"4104101","11001001","750000","18","11"
"4104201","11001001","120000","18","12"
"4104202","11001001","120000","18","13"
"4104203","11001001","120000","18","14"
"4104251","11001001","120000","18","15"
"4104301","11001001","66374","18","16"
"4104302","11001001","66374","18","17"
"4104303","11001001","66374","18","18"
"4104351","11001001","66374","18","19"
"4104401","11001001","4500","18","20"
"4201101","11001001","333334","18","21"
"4201201","11001001","80000","18","22"
"4201202","11001001","80000","18","23"
"4201203","11001001","80000","18","24"
"4201301","11001001","44250","18","25"
"4201302","11001001","44250","18","26"
"4201303","11001001","44250","18","27"
"4201401","11001001","2000","18","28"
"4202101","11001001","333334","18","29"
"4202201","11001001","80000","18","30"
"4202202","11001001","80000","18","31"
"4202203","11001001","80000","18","32"
"4202301","11001001","44250","18","33"
"4202302","11001001","44250","18","34"
"4202303","11001001","44250","18","35"
"4202401","11001001","2000","18","36"
"4301101","11001001","333332","18","37"
"4301201","11001001","80000","18","38"
"4301202","11001001","80000","18","39"
"4301301","11001001","44250","18","40"
"4301302","11001001","44250","18","41"
"4301401","11001001","2000","18","42"
"99006","11001001","0","2","43"
"94002","11001001","0","12","44"
"90008","11001001","0","2","45"
"26201","11001001","0","2","46"
"23002","11001001","0","2","47"
"4106101","11001002","750000","18","48"
"4106201","11001002","120000","18","49"
"4106202","11001002","120000","18","50"
"4106203","11001002","120000","18","51"
"4106251","11001002","120000","18","52"
"4106301","11001002","66374","18","53"
"4106302","11001002","66374","18","54"
"4106303","11001002","66374","18","55"
"4106351","11001002","66374","18","56"
"4106401","11001002","4500","18","57"
"4110101","11001002","750000","18","58"
"4110201","11001002","120000","18","59"
"4110202","11001002","120000","18","60"
"4110203","11001002","120000","18","61"
"4110251","11001002","120000","18","62"
"4110301","11001002","66374","18","63"
"4110302","11001002","66374","18","64"
"4110303","11001002","66374","18","65"
"4110351","11001002","66374","18","66"
"4110401","11001002","4500","18","67"
"4203101","11001002","333334","18","68"
"4203201","11001002","80000","18","69"
"4203202","11001002","80000","18","70"
"4203203","11001002","80000","18","71"
"4203301","11001002","44250","18","72"
"4203302","11001002","44250","18","73"
"4203303","11001002","44250","18","74"
"4203401","11001002","2000","18","75"
"4204101","11001002","333334","18","76"
"4204201","11001002","80000","18","77"
"4204202","11001002","80000","18","78"
"4204203","11001002","80000","18","79"
"4204301","11001002","44250","18","80"
"4204302","11001002","44250","18","81"
"4204303","11001002","44250","18","82"
"4204401","11001002","2000","18","83"
"4305101","11001002","333332","18","84"
"4305201","11001002","80000","18","85"
"4305202","11001002","80000","18","86"
"4305301","11001002","44250","18","87"
"4305302","11001002","44250","18","88"
"4305401","11001002","2000","18","89"
"99006","11001002","0","2","90"
"94002","11001002","0","12","91"
"90008","11001002","0","2","92"
"26201","11001002","0","2","93"
"23002","11001002","0","2","94"
"4102101","11001003","750000","18","95"
"4102201","11001003","120000","18","96"
"4102202","11001003","120000","18","97"
"4102203","11001003","120000","18","98"
"4102251","11001003","120000","18","99"
"4102301","11001003","66374","18","100"
"4102302","11001003","66374","18","101"
"4102303","11001003","66374","18","102"
"4102351","11001003","66374","18","103"
"4102401","11001003","4500","18","104"
"4105101","11001003","750000","18","105"
"4105201","11001003","120000","18","106"
"4105202","11001003","120000","18","107"
"4105203","11001003","120000","18","108"
"4105251","11001003","120000","18","109"
"4105301","11001003","66374","18","110"
"4105302","11001003","66374","18","111"
"4105303","11001003","66374","18","112"
"4105351","11001003","66374","18","113"
"4105401","11001003","4500","18","114"
"4201101","11001003","333334","18","115"
"4201201","11001003","80000","18","116"
"4201202","11001003","80000","18","117"
"4201203","11001003","80000","18","118"
"4201301","11001003","44250","18","119"
"4201302","11001003","44250","18","120"
"4201303","11001003","44250","18","121"
"4201401","11001003","2000","18","122"
"4202101","11001003","333334","18","123"
"4202201","11001003","80000","18","124"
"4202202","11001003","80000","18","125"
"4202203","11001003","80000","18","126"
"4202301","11001003","44250","18","127"
"4202302","11001003","44250","18","128"
"4202303","11001003","44250","18","129"
"4202401","11001003","2000","18","130"
"4302101","11001003","333332","18","131"
"4302201","11001003","80000","18","132"
"4302202","11001003","80000","18","133"
"4302301","11001003","44250","18","134"
