20721dc10df02449c0260c50b761e095045c94a7272bf7d8d62668b3d3f594ab,f4b9f25b566ba684f2218fcaaa836e2d55be29d1020071c6c9b3f29cbf6bb401,2a9d628bb2ecf21e3c1fcf8ea56c69985093c94c8c8aaa7a83cc0fa28fce1d4d,156259b323189e6986eecd9105926683a2358143a023dbebb81e8bbaa9b0970d,195e4479c028ec470a3b005d6544326554e2c741d8d502ac9cb2dd4eebc524fb,d27a8b4ab8982821f834e1ac81f452e28ab2b855aa8e95c166b629bd39c11e5e,5995b8029c85b35b76340f251514db57ca0878eee457a34feee142f5fbde2287,6bcaad19a83a25daf6a05c29285d344ef81da65a07125b4442a1eb313a652704,0c5ecd51f30f3c66476da05da6d8027b3402e5421ec5fe9e1368fe9fe0a9e80a,b725440e4a91bdf7aaac682e6ae87c0f69b1bd6a67f40bdfc172b96056f6c810,177370a3d4bd846ad77e40416d767d21102475ec01c48bca2982ee6d2319e068,02b31b948874fbd2d3ac114dfd29333d600ebbe3f5f178f25962fcb704ce5cbb,231ee6332fa4dbc8c2f1134681dd38d7781e71f8dabf75f67295584d6f65536b,aab2b1c4e3a984f186d11addecc66da17a751524ad7a9c0ead998c4d239f81c5,97a2f58e2e36950e797cf3e6fa1a8ec91a1945e72bd66683b55e169eaa945358
"111","2022/02/15 5:00:00","0","113","540","11","0","100","0","112","0","2816","0","1","1"
"211","2022/02/16 5:00:00","0","213","493","21","0","100","0","212","0","2816","0","2","1"
"311","2022/02/17 5:00:00","0","313","458","31","0","100","0","312","0","2816","0","3","1"
"411","2022/02/18 5:00:00","0","413","420","41","0","100","0","412","0","2816","0","4","1"
"511","2022/02/19 5:00:00","0","513","380","51","0","100","0","512","0","2816","0","5","1"
"611","2022/02/20 5:00:00","0","613","340","61","0","100","0","612","0","2816","0","6","1"
"711","2022/02/21 5:00:00","1","713","430","71","0","100","0","712","0","2816","0","7","1"
"811","2022/02/22 5:00:00","1","813","402","81","0","100","0","812","0","2816","0","8","1"
"911","2022/02/23 5:00:00","1","913","302","91","0","100","0","912","0","2816","0","9","1"
"1011","2022/02/24 5:00:00","1","1013","264","101","0","100","0","1012","0","2816","0","10","1"
"1111","2022/02/25 5:00:00","1","1113","225","111","0","100","0","1112","0","2816","0","11","1"
"1211","2022/02/26 5:00:00","1","1213","328","121","0","100","0","1212","0","2816","0","12","1"
"1311","2022/02/27 5:00:00","1","1313","280","131","0","100","0","1312","0","2816","0","13","1"
"1411","2022/02/28 5:00:00","1","1413","269","141","0","100","0","1412","0","2816","0","14","1"
"1511","2022/03/01 5:00:00","1","1513","180","151","0","100","0","1512","0","2816","0","15","1"
"1611","2022/03/02 5:00:00","1","1613","138","161","0","100","0","1612","0","2816","0","16","1"
"1711","2022/03/03 5:00:00","1","1713","97","171","0","100","0","1712","0","2816","0","17","1"
"1811","2022/03/04 5:00:00","1","1813","56","181","0","100","0","1812","0","2816","0","18","1"
"1911","2022/03/05 5:00:00","1","1913","150","191","0","100","0","1912","0","2816","0","19","1"
"2011","2022/03/06 5:00:00","1","2013","100","201","0","100","0","2012","0","2816","0","20","1"
"2111","2022/03/07 5:00:00","1","2113","15","211","0","100","0","2112","0","2816","0","21","1"
"2211","2022/03/08 5:00:00","1","2213","-25","221","0","100","0","2212","0","2816","0","22","1"
"2311","2022/03/09 5:00:00","1","2313","-66","231","0","100","0","2312","0","2816","0","23","1"
