807aaa9e26482df1c5f84b6bee84b1ca0269d790e7fc7311a3d2f486ab2798a6,39946ddc8180a753a0a9df07fed6d1fc918dfb4ff4c0f898d2138f97df0f7bf4,133f8c561b2d1adc0bcbe37fd2fe498669513e7a814a2866c760b41155489468,eb6be558cb2d9f0ee6e80ff4f62bb97e2fdfe9f0af0dae349c85ffeaf1ccfd1a,ca84e0a8f9030edce9611f3404d9cc4e592eb3c06d257d370dbe4ba99b18cdff,d9ad09831d981cd3c3207b154a364ba6f9e83a1e54d9b5dc5778d33ff034c2bc,4345b40cfbb640af2eb64ceb6d32456c726e392ebd108797679b679b8dc38c3a,ac543d50f291d0c6a2e7f5d1dfc4fbf093179ab13b7f699ccac3c702f6d000b9,2041721b3ec6bc4549bcfc783a734980a1f0566b68350b9db989a875d2ca52c6,1d3f0e125bb8f513b531f373f1e4a32e729153a15f4ebdb2bd91538210a31e3d
"0","1","1","vo_10011600","vo_10011600_0101","2","0","0","1010001",""
"0","1","2","0","0","1","8","0","1010002","　明日から"
"1","1","3","0","0","4","0","1.625","1010003",""
"0","1","4","0","0","1","10","0","1010004","聖テレサ女学院に通うことになっちゃった！"
"1","1","5","0","0","4","0","4","1010005",""
"0","1","6","vo_10011600","vo_10011600_0102","2","0","0","1010006",""
"0","1","7","0","0","1","8","0","1010007","　なんで、"
"1","1","8","0","0","4","0","1.375","1010008",""
"0","1","9","0","0","1","9","0","1010009","どうしてこんなことになっちゃったんだろう。\n"
"1","1","10","0","0","4","0","3.33333333333333","1010010",""
"0","1","11","vo_10011600","vo_10011600_0103","2","0","0","1010011",""
"0","1","12","0","0","1","8","0","1010012","ミサト先生は"
"1","1","13","0","0","4","0","1.75","1010013",""
"0","1","14","0","0","1","10","0","1010014","私ならきっとやれると言ってくれたけど……"
"1","1","15","0","0","4","0","3","1010015",""
"0","1","16","0","0","1","8","0","1010016","絶対ムリだー！\n"
"1","1","17","0","0","4","0","3.875","1010017",""
"0","1","18","vo_10011600","vo_10011600_0104","2","0","0","1010018",""
"0","1","19","0","0","1","8","0","1010019","でも。"
"1","1","20","0","0","4","0","2.375","1010020",""
"0","1","21","0","0","1","8","0","1010021","でも……"
"1","1","22","0","0","4","0","2.5","1010022",""
"0","1","23","vo_10011600","vo_10011600_0105","2","0","0","1010023",""
"0","1","24","0","0","1","8","0","1010024","でも、"
"1","1","25","0","0","4","0","1.375","1010025",""
"0","1","26","0","0","1","8","0","1010026","もしも、"
"1","1","27","0","0","4","0","1.5","1010027",""
"0","1","28","0","0","1","8","0","1010028","私が聖テレサ女学院で頑張ることが出来たら。\n\n"
"1","1","29","0","0","4","0","4.875","1010029",""
"0","1","30","vo_10011600","vo_10011600_0106","2","0","0","1010030",""
"0","1","31","0","0","1","6","0","1010031","……友達、"
"1","1","32","0","0","4","0","1.58333333333333","1010032",""
"0","1","33","0","0","1","8","0","1010033","できるかな？"
"1","1","34","0","0","4","0","1.75","1010034",""
"0","2","1","vo_10011600","vo_10011600_0201","2","0","0","1020001",""
"0","2","2","0","0","1","8","0","1020002","　ごきげんようという挨拶で"
"1","2","3","0","0","4","0","2.375","1020003",""
"0","2","4","0","0","1","8","0","1020004","私のぼっち心は最初から爆発寸前。\n"
"1","2","5","0","0","4","0","4","1020005",""
"0","2","6","vo_10011600","vo_10011600_0202","2","0","0","1020006",""
"0","2","7","0","0","1","8","0","1020007","ところが、"
"1","2","8","0","0","4","0","1.125","1020008",""
"0","2","9","0","0","1","8","0","1020009","なんとそこにBB団の団長さんが登場！"
"1","2","10","0","0","4","0","3.75","1020010",""
"0","2","11","vo_10011600","vo_10011600_0203","2","0","0","1020011",""
"0","2","12","0","0","1","8","0","1020012","　BB団の絆は"
"1","2","13","0","0","4","0","1.875","1020013",""
"0","2","14","0","0","1","8","0","1020014","どんな場所だろうと離れることはないんですね！\n"
"1","2","15","0","0","4","0","3.75","1020015",""
"0","2","16","vo_10011600","vo_10011600_0204","2","0","0","1020016",""
"0","2","17","0","0","1","8","0","1020017","そして、"
"1","2","18","0","0","4","0","1","1020018",""
"0","2","19","0","0","1","8","0","1020019","あの人と一緒にやってきた"
"1","2","20","0","0","4","0","2","1020020",""
"0","2","21","0","0","1","8","0","1020021","聖テレサ女学院"
"1","2","22","0","0","4","0","1.125","1020022",""
"0","2","23","0","0","1","8","0","1020023","（なかよし部）のみなさんとお知り合いに。"
"1","2","24","0","0","4","0","3.5","1020024",""
"0","2","25","vo_10011600","vo_10011600_0205","2","0","0","1020025",""
"0","2","26","0","0","1","8","0","1020026","　なんだかとても個性的な方々で、"
"1","2","27","0","0","4","0","3","1020027",""
"0","2","28","0","0","1","6","0","1020028","仲良くなれるか心配……"
"1","2","29","0","0","4","0","2.83333333333333","1020029",""
"0","3","1","vo_10011600","vo_10011600_0301","2","0","0","1030001",""
"0","3","2","0","0","1","8","0","1030002","　やっちゃった。"
"1","3","3","0","0","4","0","3","1030003",""
"0","3","4","vo_10011600","vo_10011600_0302","2","0","0","1030004",""
"0","3","5","0","0","1","8","0","1030005","　自己紹介というぼっちの前に立ちふさがる巨大な壁。"
"1","3","6","0","0","4","0","5.125","1030006",""
"0","3","7","vo_10011600","vo_10011600_0303","2","0","0","1030007",""
"0","3","8","0","0","1","8","0","1030008","　何度もイメージトレーニングしたのに、"
"1","3","9","0","0","4","0","2.625","1030009",""
"0","3","10","0","0","1","8","0","1030010","ものの見事に玉砕しちゃった。"
"1","3","11","0","0","4","0","2.75","1030011",""
"0","3","12","vo_10011600","vo_10011600_0304","2","0","0","1030012",""
"0","3","13","0","0","1","8","0","1030013","　クラスメイトのみんなの目がこっちを向いた瞬間、"
"1","3","14","0","0","4","0","3.5","1030014",""
"0","3","15","0","0","1","8","0","1030015","頭の中は真っ白、"
"1","3","16","0","0","4","0","2","1030016",""
"0","3","17","0","0","1","10","0","1030017","また訳の分からないことを口にしちゃった。\n"
"1","3","18","0","0","4","0","4.5","1030018",""
"0","3","19","vo_10011600","vo_10011600_0305","2","0","0","1030019",""
"0","3","20","0","0","1","8","0","1030020","みんなは楽しそうに笑ってくれたけど、"
"1","3","21","0","0","4","0","3","1030021",""
"0","3","22","0","0","1","8","0","1030022","これから先が不安……"
"1","3","23","0","0","4","0","2.25","1030023",""
"0","4","1","vo_10011600","vo_10011600_0401","2","0","0","1040001",""
"0","4","2","0","0","1","8","0","1040002","　ユニさんは"
"1","4","3","0","0","4","0","1.75","1040003",""
"0","4","4","0","0","1","8","0","1040004","とっても頭がいい人みたい。"
"1","4","5","0","0","4","0","2.625","1040005",""
"0","4","6","vo_10011600","vo_10011600_0402","2","0","0","1040006",""
"0","4","7","0","0","1","8","0","1040007","　なんだか難しい言葉をよく使ってるんだけど、"
"1","4","8","0","0","4","0","3.75","1040008",""
"0","4","9","0","0","1","8","0","1040009","理解できない単語があったりするし、"
"1","4","10","0","0","4","0","3.125","1040010",""
"0","4","11","0","0","1","8","0","1040011","これからは辞書を持ち歩こうかな？\n"
"1","4","12","0","0","4","0","4","1040012",""
"0","4","13","vo_10011600","vo_10011600_0403","2","0","0","1040013",""
"0","4","14","0","0","1","8","0","1040014","　象牙の塔っていう場所でいつも研究をしてて、"
"1","4","15","0","0","4","0","3.75","1040015",""
"0","4","16","0","0","1","8","0","1040016","普段はそこからほとんど出ないらし\nく、"
"1","4","17","0","0","4","0","3.25","1040017",""
"0","4","18","0","0","1","8","0","1040018","私と同じぼっちの匂いがします。"
"1","4","19","0","0","4","0","3.375","1040019",""
"0","4","20","vo_10011600","vo_10011600_0404","2","0","0","1040020",""
"0","4","21","0","0","1","8","0","1040021","　ぼっちはぼっちを呼ぶ、"
"1","4","22","0","0","4","0","2.5","1040022",""
"0","4","23","0","0","1","8","0","1040023","と"
"1","4","24","0","0","4","0","1.125","1040024",""
"0","4","25","0","0","1","8","0","1040025","誰が言ったのか知らないけど、"
"1","4","26","0","0","4","0","2.75","1040026",""
"0","4","27","0","0","1","8","0","1040027","もしかしたら……\n"
"1","4","28","0","0","4","0","2","1040028",""
"0","4","29","vo_10011600","vo_10011600_0405","2","0","0","1040029",""
"0","4","30","0","0","1","8","0","1040030","同じ宿命を持つ者同士、"
"1","4","31","0","0","4","0","2.375","1040031",""
"0","4","32","0","0","1","8","0","1040032","仲良くなれるかも？"
"1","4","33","0","0","4","0","2.125","1040033",""
"0","5","1","vo_10011600","vo_10011600_0501","2","0","0","1050001",""
"0","5","2","0","0","1","8","0","1050002","　クロエさんは私と同じ"
"1","5","3","0","0","4","0","1.875","1050003",""
"0","5","4","0","0","1","8","0","1050004","エルフ、"
"1","5","5","0","0","4","0","1.5","1050005",""
"0","5","6","0","0","1","8","0","1050006","なんだけど……"
"1","5","7","0","0","4","0","1.625","1050007",""
"0","5","8","0","0","1","8","0","1050008","雰囲気が少し、"
"1","5","9","0","0","4","0","1.375","1050009",""
"0","5","10","0","0","1","8","0","1050010","独特な人。\n"
"1","5","11","0","0","4","0","2.625","1050011",""
"0","5","12","vo_10011600","vo_10011600_0502","2","0","0","1050012",""
"0","5","13","0","0","1","8","0","1050013","もしかしたら同じエルフ同士で仲良くなれるかも、"
"1","5","14","0","0","4","0","3.625","1050014",""
"0","5","15","0","0","1","8","0","1050015","と思ったりもしたんだけど、"
"1","5","16","0","0","4","0","2.125","1050016",""
"0","5","17","0","0","1","8","0","1050017","そもそも話しかけられない！\n"
"1","5","18","0","0","4","0","3.125","1050018",""
"0","5","19","vo_10011600","vo_10011600_0503","2","0","0","1050019",""
"0","5","20","0","0","1","8","0","1050020","あの人が言うには"
"1","5","21","0","0","4","0","1.65","1050021",""
"0","5","22","0","0","1","8","0","1050022","世話焼きで優しい、"
"1","5","23","0","0","4","0","1.625","1050023",""
"0","5","24","0","0","1","8","0","1050024","らしいんだけど……\n"
"1","5","25","0","0","4","0","3.125","1050025",""
"0","5","26","vo_10011600","vo_10011600_0504","2","0","0","1050026",""
"0","5","27","0","0","1","8","0","1050027","そういえばあの、"
