5a40ed8f9189586f4db9a13243b68e7f87f6b859b0d2bf36dc3747485dfa2be9,d4c7a58a5abbf476b5b1df968dcfce6ffa25fd884d2e86e9d44228f1de35ceab,8322f33a7fbd9c975628f5cb543cca545cab9f05526806a6ca4fe8c4a1e052ab,eb14f0a6ac1c29d830893fc97658a583c69508682e4b20ca66297a0b8ef2fa71,63dd2a0ed2e90786f7692de2642bde0b5bfae428c1861d7a63206d34a57ecd2a
"1","26999","ひよっこ","0","1"
"2","26999","未熟者","0","1"
"3","26999","稚魚","0","1"
"4","26999","ビギナーランナー","0","3"
"5","26999","赤ちゃん","0","1"
"6","26999","ベイビー","0","1"
"7","26999","小物","0","1"
"8","26999","へっぽこ","0","1"
"9","26999","素人","0","1"
"10","33999","小魚","27000","1"
"11","33999","初心者","27000","1"
"12","33999","エンジョイランナー","27000","3"
"13","33999","若輩者","27000","1"
"14","33999","ルーキー","27000","1"
"15","33999","ガール","27000","1"
"16","33999","注目株","27000","1"
"17","33999","原石","27000","1"
"18","33999","ニューホープ","27000","2"
"19","50399","探究者","34000","1"
"20","50399","暴れん坊","34000","1"
"21","50399","申し子","34000","1"
"22","50399","奇才","34000","1"
"23","50399","大物","34000","1"
"24","50399","麒麟児","34000","1"
"25","50399","ホープ","34000","1"
"26","50399","新星","34000","1"
"27","50399","逸材","34000","1"
"28","59999","マーメイド","50400","1"
"29","59999","先輩","50400","1"
"30","59999","中級者","50400","1"
"31","59999","ビーチフラッガー","50400","3"
"32","59999","魚","50400","1"
"33","59999","チーフ","50400","1"
"34","59999","キャプテン","50400","1"
"35","59999","一人前","50400","1"
"36","59999","セミプロ","50400","1"
"37","59999","大型新人","50400","1"
"38","69999","流れ星","60000","1"
"39","69999","先生","60000","1"
"40","69999","ドルフィン","60000","1"
"41","69999","職人","60000","1"
"42","69999","レーサー","60000","1"
"43","69999","トゥンヌス","60000","1"
"44","69999","中の中","60000","1"
"45","69999","ビッグネーム","60000","2"
"46","69999","異才","60000","1"
"47","69999","エリート","60000","1"
"48","69999","仕事人","60000","1"
"49","69999","玄人","60000","1"
"50","83999","オルカ","70000","1"
"51","83999","名人","70000","1"
"52","83999","魔術師","70000","1"
"53","83999","師匠","70000","1"
"54","83999","サブマリン","70000","1"
"55","83999","スプリンター","70000","2"
"56","83999","名手","70000","1"
"57","83999","エースランナー","70000","2"
"58","83999","プロ","70000","1"
"59","83999","看板選手","70000","1"
"60","83999","第一人者","70000","1"
"61","83999","ドン","70000","1"
"62","99999","スピードスター","84000","2"
"63","99999","豪傑","84000","1"
"64","99999","プリンセス","84000","1"
"65","99999","女神","84000","1"
"66","99999","マスター","84000","1"
"67","99999","ナンバーワン","84000","2"
"68","99999","寵児","84000","1"
"69","99999","ワイルドグリフォン","84000","3"
"70","99999","ワイバーン","84000","1"
"71","99999","エキスパート","84000","2"
"72","99999","トップランナー","84000","2"
"73","119999","韋駄天","100000","1"
"74","119999","クイーン","100000","1"
"75","119999","チャンピオン","100000","2"
"76","119999","天才ランナー","100000","2"
"77","119999","レコードホルダー","100000","3"
"78","119999","極致","100000","1"
"79","119999","ネプテリオン","100000","2"
"80","119999","シードレイク","100000","2"
"81","119999","女傑","100000","1"
"82","119999","革命家","100000","1"
"83","119999","ビッグスター","100000","2"
"84","999999","ファンタジスタ","120000","2"
"85","999999","スーパースター","120000","2"
"86","999999","ワールドチャンプ","120000","3"
"87","999999","レジェンド","120000","1"
"88","999999","超人","120000","1"
"89","999999","トルペドン","120000","1"
"90","999999","カルキノス","120000","1"
"91","999999","アクアリオス","120000","2"
"92","999999","至宝","120000","1"
"93","999999","グランドマスター","120000","3"
"94","999999","英雄","120000","1"
"95","999999","天下取り","120000","1"
