d61c8e2a73bfd028ae9c2863c95d548ca6a079253d2bbfcb3a79af30ed97fc59,87d1490533fa38393fac744e7e55e7fdf9cbe2a3724e859192112548bcae2f70,1b50ecba29547220bd699c80abbe1603c55c4b892b5c7c74444e00580601fab6,d872cc84bf5c817369b086073eced84b4d7370ee6c9c89ee9fe7fa0733a6fb16,7b91c45dabddd479dcaa90bacdad9be1c0d31ae4acf141d04a0a01ea3697aef6
"10001001","10001","22","1","53001"
"10001002","10001","22","1","53004"
"10001003","10001","22","1","53007"
"10001004","10001","22","1","53010"
"10001005","10001","22","1","53013"
"10001006","10001","22","1","53016"
"10001007","10001","22","1","53019"
"10001008","10001","22","1","53022"
"10001009","10001","22","1","53002"
"10001010","10001","22","1","53005"
"10001011","10001","22","1","53008"
"10001012","10001","22","1","53011"
"10001013","10001","22","1","53014"
"10001014","10001","22","1","53017"
"10001015","10001","22","1","53020"
"10001016","10001","22","1","53023"
"10002001","10002","22","1","53001"
"10002002","10002","22","1","53002"
"10002003","10002","22","1","53005"
"10002004","10002","22","1","53008"
"10002005","10002","22","1","53011"
"10002006","10002","22","1","53014"
"10002007","10002","22","1","53017"
"10002008","10002","22","1","53020"
"10002009","10002","22","1","53023"
"10002010","10002","22","1","53003"
"10002011","10002","22","1","53006"
"10002012","10002","22","1","53009"
"10002013","10002","22","1","53012"
"10002014","10002","22","1","53015"
"10002015","10002","22","1","53018"
"10002016","10002","22","1","53021"
"10002017","10002","22","1","53024"
"10003001","10003","22","1","53002"
"10003002","10003","22","2","53002"
"10003003","10003","22","1","53003"
"10003004","10003","22","2","53003"
"10003005","10003","22","3","53003"
"10003006","10003","22","1","53006"
"10003007","10003","22","1","53009"
"10003008","10003","22","1","53012"
"10003009","10003","22","1","53015"
"10003010","10003","22","1","53018"
"10003011","10003","22","1","53021"
"10003012","10003","22","1","53024"
"10003013","10003","22","2","53006"
"10003014","10003","22","2","53009"
"10003015","10003","22","2","53012"
"10003016","10003","22","2","53015"
"10003017","10003","22","2","53018"
"10003018","10003","22","2","53021"
"10003019","10003","22","2","53024"
"10003020","10003","22","3","53006"
"10003021","10003","22","3","53009"
"10003022","10003","22","3","53012"
"10003023","10003","22","3","53015"
"10003024","10003","22","3","53018"
"10003025","10003","22","3","53021"
"10003026","10003","22","3","53024"
