b7748691b23229e03a9ee7c3f94abacf67c3cb7125484e506677e472e9d36966,a0c1a2c3927e64c9caa23fb13dd5d2b50be5f490261a958c4cd1efede99144a9,350dee3810480250dd188ea7da025453a17b085e50db3416a1a4dd19332bbd59,be272f364a42429b84a048b4985d012c869993a9ae0dad15e473a293f0d256ee,85c1ec570a5f37da13b01834ce19d5e80cf2f7d5dcfa5ff1d2b04925f1669ee7
"1","74001102","add_shadow","ジータのシャドウが追加される。","シャドウ1体追加"
"2","74001103","add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加"
"3","74001104","star6_shadow","ノゾミのシャドウが★6になる。","シャドウ★6化"
"4","74001104","add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加"
"5","74001105","star6_shadow","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","シャドウ★6化"
"6","74001105","add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加"
"7","74001202","add_shadow","ユカリのシャドウが追加される。","シャドウ1体追加"
"8","74001203","add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加"
"9","74001204","star6_shadow","ユカリとユイのシャドウが★6になる。","シャドウ★6化"
"10","74001204","add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加"
"11","74001205","star6_shadow","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","シャドウ★6化"
"12","74001205","add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加"
"13","74001301","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","ボス魔法ダメージカット"
"14","74001302","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","ボス魔法ダメージカット"
"15","74001302","add_shadow","シズル（サマー）のシャドウが追加される。","シャドウ1体追加"
"16","74001303","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復"
"17","74001303","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","ボス魔法ダメージカット"
"18","74001303","add_shadow","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加"
"19","74001304","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","ボスUB強化"
"20","74001304","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復"
"21","74001304","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","ボス魔法ダメージカット"
"22","74001304","add_shadow","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加"
"23","74001305","limit_time","バトル時間が60秒になる。","バトル時間制限"
"24","74001305","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","ボスUB強化"
"25","74001305","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復"
"26","74001305","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","ボス魔法ダメージカット"
"27","74001305","add_shadow","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加"
"28","74001401","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","ボス物理ダメージカット"
"29","74001402","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","ボス物理ダメージカット"
"30","74001402","add_shadow","クウカ（オーエド）のシャドウが追加される。","シャドウ1体追加"
"31","74001403","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復"
"32","74001403","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","ボス物理ダメージカット"
"33","74001403","add_shadow","クウカ（オーエド）とネネカのシャドウが追加される。","シャドウ2体追加"
"34","74001404","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","ボスUB強化"
"35","74001404","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復"
"36","74001404","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","ボス物理ダメージカット"
"37","74001404","add_shadow","クウカ（オーエド）とネネカのシャドウが追加される。","シャドウ2体追加"
"38","74001405","limit_time","バトル時間が60秒になる。","バトル時間制限"
"39","74001405","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","ボスUB強化"
"40","74001405","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復"
"41","74001405","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","ボス物理ダメージカット"
"42","74001405","add_shadow","クウカ（オーエド）とネネカのシャドウが追加される。","シャドウ2体追加"
"43","74001502","boss_atk_up","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","開始時攻撃力アップ"
"44","74001503","limit_chara_num","編成可能キャラ数が4キャラになる。","編成キャラ数制限"
"45","74001503","boss_atk_up","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","開始時攻撃力アップ"
"46","74001504","limit_chara_num","編成可能キャラ数が4キャラになる。","編成キャラ数制限"
"47","74001504","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","ボスUB強化"
"48","74001504","boss_atk_up","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","開始時攻撃力アップ"
"49","74001505","limit_chara_num","編成可能キャラ数が4キャラになる。","編成キャラ数制限"
"50","74001505","max_hp_down","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン"
"51","74001505","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","ボスUB強化"
"52","74001505","boss_atk_up","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","開始時攻撃力アップ"
"53","74002102","add_shadow","カリンのシャドウが追加される。","シャドウ1体追加"
"54","74002103","star6_shadow","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","シャドウ強化"
"55","74002103","add_shadow","カリンのシャドウが追加される。","シャドウ1体追加"
"56","74002104","star6_shadow","ミヤコ、ユカリ、アユミのシャドウが★6になる。","シャドウ強化"
"57","74002104","add_shadow","カリンのシャドウが追加される。","シャドウ1体追加"
