0eb3f22671ca197fb8a652b2c2eaaa7e54ef29568e8eb75855cee9fddd50dc2a,4a1c468c0163f97c91d3ec6389e2a6bb9649f97bdd75ea37a682234504ede0b8,6fd220ba10bbf6fb5b2ace437cc6402a97be2eeb913d1c00e48587a4386f2ab1,5f74f6c94e0fd4997956806a99f99453826a2aaaf4ec0076791b06054b0499cc,239b0b262f146c829c00755539da9792d496e642a88544bbe97a2878ee83f278,21d9ad8ed28f4807e6a81fb4f23e11b9faac2f741231c524cc93aee8d6dcacbe,1928f4afd804bd08ddf2c03b84bc8b6a8513e2fe28cf50946ab199a32f1782cf,5ef442295c57d343a18e4f16050f20bff269dae08ce179eb59a00a661fe19968,49d1c4e2828251d7ef74732496f93f801adc75d2ae8ad00b1298830f0c9f317b,84ed8c9d1cb2fc9e65fdff112900cda702999af40cee91c24bcba7ee670bcaab,ff38f8711e16acb796732906d65387a0405d6ea1bb1aedfac5e8e1e950dfe615,138028f8d34041123378d3c23e71072b266af562393888545f91dc9069e582ca,3889caaa515ba25d8655ef5e256d76cc4f03d61992b978da5ee4102c9f5942cf,044eef4f41ab1eeaa97afe560e46d020af1a42586a4b667fe43d04a43f168727,5f91c98f0775589954c85b630e8aeb33a19acce254ef19ebfd75b6da6ba282c1,b581d77784f6f1879064453fef2f817b09d32ef266f5d89b56b290b0ef3dc4ed
"2","25000","150009","4","2","10","72001","2","2","94002","23003","12","150008","10","202011","4"
"0","0","0","0","8","50","91002","0","0","0","0","0","0","0","202012","0"
"0","0","0","0","2","10","72001","0","0","0","0","0","0","0","202013","0"
"0","0","0","0","2","30","72001","0","0","0","0","0","0","0","202014","0"
"0","0","0","0","2","50","72001","0","0","0","0","0","0","0","202015","0"
"12","2","25203","2","2","5","72001","2","2","25201","94002","2","25205","5000","202021","2"
"2","0","0","0","8","30","91002","0","0","0","25202","0","0","60","202022","0"
"2","0","0","0","8","30","91002","0","0","0","25204","0","0","30","202023","0"
"2","0","0","0","8","30","91002","0","0","0","25206","0","0","10","202024","0"
"0","0","0","0","2","5","72001","0","0","0","0","0","0","0","202025","0"
"0","0","0","0","2","10","72001","0","0","0","0","0","0","0","202026","0"
"0","0","0","0","2","15","72001","0","0","0","0","0","0","0","202027","0"
