d39d1720560c379e4134c38366c7d147b6ec51f2855c4e781f747fbe80441ccb,e5cd468962e3b078f5bc4edf4a3d6c84f5a2e14db1ac9717f6e9bd1f3c2dd3a0,924af988a78ae84c52844682f2f42b03e0cc2d2597810007949d9f4ebed82e5e,e584b1b9e094e45788770999a696c1d64333865f9f0023d85c032206ead5f296
"2500","1","1","1"
"2000","2","1","2"
"2000","3","1","107"
"2000","4","1","4"
"1000","5","1","3"
"1000","6","1","110"
"1000","7","1","5"
"2000","8","1","6"
"2000","9","1","105"
"2000","10","1","7"
"0","11","3","1000"
"20","12","1","100"
"1000","13","1","108"
"20","14","1","101"
"5","15","1","102"
"1000","16","1","109"
"5","17","1","103"
"500","18","1","1"
"0","19","2","2000"
"500","20","1","1"
"0","21","5","25"
"3000","22","1","2"
"3000","23","1","107"
"3000","24","1","4"
"1500","25","1","3"
"1500","26","1","110"
"1500","27","1","5"
"3000","28","1","6"
"3000","29","1","105"
"3000","30","1","7"
"0","31","6","1"
"30","32","1","100"
"1500","33","1","108"
"30","34","1","101"
"10","35","1","102"
"1500","36","1","109"
"10","37","1","103"
"500","38","1","1"
"0","39","2","3000"
"500","40","1","1"
"0","41","4","50"
