eb6313ab5cd30dbb094200b8d42f8dbefdeff0357c2cc46bfdc10959c11774fc,cb315a27af780f11d4234d5a2a31674ca26fe3832f7450d683fb6652ad3e5b7c,3b18192645a14e2c8fe72562082a53db307751b79eab54dee201f9499ae15121,86f28b4b89b42a8bc62ee0be0e5d7a218c3f7a0ecad0fb06a7092571a9c9742e,90dd786c4e7f5f795a2654584b9ba8f3d358bf4eb3e2abe3434a456541119d4f,fcc599351562aae30424cff721e471ca374a7f2053c8da9265f1886816705706,e04f21617b6a66b2b0a9283a5da0e8deb11c159eb64b4cf56f04ea9e2353077f,316bab890a892f7464b4f9ac0b73c5d8113b10e3475df4a7936b6e3a0f16c67e,d52ea472e7bd8fd9fad8e9738c01fdb68f9e6cf9daea1488ac0e16e1ef9c35ef,11908b444a80f193109d50d98a54fce24bee769a3edac5071bed145793f7671e,730c019dc9c27c89a0ff794e14cb43e3dc1e691fdc86e72891893193dd701750,98a8e31504da4b3e74dbb49f0be323aac01a9f2e19a21fa4edca357be4ed68e9,955e17213feacbc28182bcbf8329bf3c3d37ea3b5e899d0494c7a5740b0f7d11,bd0caf6e8ffaeb40707681d4f9784ceb77705c591b9dc31a4042f152224e2738,e6d2840af79c068f59c16e70fba1e9a9229d30bd59d931a7d2b16743be0d497a,49cfb5d630705c5af18631cf07299cca4b3a9beda4b85e7119d64af6949bf4c8,f6990886d9635ff53e57957d3e360f076bb8d43b786cb0f7e0baa28672278d6a,bb2eb17732cb58d2649b7216255faa2937933a5fe56eb66494a7738beaab7580,05a63001229e34194bcb6e49b186e7b4ee0a29a5080f43605d9228a16f0a2417,a1651f42ac6507ab3f338908f620ac5f399abc3405abae6bcae5099847df1603
"1001","12375","4","12390","1","12398","4","12420","プリンにしてやるの","4","12427","4","『ミヤコ』の口癖であり、ユニオンバースト名にもなっているフレーズ","","1001","1","これ、何と言う？","4","1","してやるの"
"1008","12521","5","12531","1","12523","5","12489","ランドソル杯","5","12477","5","半年に一度開催される障害物競走。4人の走者から、1着のキャラを予想しよう！","","0","1","これ、何と言う？","5","1","ランドソル"
"1010","12486","5","12531","1","12488","5","12506","スラッシュテンペスト","5","12473","5","『レイ（★6）』のユニオンバースト、その剣捌きはまるで嵐のように","","0","1","これ、何と言う？","5","1","テンペスト"
"1011","12461","5","12531","2","12512","5","12464","メルヘンキングダム","5","12480","5","『マホ（★6）』のユニオンバースト。マホマホ王国ここにあり？","","0","1","これ、何と言う？","5","1","キングダム"
"1012","12511","5","12540","2","12450","5","12486","シューティング☆ミーティア","5","12451","5","『ハツネ（★6）』のユニオンバースト。夜空を照らす、まばゆい流星","","0","1","これ、何と言う？","5","1","ミーティア"
"1013","12464","5","12522","2","12540","5","12483","ナナカ・∞・グリッター","5","12479","5","『ナナカ（★6）』のユニオンバースト。唯一無二の魔法の輝き","","0","1","これ、何と言う？","5","1","グリッター"
"1014","12463","5","12522","1","12523","5","12511","クリミナルプリズン","5","12490","5","『カスミ』のユニオンバースト。悪しき者をとらえる魔法の檻","","0","1","これ、何と言う？","5","1","クリミナル"
"1015","12469","5","12452","2","12531","5","12463","ハートラブサイクロン","5","12525","5","『イオ（★6）』のユニオンバースト。敵すら虜にする魅惑の旋風","","0","1","これ、何と言う？","5","1","サイクロン"
"1016","12358","4","12373","2","12435","4","12366","うさぎさんレボリューション","4","12373","4","『ミミ（★6）』のユニオンバースト。ぴょんぴょん革命を巻き起こせ","","0","1","これ、何と言う？","4","1","うさぎさん"
"1017","12472","5","12515","2","12531","5","12505","ジャッジメントジャベリン","5","12522","5","『ヨリ（★6）』のユニオンバースト。裁きの雷槍は空を切り裂く","","0","1","これ、何と言う？","5","1","ジャベリン"
"1018","12501","5","12455","2","12473","5","12491","エンドオブフェニックス","5","12463","5","『サレン（★6）』のユニオンバースト。終焉をもたらす不死鳥の羽ばたき","エンドオブフェニックス","0","1","これ、何と言う？","5","1","フェニクス"
"1019","12456","5","12522","2","12473","5","12470","エリザベスコンビネーション","5","12505","5","『マヒル（★6）』のユニオンバースト。相棒と放つ絆の一撃","","0","1","これ、何と言う？","5","1","エリザベス"
"1020","12503","5","12521","2","12488","5","12493","コスモブループラネット","5","12483","5","『キョウカ（★6）』のユニオンバースト。全てを飲み込む蒼き小宇宙","","0","1","これ、何と言う？","5","1","プラネット"
"1021","12473","5","12488","2","12512","5","12522","ボルテクスストリーム","5","12540","5","『ミフユ（★6）』のユニオンバースト。敵を穿つ鋭き水流","","0","1","これ、何と言う？","5","1","ストリーム"
"1022","22825","6","27004","1","21091","6","35207","天楼覇断剣","6","26029","6","『ムイミ』のユニオンバースト。「現出せよ、□□□□□！」","","0","1","これ、何と言う？","6","1","天楼覇断剣"
"1023","12450","5","12532","1","12531","5","12449","ナンバーズアヴァロン","5","12525","5","『クリスティーナ』のユニオンバースト。「宴の始まりだ！ナンバーズ□□□□□！」","","0","1","これ、何と言う？","5","1","アヴァロン"
"1067","12456","5","12473","2","12503","5","12465","エスケープルート","5","12540","5","登山において、予定を変更して下山するためのルートのこと","","0","1","これ、何と言う？","5","2","エスケープ"
"1068","12463","5","12521","3","12531","5","12531","クランポン","5","12509","5","登山において、雪や氷の上を歩く際に靴に装備する金属の爪","","0","1","これ、何と言う？","5","2","クランポン"
"1070","12495","5","12452","1","12464","5","12461","ハイキング","5","12531","5","軽微な装備で、自然や景観を楽しみながら歩くアクティビティ","","0","1","これ、何と言う？","5","2","ハイキング"
"1071","12500","5","12463","2","12488","5","12495","ピークハント","5","12531","5","登山のスタイルの一つで、山頂を目指して登る場合をこう呼ぶ","ピークハント","0","1","これ、何と言う？","5","2","ピクハント"
"1075","12496","5","12479","1","12452","5","12501","バタフライ","5","12521","5","水泳で両腕を同時に前後に、両足を同時に上下に動かす泳ぎ方。動きがとある生き物に似ている","","0","1","これ、何と言う？","5","2","バタフライ"
