8a71d748829710bb48dd43f00d23330bbf4121ea6d770b01170e1e214a349692,e3a45f5b476183dac64b3a6a43794174a66adaac27cc247dd25044bf50fd9447,58fa188c9734cebcdabefa6638ccdadcb02f520d69d600afb359c125c358bb4b,920c1194004a1791469e3cb791dd9286c51f4a0c3a2d3145f50aa23f6c5bec2c,4e90e0a88fa0c50b81ce21af01f37c48db47a2009ff5d88d825d4774dac351de
"30","8","91002","72001001","20001001"
"1","2","22002","72001001","20001002"
"30","8","91002","72001002","20001003"
"1","2","22002","72001002","20001004"
"30","8","91002","72001003","20001005"
"1","2","22002","72001003","20001006"
"30","8","91002","72001004","20001007"
"1","2","22002","72001004","20001008"
"30","8","91002","72001005","20001009"
"1","2","22002","72001005","20001010"
"30","8","91002","72001006","20001011"
"1","2","22002","72001006","20001012"
"30","8","91002","72001007","20001013"
"1","2","22002","72001007","20001014"
"30","8","91002","72001008","20001015"
"1","2","22002","72001008","20001016"
"30","8","91002","72001009","20001017"
"1","2","22002","72001009","20001018"
"30","8","91002","72001010","20001019"
"1","2","22002","72001010","20001020"
"30","8","91002","72001011","20001021"
"1","2","22002","72001011","20001022"
"30","8","91002","72001012","20001023"
"1","2","22002","72001012","20001024"
"30","8","91002","72001013","20001025"
"1","2","22002","72001013","20001026"
"30","8","91002","72001014","20001027"
"1","2","22002","72001014","20001028"
"200","8","91002","72001015","20001029"
"1","2","22002","72001015","20001030"
"60","8","91002","72001016","20001031"
"2","2","22002","72001016","20001032"
"60","8","91002","72001017","20001033"
"2","2","22002","72001017","20001034"
"60","8","91002","72001018","20001035"
"2","2","22002","72001018","20001036"
"60","8","91002","72001019","20001037"
"2","2","22002","72001019","20001038"
"300","8","91002","72001020","20001039"
"2","2","22002","72001020","20001040"
"5","2","31012","72001021","20001041"
"5","2","31038","72001021","20001042"
"5","2","31012","72001022","20001043"
"5","2","31038","72001022","20001044"
"10","2","31012","72001023","20001045"
"10","2","31038","72001023","20001046"
"30","8","91002","72002001","20002001"
"1","2","22002","72002001","20002002"
"30","8","91002","72002002","20002003"
"1","2","22002","72002002","20002004"
"30","8","91002","72002003","20002005"
"1","2","22002","72002003","20002006"
"30","8","91002","72002004","20002007"
"1","2","22002","72002004","20002008"
"30","8","91002","72002005","20002009"
"1","2","22002","72002005","20002010"
"30","8","91002","72002006","20002011"
"1","2","22002","72002006","20002012"
"30","8","91002","72002007","20002013"
"1","2","22002","72002007","20002014"
"30","8","91002","72002008","20002015"
"1","2","22002","72002008","20002016"
"30","8","91002","72002009","20002017"
"1","2","22002","72002009","20002018"
"30","8","91002","72002010","20002019"
"1","2","22002","72002010","20002020"
"30","8","91002","72002011","20002021"
"1","2","22002","72002011","20002022"
"30","8","91002","72002012","20002023"
"1","2","22002","72002012","20002024"
"30","8","91002","72002013","20002025"
"1","2","22002","72002013","20002026"
"30","8","91002","72002014","20002027"
"1","2","22002","72002014","20002028"
"200","8","91002","72002015","20002029"
"1","2","22002","72002015","20002030"
"60","8","91002","72002016","20002031"
