c64702d61a6037c86859db88c9edf2860e23970c3b96edf3cfe0a1c08b1d53d2,7634d7a0e1ac9090038b609311bd63cc60b7f2da04b920848e5f1ca47a00a7a4,e8976ed95efea0119f3b302f9dc31d6ac1bf5154c5db739d75ae7caca20cf353,fa524edbc2a7159e0a0e7f28c4bdf79d5cbe4c510c4d382cff670b3622a1da54,133c450b0208e3cb161061661cbfc5f1b5bf6da31abea7c974d2bf97e114c822,3ac00da4a4208a194d22e2e9b07e49f9c744f066f19ce0356e4c25d8b0e44cc4,db8bc0ad1f0930770f3ead2082fda310d6fd6e28e86a09a1d4d09ffcbfee7422,7878f63398436764ce52946d477c71e6b60c24ee7805779ba5f48bcd98370747,234b2f38093b3c75c56a3b6f3013d249b2f82cd936bd64b5e816476c1c0924fd,7013bac43a8c4a91e9d5d44fd56f676271ea7d250cb84460f36bb6083c70b76c,d03fbad28417d65d163aaf029d671567c92b45204ed3e62f51b5f1ce346b38d2
"2.2","talk_sad","12001","12","52","5","0","1","-250","30","1"
"0","","12002","12","1","6","0","1","0","1","1"
"1","black","12003","12","29","5","0","0","0","50","0"
"0","","12004","12","1","6","0","1","0","1","0"
"","","12005","12","","91","","","","","0"
"0.2","","12006","12","1","6","0","1","1","1","1"
"0.2","","12007","12","1","6","0","1","1","1","0"
"","","12008","12","-250","2","","-20","2","0.3","1"
"","","12009","12","0","2","","0","2","0.3","0"
"","","12010","12","","93","","0","","","0.6"
"","","12011","12","0","21","","vo_asb_0121","","0","vo_asb"
"0","0","12012","12","10","11","0","思えば手土産すらも、\n持参できず仕舞いでした……","1","1","1"
"","","12013","12","0","91","","","","0","0"
"0.2","","12014","12","1","3","","guts2_talk_shy","","","1"
"","","12015","12","0","21","","vo_asb_0122","","0","vo_asb"
"0","0","12016","12","10","11","0","次に伺う時は必ず……！","1","1","1"
"","","12017","12","0","91","","","","0","0"
"0.2","","12018","12","1","3","","sad_talk_surprise","","","1"
"","","12019","12","0","21","","vo_asb_0123","","0","vo_asb"
"0","0","12020","12","10","11","0","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","1","1","1"
"","","12021","12","0","91","","","","0","0"
"0.3","","12022","12","1","3","","surprise_talk_dere","","","1"
"","","12023","12","0","21","","vo_asb_0124","","0","vo_asb"
"0","0","12024","12","10","11","0","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","1","1","1"
"","","12025","12","0","91","","","","0","0"
"0.4","","12026","12","0","3","0","sad_talk_riri_in","1","sad_idle_red_riri","1"
"","","12027","12","0","21","","vo_asb_0125","","0","vo_asb"
"0","0","12028","12","10","11","0","……一緒に……手土産を……\n……ぽっ。","1","1","1"
"","","12029","12","0","91","","","","0","0"
"","","12030","12","","101","","","","","12031"
"0.3","","12031","12","1","6","0","1","0","1","1"
"0.3","","12032","12","1","6","0","1","0","1","0"
"","","12033","12","-250","2","","-120","1","0.3","1"
"","","12034","12","0","2","","-100","1","0.3","0"
"","","12035","12","","22","","0","","","0"
"","","12036","12","","93","","0","","","0.4"
"2.2","riri_idle_look_shy","13001","13","17","5","0","1","-230","20","1"
"2.2","clear_idle_look_shy","13002","13","19","5","0","2","-255","-140","2"
"2.2","idle_look_precia","13003","13","18","5","1","3","-245","270","3"
"0","","13004","13","1","6","0","1","0","1","1"
"0","","13005","13","1","6","0","1","0","1","2"
"0","","13006","13","1","6","0","1","0","1","3"
"0","","13007","13","0","31","","100","1","0","1"
"","","13008","13","","35","","0","","","100"
"1","black","13009","13","16","5","0","0","0","50","0"
"0","","13010","13","1","6","0","1","0","1","0"
"","","13011","13","","91","","","","","0"
"","","13012","13","","93","","0","","","0.1"
"0.2","","13013","13","1","6","0","1","1","1","1"
"0.2","","13014","13","1","6","0","1","1","1","2"
"0.2","","13015","13","1","6","0","1","1","1","3"
"0.2","","13016","13","1","6","0","1","1","1","0"
"","","13017","13","-230","2","","-30","2","0.3","1"
"","","13018","13","-255","2","","-190","2","0.3","2"
"","","13019","13","-245","2","","220","2","0.3","3"
"","","13020","13","0","2","","0","2","0.3","0"
"","","13021","13","","32","","1","","","100"
"","","13022","13","","93","","0","","","0.6"
"0.2","","13023","13","1","3","","sad_talk_look_shy_riri","","","1"
"","","13024","13","0","21","","vo_asb_1521","","0","vo_asb"
"0","0","13025","13","10","11","0","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","1","1","1"
"","","13026","13","0","91","","","","0","0"
"0.2","","13027","13","1","3","","sad_idle_normal_look_shy_riri","","","1"
"0.2","","13028","13","1","3","","clear_talk_look_shy","","","2"
"","","13029","13","0","21","","vo_asb_1522","","0","vo_asb"
